track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
25 bands and a geccco,https://open.spotify.com/track/6IBVwpcF5HkRgk2MNc2HIM,100 gecs,https://open.spotify.com/album/7KpuGjIfduSD45wl5IQc7G,100 gecs,https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3,2022-04-25,124688,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
About You Now,https://open.spotify.com/track/6V9kVTlpA1yaqT89LlPwhO,About You Now,https://open.spotify.com/album/2QDcs5hH8Y0n73aKeqD8PW,OTTO,https://open.spotify.com/artist/4PxPpid4wSQJ630DTqZ046,2022-04-25,218786,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
About You Now,https://open.spotify.com/track/6ziJ9Zxu1x78Mgld5eIFC7,World Greetings,https://open.spotify.com/album/7MXwYs2b8dEl1wSNtUeEpZ,OTTO,https://open.spotify.com/artist/4PxPpid4wSQJ630DTqZ046,2022-04-25,218786,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
About You Now,https://open.spotify.com/track/4Fpgcj55igVn9pOJeZKFZ8,About You Now,https://open.spotify.com/album/02zc2IIraWCKNpizpKdvKD,"OTTO, Max Beirne Shafer","https://open.spotify.com/artist/4PxPpid4wSQJ630DTqZ046, https://open.spotify.com/artist/5SXBLk2wYMZznypiR94wYE",2022-04-25,218786,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
Blast,https://open.spotify.com/track/6xr3MVHxQaOtBybv0uD8ir,32 Levels (Deluxe),https://open.spotify.com/album/7Amrg2WughWQXMEmUfjhl3,Clams Casino,https://open.spotify.com/artist/5vSQUyT33qxr1xAX2Tkf3A,2022-04-25,134346,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
can you really blame me for how i react,https://open.spotify.com/track/5LWNeUDJYidxGHgVs9UWka,drive-by lullabies,https://open.spotify.com/album/3aaCjvtpejeH1JVSnkRz05,quinn,https://open.spotify.com/artist/2QpNu8tDPv9n7oY34J1TtN,2022-04-25,211024,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
can you really blame me for how I react?,https://open.spotify.com/track/3kLqTaBVArpRj1AnPNsryn,Drive-By Lullabies,https://open.spotify.com/album/1hDfBlpAsyIp1uNScacRwp,quinn,https://open.spotify.com/artist/2QpNu8tDPv9n7oY34J1TtN,2022-04-25,211026,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
Claws (o0o rmx),https://open.spotify.com/track/1w1NBZ2BRJcIdZdReFpxaO,Claws (o0o rmx),https://open.spotify.com/album/0KEpu1eevcX4FPS8bttbUl,o0o,https://open.spotify.com/artist/5J1ISo62brLWWq3ylID7BR,2022-04-25,219559,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
Deadguy,https://open.spotify.com/track/1lITtbljRbadZO0eXgSoIX,Vlamily,https://open.spotify.com/album/04UXzrSTCTv7AN32oxVpKF,Zelly Ocho,https://open.spotify.com/artist/3svb0AOLHdFPE6P8PRB2ML,2022-04-25,115879,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
Drought,https://open.spotify.com/track/22TQY9Uzlh6MuOc0EgzB0e,Dog Whistle,https://open.spotify.com/album/4osZNJ2yO18sYtqJIFvMFy,Show Me the Body,https://open.spotify.com/artist/5jh7sgXW2njALiIh0aPXjB,2022-04-25,159560,2022-09-17,"<a href=""spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q"">Ezekiel</a>'s track IDs. Updated regularly. Curated by Ezekiel. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Ezekiel's track IDs
