track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
'Round Midnight,https://open.spotify.com/track/6rlqNxNTuK3elWsYjc4psh,'Round Midnight,https://open.spotify.com/album/0AP435mSKEb4jF8D34nfkM,"Adam Blackstone, Jazmine Sullivan","https://open.spotify.com/artist/01qe6O86TULkQwNofn1zgs, https://open.spotify.com/artist/7gSjFKpVmDgC2MMsnN8CYq",2022-10-13,252616,2022-06-05,Let the music flow through you...,Soulful
(No One Knows Me) Like the Piano,https://open.spotify.com/track/2UBwvSk8tTMqydEdWsfBb8,Process (Bonus Edition),https://open.spotify.com/album/4rA6i9oXyMhh77pqK0cXKv,Sampha,https://open.spotify.com/artist/2WoVwexZuODvclzULjPQtm,2022-07-28,218160,2022-06-05,Let the music flow through you...,Soulful
(No One Knows Me) Like the Piano,https://open.spotify.com/track/3D1VUmjj0IlhdHqGConc7C,Process,https://open.spotify.com/album/4fRcYn1zNOHY5LJXuRmJHI,Sampha,https://open.spotify.com/artist/2WoVwexZuODvclzULjPQtm,2022-11-10,218160,2022-06-05,Let the music flow through you...,Soulful
(No One Knows Me) Like the Piano,https://open.spotify.com/track/5zOnoB8FdZudDcPX4O8WqF,Process,https://open.spotify.com/album/2gUSWVHCOerKhJHZRwhVtN,Sampha,https://open.spotify.com/artist/2WoVwexZuODvclzULjPQtm,2022-06-02,218160,2022-06-05,Let the music flow through you...,Soulful
4EVA,https://open.spotify.com/track/2LftHOFPfXdPtPK6yCnZXj,4EVA,https://open.spotify.com/album/5VK922NbC81kfS2tCnDAM0,thndo,https://open.spotify.com/artist/4NKTT4ovD0uyL6YssNGF2n,2023-06-01,159431,2022-06-05,Let the music flow through you...,Soulful
6 AM,https://open.spotify.com/track/3UJbJOsLhyuGXOOofKr52i,6 AM,https://open.spotify.com/album/6f0QgMv0n3IBDpcYW0QPQL,Son Little,https://open.spotify.com/artist/4lujUKeO6nQAJXpq37Epn7,2022-08-04,230826,2022-06-05,Let the music flow through you...,Soulful
6 AM,https://open.spotify.com/track/5frJ2iO0fDjeAVHlg9Z62T,Like Neptune,https://open.spotify.com/album/014KjVEwCWxN2hWFYsUWNB,Son Little,https://open.spotify.com/artist/4lujUKeO6nQAJXpq37Epn7,2022-09-08,230826,2022-06-05,Let the music flow through you...,Soulful
Addict,https://open.spotify.com/track/49xxb736ZAuvcI12r7AKO3,Open,https://open.spotify.com/album/7rw7bnbtHuPrjXRb2iuZ6h,Louis Baker,https://open.spotify.com/artist/6cKB91cRebrHboAUTx5uUy,2022-06-02,209623,2022-06-05,Let the music flow through you...,Soulful
Alibi,https://open.spotify.com/track/7A9aASmJF3GtnBBri3Km23,Come Around EP,https://open.spotify.com/album/4VQebFp9TEuKOaCu5lUUrC,Jordan Mackampa,https://open.spotify.com/artist/24WPEGLYPvEsmk4GSDFyST,2022-06-02,228473,2022-06-05,Let the music flow through you...,Soulful
Alibi,https://open.spotify.com/track/7gdMJKZDKsDzGPfvbOFyjy,Come Around EP,https://open.spotify.com/album/4cZaBbl9MF60k5194gGbiR,Jordan Mackampa,https://open.spotify.com/artist/24WPEGLYPvEsmk4GSDFyST,2022-10-13,228473,2022-06-05,Let the music flow through you...,Soulful
