track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Little Bit More,https://open.spotify.com/track/00eJYYLj3L2Mr2Nl1a9J02,A Little Bit More,https://open.spotify.com/album/2mG6jpLEZKR0awrVeZNflg,Tomorrow People,https://open.spotify.com/artist/06pkUJtvwH93XlSdc0RAOY,2023-11-28,214349,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
All Night,https://open.spotify.com/track/5koR0ccU16Uknn5Rvm93g2,All Night,https://open.spotify.com/album/296ZqgLJupUJJsoCnYCN8X,Sammy Johnson,https://open.spotify.com/artist/0vMGGYcvLOnwg7t4kl33BA,2025-02-13,220000,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
Already Beautiful,https://open.spotify.com/track/7ieAgBELOv9oIabEWEL9wm,Already Beautiful,https://open.spotify.com/album/1DqKqaTol92vqVrtfB55Ui,Sammy Johnson,https://open.spotify.com/artist/0vMGGYcvLOnwg7t4kl33BA,2023-11-28,200068,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
Always with You,https://open.spotify.com/track/21tXzRXVJd6ikASjsWZIXD,Always with You,https://open.spotify.com/album/3TEomtRmmPSIvL5tozcHV2,Katchafire,https://open.spotify.com/artist/786hGmAEXHUeCdKPAj3JIa,2023-11-28,197787,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
Always With You,https://open.spotify.com/track/6h8jMWrbcuRFe66cYNjUiV,Always With You,https://open.spotify.com/album/5eVmonrsLmls7zBEk6Xzld,Katchafire,https://open.spotify.com/artist/786hGmAEXHUeCdKPAj3JIa,2024-03-21,197787,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
angel,https://open.spotify.com/track/5O1KZPpxH7zgQYIpSYEV8y,angel,https://open.spotify.com/album/2lJnzS5QDeiFPkdjvsPXkx,etu,https://open.spotify.com/artist/15XmtXC5NpeFw9Sf1W5PfD,2025-01-23,173872,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
Back In My Arms,https://open.spotify.com/track/4g5j7VcONFP64jSNSuLDOK,Back In My Arms,https://open.spotify.com/album/1pJWSJkimSU1tBcALRBZvr,Hori Shaw,https://open.spotify.com/artist/3weDT5G04NSpPg2q1lvcJh,2024-10-04,225843,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
Be Better,https://open.spotify.com/track/0PcUzCpDtur5KiTqKYyfyj,Cali Roots Riddim 2021,https://open.spotify.com/album/47ngDCKILaUidvXeest7sz,"Fia, Collie Buddz","https://open.spotify.com/artist/3uwg3MMPpcXtJ7OknqdO9W, https://open.spotify.com/artist/5Ayl2bJtN5mdCsxZoxs9n1",2023-11-28,142328,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
Be My Lady (feat. Pieter Tuhoro & Jah Maoli),https://open.spotify.com/track/2lmCr96Mhghs0KUVABx4RP,Universal Love,https://open.spotify.com/album/1dJg7WGsTZrAbWo4vh5PFh,"Sons of Zion, Pieter T, Jah Maoli","https://open.spotify.com/artist/0PK0Dx3s9et0Uf4XbdFpiW, https://open.spotify.com/artist/5Sr3QRGJOKL3r5NzKAbdX3, https://open.spotify.com/artist/1xr92u8uPinpRXsjZbgGKw",2024-03-21,251800,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
Be My Lady (with Pieter T feat. Jah Maoli),https://open.spotify.com/track/4GTps7FQv0jyGxKmX0Wdc4,Universal Love,https://open.spotify.com/album/5bN0WUW3od88WZav7XYatH,"Sons of Zion, Pieter T, Jah Maoli","https://open.spotify.com/artist/0PK0Dx3s9et0Uf4XbdFpiW, https://open.spotify.com/artist/5Sr3QRGJOKL3r5NzKAbdX3, https://open.spotify.com/artist/1xr92u8uPinpRXsjZbgGKw",2023-11-28,251866,2023-12-10,"Pacific reggae, roots rockers. Relax, you're on island time.",Island Time
