track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2 Minutes to Midnight - 1998 Remaster,https://open.spotify.com/track/6aYXSH9JZrD30Av2KlAOMY,Powerslave (1998 Remastered Edition),https://open.spotify.com/album/4hFcwazEjeg3gJEu0AuxM7,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-28,359760,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
2 Minutes to Midnight - 2015 Remaster,https://open.spotify.com/track/4sAjWbPq6iSI6I0Ovr9CkY,Powerslave (2015 - Remaster),https://open.spotify.com/album/2HPWTaRPYl0Iu3lJrI5V2z,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2022-07-14,363586,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
A Dangerous Meeting,https://open.spotify.com/track/0V7iTNAnyoOqcZz54lGA4E,Don't Break the Oath,https://open.spotify.com/album/6gADLDKOjcXTFrfE5Xp3HA,Mercyful Fate,https://open.spotify.com/artist/0W8edGiwAsv6HXF0Kyc2V9,2022-07-14,312760,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
A Dangerous Meeting,https://open.spotify.com/track/0XazvXRtIb75Ljr6OjQGmX,Don't Break the Oath,https://open.spotify.com/album/1eFnw0MBAp0jOS07tp5gRF,Mercyful Fate,https://open.spotify.com/artist/0W8edGiwAsv6HXF0Kyc2V9,2021-11-28,312760,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Ace of Spades,https://open.spotify.com/track/1CLgbV57c4bEkXrIKmsJza,All the Aces,https://open.spotify.com/album/5RGSoxQwVkbYPVSh3DhcQX,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-10-25,166360,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Ace of Spades,https://open.spotify.com/track/6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades (Expanded Edition),https://open.spotify.com/album/3rxF05Aux0QTrN533Kjc91,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-07-14,166360,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Ace of Spades,https://open.spotify.com/track/3AVZaAbDvR6rs2NN4n0aAF,Ace of Spades (Deluxe Edition),https://open.spotify.com/album/0sbAKeTchIsRqECNFjPHSf,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2021-11-28,166706,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Agent Orange,https://open.spotify.com/track/0CDHN3Wk8JY0p5myySB0mS,Ten Black Years: Best Of,https://open.spotify.com/album/4CkwJZRRMAFz8L0F2sBaWp,Sodom,https://open.spotify.com/artist/6SYbLA9utoNsllunR1TnkM,2022-07-14,364626,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Agent Orange,https://open.spotify.com/track/3lMVtX2zN22nm30jGVoOpT,Agent Orange,https://open.spotify.com/album/6lg87gGVKeXKei65FnE8JN,Sodom,https://open.spotify.com/artist/6SYbLA9utoNsllunR1TnkM,2021-11-28,365320,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Alone Again,https://open.spotify.com/track/1j06ieEC2BOCM0fTmYhn2l,Tooth and Nail,https://open.spotify.com/album/0opFMR8DprHzu1nPHhoHuL,Dokken,https://open.spotify.com/artist/09hNSPPOxDop4FRdr6UEnq,2021-11-28,262200,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Am I Demon,https://open.spotify.com/track/0kZpg64mTDk3V6jhGGEd7M,Danzig,https://open.spotify.com/album/3elIDlrTtrgKfbxYVgp3uW,Danzig,https://open.spotify.com/artist/34c4iQ5tkaZKu6Sv28BTde,2022-07-14,297293,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Am I Demon,https://open.spotify.com/track/2Bt7cSAgiPWpM2dOU6VAg1,Danzig,https://open.spotify.com/album/7iNVpD0QtlhjsmDgW4IlBI,Danzig,https://open.spotify.com/artist/34c4iQ5tkaZKu6Sv28BTde,2021-11-28,297293,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Angel Witch,https://open.spotify.com/track/4G3Nnoae2XF1cdbdgATKKq,Angel Witch (30th Anniversary Edition),https://open.spotify.com/album/1a3pru3t4DuZoGHBpCNM66,Angel Witch,https://open.spotify.com/artist/6L48AOtGmQL1ELLoKML7cS,2021-11-28,203933,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
Animal (Fuck Like A Beast),https://open.spotify.com/track/22KezdnLpayPKz4aTDt899,W.A.S.P.,https://open.spotify.com/album/25pbI5TFqt2tzGS4XSMnog,W.A.S.P.,https://open.spotify.com/artist/3BVkDHWRvLJEyKdvhLbjsq,2022-07-14,187493,2021-12-21,Like the old school sound of metal? Then you'll love this playlist! Cover: Megadeth,Old School Metal
