track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
365,https://open.spotify.com/track/1QCkXXmlsduoitdYRT9HD6,365,https://open.spotify.com/album/66IzG6BBgOOTIwyTGZlIcU,Waxahatchee,https://open.spotify.com/artist/5IWCU0V9evBlW4gIeGY4zF,2025-02-03,187440,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
A Lot More Free,https://open.spotify.com/track/0duALa6UlxVWqEqpmhv73p,A Lot More Free,https://open.spotify.com/album/3Sh0mtX324JgZ6UXvzgD47,Max McNown,https://open.spotify.com/artist/340PS4ZcZ4UCBgyrXzEjcp,2024-11-08,198920,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
About Heartaches And Being Blue,https://open.spotify.com/track/6L9HQyvVHToVbjtXMjJqxw,About Heartaches And Being Blue,https://open.spotify.com/album/3br2mgNzpyHDkqpqTyINuG,Timo de Jong,https://open.spotify.com/artist/0T34mF36A6mzLMqC0uoz7x,2025-02-27,153500,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Aiming High,https://open.spotify.com/track/2awmxdY36BxGuK80wxHIFE,Aiming High,https://open.spotify.com/album/1oTL2vaBXveBK8KbrOfbzY,Quinty van der Geest,https://open.spotify.com/artist/2A2lTcBiJUYRfbMVtdtwW2,2025-02-20,201610,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
All Good,https://open.spotify.com/track/51imPDYWGqCNEA94TsBHhS,All Good,https://open.spotify.com/album/5FWV48bFKI7v4vWEPN7x2t,Tip Jar,https://open.spotify.com/artist/0efqZTMypVgrLzEb7syIOT,2024-07-25,186081,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
All The Good Times,https://open.spotify.com/track/6Tv21RLLA1Dt6OtPNz8QDq,Big Time,https://open.spotify.com/album/02R7PREL8nCr02CEYLy7YH,Angel Olsen,https://open.spotify.com/artist/6mKqFxGMS5TGDZI3XkT5Rt,2023-02-23,276826,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Angel By My Side,https://open.spotify.com/track/6FLRq82j1YsKLOQb2XU7g6,Angel By My Side,https://open.spotify.com/album/4wFPcdUu0pljx0iDtvaPOz,Boaz,https://open.spotify.com/artist/0ytyS944Vjixf9O0omhpyd,2024-07-31,195713,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Anybody Else But Me,https://open.spotify.com/track/6bO44ywoBjbe2XeI1lgTm5,Anybody Else But Me,https://open.spotify.com/album/4rWkiDyXhDqN2Lm1Zg08sv,Deborah Parlor,https://open.spotify.com/artist/47nKN1WACRUyzwrDzQx7Jl,2024-03-07,211066,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Aphrodite,https://open.spotify.com/track/6noeTONJnM5NukhaQYsqDQ,Aphrodite,https://open.spotify.com/album/4Z9VwS2ksXpFBdn5pSxfoQ,Donna Blue,https://open.spotify.com/artist/2p3WhDRwfMseVi8f04ODpd,2024-02-01,198666,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Babe I'm Gonna Leave You - Extended Version,https://open.spotify.com/track/66DmPZHPwXz5VO2Mse5FAj,Babe I'm Gonna Leave You (Extended Version),https://open.spotify.com/album/5U5FRaYp8B23WI7BvIGcfL,Beth Hart,https://open.spotify.com/artist/30TrHDLNCKQVTYWOn9QqOC,2023-02-23,294945,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Back At Your Door,https://open.spotify.com/track/4JL5loZbBLCyLsLPgjLmEb,Stampede,https://open.spotify.com/album/3vi7hLbbjQBJypfAA2gafE,"Orville Peck, Debbii Dawson","https://open.spotify.com/artist/46auOkH1pk28rWrSoUNhLo, https://open.spotify.com/artist/21YCHE0ZFflbHVTsyrCpgh",2024-08-01,212168,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Back on the Road,https://open.spotify.com/track/3iGrd3ze293iLtxeuNFCSq,Back on the Road,https://open.spotify.com/album/5yzWuLgd5HDeqhXHxVb2Kj,Half Moon Run,https://open.spotify.com/artist/3ceQN2NVlLg1hgTzljDE4n,2025-02-03,144901,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
