track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(Interlude),https://open.spotify.com/track/0ZfI5ROJZ69K0RPysSgkJW,VIII,https://open.spotify.com/album/7hHuLeoyQ5Uem1BBmf5pcl,"Wafia, Ta-ku","https://open.spotify.com/artist/0FL2d6iFFNAV3yBUbXjZ1U, https://open.spotify.com/artist/13Kd75NSHSp9lB4CaqPMOV",2018-12-11,130271,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
(Interlude),https://open.spotify.com/track/4GojDZAcFshu4ELQuGXrhz,VIII,https://open.spotify.com/album/1WLT9X55scygUSpb304x4L,"Wafia, Ta-ku","https://open.spotify.com/artist/0FL2d6iFFNAV3yBUbXjZ1U, https://open.spotify.com/artist/13Kd75NSHSp9lB4CaqPMOV",2018-12-11,130271,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
(Interlude),https://open.spotify.com/track/3fVlhP6MF3Wfq4Zaa5Oann,VIII,https://open.spotify.com/album/0Vp2DwDWSTLzC99vUZEMdG,"Wafia, Ta-ku, Thrupence","https://open.spotify.com/artist/0FL2d6iFFNAV3yBUbXjZ1U, https://open.spotify.com/artist/13Kd75NSHSp9lB4CaqPMOV, https://open.spotify.com/artist/33WEbJHirq23bohapH3pI9",2018-12-11,130271,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
After the Tone with Lossapardo,https://open.spotify.com/track/6fKX7zoYa5nfpHnnmcKg6t,After the Tone with Lossapardo,https://open.spotify.com/album/4O6xAkwEEunTtOIv05VpOm,"Crayon, Lossapardo","https://open.spotify.com/artist/1byiL1WtteUjvqT6GhlEfh, https://open.spotify.com/artist/6amhIkFAweDp9aQ8FKQ606",2018-12-11,153700,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
All Lost,https://open.spotify.com/track/56LMiEpyy0t7HLct13oVi3,River,https://open.spotify.com/album/51RyFF1ZqQ2Ie1Ld26UNVw,Jack Grace,https://open.spotify.com/artist/4aj0Uc8eSN4NQPhLkFZSGB,2018-12-11,196568,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
All Over Me,https://open.spotify.com/track/7N2KPKZAutekLgLNEg2AOF,All Over Me,https://open.spotify.com/album/0UhBRmr4xtK0LMc9jwNyFC,Bedstudy,https://open.spotify.com/artist/7J2sXHrIECKuTgcKzNxz46,2018-12-11,215106,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
another time (world$tar money),https://open.spotify.com/track/3pq5SHP8DwySlbUL0KIoRy,another time (world$tar money),https://open.spotify.com/album/0bMuRzy7dDIfKgliEaw4DV,"simon eng, duendita","https://open.spotify.com/artist/0YXc5Rre8iZ6CfxNtzBJhC, https://open.spotify.com/artist/4vZBqD3QXrKiE3mZ6zHr22",2019-05-24,181681,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
Antasma,https://open.spotify.com/track/5RxZ8rFeQPBqefaWqEk3Ex,Antasma,https://open.spotify.com/album/2shJEUIURDIlMslYeCl0zl,Sal Dulu,https://open.spotify.com/artist/6vZPwPZBhP2RCPcijCfRAV,2018-12-11,205680,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
Ayahuasca,https://open.spotify.com/track/1MKS0c8KhGm84hQcYlzFtv,Ayahuasca,https://open.spotify.com/album/6g9UQ5hfoMEecRQwhnyqo6,Vancouver Sleep Clinic,https://open.spotify.com/artist/77BznF1Dr1k5KyEZ6Nn3jB,2018-12-11,508601,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
Ayahuasca,https://open.spotify.com/track/6UmJo8SsHylk0Uc3kecKsf,Therapy Phase 01,https://open.spotify.com/album/1NaV4Mf4OGmDakvCA7PdIh,Vancouver Sleep Clinic,https://open.spotify.com/artist/77BznF1Dr1k5KyEZ6Nn3jB,2018-12-11,508601,2022-05-26,Chill tunes for mellow moods.,Mellow Mood
