track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/1xrzHjo7J4bhtSfjkwnZAQ,,https://open.spotify.com/album/5HIukESDGbdiiL03rL5aBl,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2023-02-03,0,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
AHORA QUÉ,https://open.spotify.com/track/5qP24CrDI0rmY5zwRvUfzU,DONDE QUIERO ESTAR,https://open.spotify.com/album/156gxGFDxadwiIC3Bfwmj3,Quevedo,https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K,2023-02-03,171428,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Amorfoda,https://open.spotify.com/track/68QcquxCS39cQGTsRrJWIR,Amorfoda,https://open.spotify.com/album/4BrJhFl3j50A69ZktbzZAg,Bad Bunny,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,2023-02-03,153887,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Aquel Nap ZzZz,https://open.spotify.com/track/5bQLsyTrUaMQRfr6whwGe5,VICE VERSA,https://open.spotify.com/album/2Nt6MDJXfoxQ22tIQgWXIh,Rauw Alejandro,https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq,2023-02-03,295038,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Blessings,https://open.spotify.com/track/0aOcyrtTn2Fpit2GIeaGwO,Blessings,https://open.spotify.com/album/0stTNi5KJMdoruNe8JG6by,Omar Courtz,https://open.spotify.com/artist/3E12tRURRvPfHz0hAMCFYc,2023-02-03,184000,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Dejanos Pasar,https://open.spotify.com/track/0hDILCoN7SBSMHc5qwZ73E,Dejanos Pasar,https://open.spotify.com/album/0sROwf7qAxdlMEGGQu85xN,"Pj Sin Suela, Young Miko","https://open.spotify.com/artist/0AdjzZxHJ4MfbImx2rD0Df, https://open.spotify.com/artist/3qsKSpcV3ncke3hw52JSMB",2023-02-03,175567,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Dile Que Tu Me Quieres,https://open.spotify.com/track/5u5MvmVtitax9R1Mxh3reC,Odisea,https://open.spotify.com/album/4s05NbwGgw5SO42AdsN5Oo,Ozuna,https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY,2023-02-03,226520,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Diosa,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky,Easy Money Baby,https://open.spotify.com/album/3dM5WCvdXdNqLE14d16GmJ,Myke Towers,https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W,2023-02-03,214013,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Envidia,https://open.spotify.com/track/4NTOD6p2LLDYdeHzaxUYxk,Envidia,https://open.spotify.com/album/0Vr2EIU3Dw3DAQKZTJ0Wqk,"Neutro Shorty, Ovi","https://open.spotify.com/artist/5wUO3A6DT4tO5UDz21kE2Y, https://open.spotify.com/artist/4o0NtnL2m0lzZmEdRas1qv",2023-02-03,180000,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Fanática Sensual,https://open.spotify.com/track/5ZFpEsxK5VlLkJi3v7ar2Y,Love And Sex,https://open.spotify.com/album/2nyw6aQu85kFb3mYb4vWwE,Plan B,https://open.spotify.com/artist/2jSGzJw0ebJLu7OLVSOcBP,2023-02-03,240320,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Fin de Semana,https://open.spotify.com/track/6TBzRwnX2oYd8aOrOuyK1p,Fin de Semana,https://open.spotify.com/album/366AAoKCXunrJSqKqZuafy,"Oscar Maydon, Junior H","https://open.spotify.com/artist/3l9G1G9MxH6DaRhwLklaf5, https://open.spotify.com/artist/7Gi6gjaWy3DxyilpF1a8Is",2023-02-03,224920,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
GATAS,https://open.spotify.com/track/0Dsd2YdaCaFGnLHeur33vE,SATURNO,https://open.spotify.com/album/6QYD0sLnZNUviYe2iBL2c3,"Rauw Alejandro, Chris Palace","https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq, https://open.spotify.com/artist/3z26llYP0dIzgnmUp2vSAw",2023-02-03,207932,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
GATAS,https://open.spotify.com/track/6glF8OLZEE2AHVu5YtOoiu,SATURNO,https://open.spotify.com/album/5AcRssiG0Zqu3lqYW7hMoM,"Rauw Alejandro, Chris Palace","https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq, https://open.spotify.com/artist/3z26llYP0dIzgnmUp2vSAw",2023-02-03,207932,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Gato de Noche,https://open.spotify.com/track/54ELExv56KCAB4UP9cOCzC,Gato de Noche,https://open.spotify.com/album/2GS2h80Dp8rFdGEa0j0JhH,"Ñengo Flow, Bad Bunny","https://open.spotify.com/artist/12vb80Km0Ew53ABfJOepVz, https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X",2023-02-03,227013,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
GHETTO STAR,https://open.spotify.com/track/3t6SsMiA1b1Ju0HzKHIDSl,GHETTO STAR,https://open.spotify.com/album/2SjlYKPeAVcfvz7ChGCix4,"Ryan Castro, COQE","https://open.spotify.com/artist/7j6DKwmjbxvpQO8h914uEz, https://open.spotify.com/artist/7GAYtrIoXkEFFsSP2nhG0E",2023-02-03,197142,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Hola Como Vas,https://open.spotify.com/track/0MEZYGMSPxNwUO4nAdQRBW,Sauce Boyz 2,https://open.spotify.com/album/4JaYe7HIddzNaF3rUgJzHI,Eladio Carrion,https://open.spotify.com/artist/5XJDexmWFLWOkjOEjOVX3e,2023-02-03,198739,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
MODELITO,https://open.spotify.com/track/559YUIWxUc8Mx4lsla13Ff,PARAÍSO,https://open.spotify.com/album/7b3PrkHcWx17AQwlI2M1Uc,"Mora, YOVNGCHIMI","https://open.spotify.com/artist/0Q8NcsJwoCbZOHHW63su5S, https://open.spotify.com/artist/4aSlfXDn9R60UlbZEboBUy",2023-02-03,190496,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
NO LO SÉ,https://open.spotify.com/track/5WlFKlTHjg3x8G8icmQjzP,NO LO SÉ,https://open.spotify.com/album/1Br5WXUWmSDjUL6eoMnMXc,Kidd Keo,https://open.spotify.com/artist/0VZrPa7mWAYXH4CwmYk8Km,2023-02-03,239996,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
NOPALATELE,https://open.spotify.com/track/5TF6x1UsQnX3Tv3wd5Fw78,WorKING,https://open.spotify.com/album/02STLoPPeQ8PoV91Ilkg08,"King Savagge, Ak4:20, Paloma Mami","https://open.spotify.com/artist/7DXregrznS25AM30UY9sUU, https://open.spotify.com/artist/1SiLK8gdECx2iEm2SSj0Bl, https://open.spotify.com/artist/7rOlQwf8OuFLFQp4aydjBt",2023-02-03,257682,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
NOPALATELE,https://open.spotify.com/track/0gytcfGU4mtSfckMajYQS9,Nopalatele,https://open.spotify.com/album/1snuYixt90LiQwCVQtUwOC,"King Savagge, Ak4:20, Paloma Mami","https://open.spotify.com/artist/7DXregrznS25AM30UY9sUU, https://open.spotify.com/artist/1SiLK8gdECx2iEm2SSj0Bl, https://open.spotify.com/artist/7rOlQwf8OuFLFQp4aydjBt",2023-02-03,257683,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Sentosa,https://open.spotify.com/track/3PKN5j2dKkzsLbrpcdyzLX,Sentosa,https://open.spotify.com/album/71uful9xpvujTHKTS16Ykc,"Peso Pluma, Tornillo, Polo Gonzalez, Garena Free Fire","https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ, https://open.spotify.com/artist/5OGraDcSkO4oTWthkm77WL, https://open.spotify.com/artist/0OpXeanba0vYnyoft00BP6, https://open.spotify.com/artist/6Lad89OaqnRo5nf7FyVipt",2023-02-03,151594,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
Si No Hay Mañana - Spotify Singles,https://open.spotify.com/track/4KfT6tbE0Hq4GffrFJvCus,Si No Hay Mañana - Spotify Singles,https://open.spotify.com/album/2awsgyoW4ncnfyTHJsTiC6,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2023-02-03,222066,2023-02-04,"Featuring Young Miko, PJ Sin Suela, Plan B & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #036
