track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
9:45,https://open.spotify.com/track/6c4Po8zyQjB4cR5XgLhcGb,9:45,https://open.spotify.com/album/5ITQeRYoVu4qRdo9TUTuuR,"Prabh Singh, Jay Trak, Rooh Sandhu","https://open.spotify.com/artist/0VAIiNSKG4DWkSaIy5qWz1, https://open.spotify.com/artist/47SaOSOqcrxSJNZUuqpLuu, https://open.spotify.com/artist/54E3dYx7RpaGZaDVXJTWjr",2023-12-18,117606,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Aitvaar,https://open.spotify.com/track/1oTyX0QcxOmnJlilzhfak1,Pieces of Me,https://open.spotify.com/album/0raSkW1e3ld2c63hzvpchY,Jaz Dhami,https://open.spotify.com/artist/5IfJHO9jIE1GVuC517P3nr,2023-06-05,172325,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Baby Girl,https://open.spotify.com/track/0FoAlOXHI6KJ4RHP9v8jnw,Baby Girl,https://open.spotify.com/album/4dob5W0fcOiKEe3ii4AuqD,"Guru Randhawa, Dhvani Bhanushali","https://open.spotify.com/artist/5rQoBDKFnd1n6BkdbgVaRL, https://open.spotify.com/artist/1OPqAyxsQc8mcRmoNBAnVk",2023-06-05,207493,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
BIBA,https://open.spotify.com/track/4IQqOlTZpfjnSTOArpZX5j,OFIVE1,https://open.spotify.com/album/1Rk6mhJQnIDrhygra17EtG,"Farasat Anees, Slick Trick, Toshi","https://open.spotify.com/artist/05miC2ndfE3ZyZ7xCMnZzm, https://open.spotify.com/artist/6ENmrRecdouZ74WXpHjQZl, https://open.spotify.com/artist/3oa0mere2rG4b7cdsX7SFv",2023-06-05,216216,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Black & White,https://open.spotify.com/track/5wiSbeDm2p5yniuus7eH4J,MoonChild Era,https://open.spotify.com/album/0zV96rKdfWliVHNBpAsd2b,Diljit Dosanjh,https://open.spotify.com/artist/2FKWNmZWDBZR4dE5KX4plR,2023-06-05,166757,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Bom Diggy,https://open.spotify.com/track/0O7jVsX1Sp98fV3802ccjY,Bom Diggy - Single,https://open.spotify.com/album/6YZdJ32vbH2lJmmIobqoc8,"Zack Knight, Jasmin Walia","https://open.spotify.com/artist/7JMBJmGMqw4H33HECyW4QP, https://open.spotify.com/artist/4bWGzsNAtfPp8P7pSBukH8",2024-02-02,207692,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Bom Diggy,https://open.spotify.com/track/7Dhy1R9NmD96wfr7VJEN37,Bom Diggy - Single,https://open.spotify.com/album/1v41NSZw0M9A9GxHRvPpn2,"Zack Knight, Jasmin Walia","https://open.spotify.com/artist/7JMBJmGMqw4H33HECyW4QP, https://open.spotify.com/artist/4bWGzsNAtfPp8P7pSBukH8",2023-06-05,207692,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Bombay Dreams (feat. Kavita Seth),https://open.spotify.com/track/4SlCYFaUQ8GRuwdpgniaGF,Bombay Dreams (feat. Kavita Seth),https://open.spotify.com/album/5EyIytU4jYrTCuf8Xy49M3,"KSHMR, Lost Stories, Kavita Seth","https://open.spotify.com/artist/2wX6xSig4Rig5kZU6ePlWe, https://open.spotify.com/artist/4RCALXqxv2udxtuLatKPSi, https://open.spotify.com/artist/3nQ125TJobosBH446Dsvvv",2023-06-05,198461,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Bottle,https://open.spotify.com/track/40mBzQIpmcxFUzuJMOAHFC,Bottle,https://open.spotify.com/album/2Ywo4nVpumOk0RgUPJCan0,Garry Sandhu,https://open.spotify.com/artist/7M3xY5iHSzEtoL3FpqOD75,2023-06-05,195233,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Brown Munde,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4,Brown Munde,https://open.spotify.com/album/1Ac8fcWoMbo35vD3B5Tjqs,"AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon","https://open.spotify.com/artist/6LEG9Ld1aLImEFEVHdWNSB, https://open.spotify.com/artist/4vvW590Gq8dNWsP5BM9FkS, https://open.spotify.com/artist/5DHi2MeoRgAwPE0A0qwRMl, https://open.spotify.com/artist/6aQfrWHwAcuY8IYItbChZh",2023-06-05,254400,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Chandigarh,https://open.spotify.com/track/0C3E2mfHDxqrSQjQ5702g4,Chandigarh,https://open.spotify.com/album/6b3e1cebG8me8nmeBVpJto,"Jass Manak, Guri","https://open.spotify.com/artist/2P9JaCtpbQSuZOgvtPrUJ8, https://open.spotify.com/artist/6wmETiZFS8CviwUTaeoVgf",2023-06-05,137872,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
"Chandigarh Kare Aashiqui Title Track (From ""Chandigarh Kare Aashiqui"")",https://open.spotify.com/track/1PDnTLpadsuLNSs6LCQtQh,"Chandigarh Kare Aashiqui Title Track (From ""Chandigarh Kare Aashiqui"")",https://open.spotify.com/album/3J0XOvaaEByP4xeGTtYa9Y,"Sachin-Jigar, Jassi Sidhu, IP Singh","https://open.spotify.com/artist/1mBydYMVBECdDmMfE2sEUO, https://open.spotify.com/artist/2VXIKojJeuVC7NyOQs4JlE, https://open.spotify.com/artist/7pauOFC9bRqioSX30AvNkG",2023-06-05,153054,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Cheques,https://open.spotify.com/track/4eBvRhTJ2AcxCsbfTUjoRp,Still Rollin,https://open.spotify.com/album/5AivaZj0CiQJoDWqVH2pbh,Shubh,https://open.spotify.com/artist/5r3wPya2PpeTTsXsGhQU8O,2023-12-18,183756,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Coco,https://open.spotify.com/track/1DwZ3Nl61Fn7MD0DViodkA,Coco,https://open.spotify.com/album/4kilYTmf9qMwjOcqILEH09,Sukh-E Muzical Doctorz,https://open.spotify.com/artist/0yniDkE5y7ci4X9OtLBXaQ,2023-06-05,164304,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Dabka,https://open.spotify.com/track/2ocMPgaUbcTKnSkTH1NIWL,Street Code,https://open.spotify.com/album/63KSe8ACcXuzAjg8SVBNyM,"Kulbir Jhinjer, Deep Jandu","https://open.spotify.com/artist/5xeLNyuZaJBjLpyjopm22n, https://open.spotify.com/artist/2RJawMqX9ESxws2KMtHyP3",2024-10-16,169507,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Daru Band,https://open.spotify.com/track/5ykIUH7FqS7J9rMIGx07sj,Do Gabru - Mankirt Aulakh & Parmish Verma,https://open.spotify.com/album/0VCDWiGktLuwEvDZyOqYmn,Mankirt Aulakh,https://open.spotify.com/artist/3uHUKCspaCzAab9A3LlGAr,2023-06-05,197333,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Daru Band,https://open.spotify.com/track/6o1Pu5qBxa9JzsKOYDbJzV,Daru Band,https://open.spotify.com/album/419F65C5oUVOVDPqgwJ12t,Mankirt Aulakh,https://open.spotify.com/artist/3uHUKCspaCzAab9A3LlGAr,2024-02-02,197333,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Difference,https://open.spotify.com/track/4XO6ex8P26F5BZO5iYcpk0,Difference,https://open.spotify.com/album/59bmCRmpfEEPNean1Wmnv8,Amrit Maan,https://open.spotify.com/artist/7GgAwYJnBBFT1WogNWf0oj,2023-06-05,205714,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Drivery,https://open.spotify.com/track/0FM03KSpwsiW8i8OUmqI0D,Drivery,https://open.spotify.com/album/2cGxd3OOROZQYmSG4mEMI9,"Chandra Brar, MixSingh, Gurlez Akhtar","https://open.spotify.com/artist/5sieaTASHA1VDIsOg04ubm, https://open.spotify.com/artist/05dG9pMLRWenxzvSmefE6U, https://open.spotify.com/artist/55kkrbuMkdzPGD7YGA6xrJ",2024-09-28,183586,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Feature,https://open.spotify.com/track/6sgAtjjWIOhbqVUjnfKzkG,Feature,https://open.spotify.com/album/5h9Gzx928Hnm7BA4DbCsVq,"Arav Sidhu, Deol Harman","https://open.spotify.com/artist/3d0dIOz8qi6JggSHq6FECE, https://open.spotify.com/artist/2N8tEhXkaUz7bBi5Ym9Xqa",2024-09-19,123488,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
For You,https://open.spotify.com/track/5CTAuySFPCf0zwaBbD5lVv,Blaze,https://open.spotify.com/album/4kd679DK5PJHDeDLPEwjqZ,"Rihaan, WakeUpParth","https://open.spotify.com/artist/6hHdhPGGmjdgoAUk4LQ0e4, https://open.spotify.com/artist/43n4ElrWXCATSSoACychZE",2024-10-16,180705,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Gallan Kardi,https://open.spotify.com/track/7bWIRK3emiP8UwH6fpDfuu,Jawaani Jaaneman (Original Motion Picture Soundtrack),https://open.spotify.com/album/4G3LgNCIT4yHn2pF4AfrsR,"Prem & Hardeep, Jazzy B, Jyotica Tangri, Mumzy Stranger","https://open.spotify.com/artist/1KMTSdLr6l8gfRWYa9iXMQ, https://open.spotify.com/artist/25bvyjHJAszeSV3q0TmEhY, https://open.spotify.com/artist/5wQDQFm7Ku8WWGi5xqJ9lp, https://open.spotify.com/artist/3Ufqd4oqfv4LQ4G0cP71hj",2023-06-05,194726,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Gangland,https://open.spotify.com/track/1AGeDbAlIcoJN01bLkFN82,Mankirt Aulakh - Best Hits,https://open.spotify.com/album/5Cjo7LqqidLgnitIbm9G3L,Mankirt Aulakh,https://open.spotify.com/artist/3uHUKCspaCzAab9A3LlGAr,2023-06-05,168000,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
Haaye Oye (feat. Ash King),https://open.spotify.com/track/0oukMLKedsqQ3ltnI2daRO,Haaye Oye (feat. Ash King),https://open.spotify.com/album/5vQyWyFVzojsUsBGSzmZSe,"QARAN, Ash King","https://open.spotify.com/artist/0KDEADL3DeTLtENG3DliCd, https://open.spotify.com/artist/1cfG7UM0OD4O1II1nd15Qo",2023-06-05,200029,2023-07-25,"Warm Up! Burn! Cooldown! Ready, Steady, move to Bhangra.",Masala Bhangra
