track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",https://open.spotify.com/album/1jHSAfCHKUFx5imuezI7HE,"Sofía Reyes, Jason Derulo, De La Ghetto","https://open.spotify.com/artist/0haZhu4fFKt0Ag94kZDiz2, https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y, https://open.spotify.com/artist/3EiLUeyEcA6fbRPSHkG5kb",2021-06-16,201526,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
100 Años,https://open.spotify.com/track/4gJzpOMYyOpVnbDXlT5aWL,30 de Febrero,https://open.spotify.com/album/2OxyM5ID5JYs1wh8hTsJph,"Ha*Ash, Prince Royce","https://open.spotify.com/artist/5xd2Tg7Zo8755eCy8Gxkp8, https://open.spotify.com/artist/3MHaV05u0io8fQbZ2XPtlC",2021-06-16,185573,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Adiós Amor,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,Me Dejé Llevar,https://open.spotify.com/album/2XHw4PFHT6srg7dxA3yrKv,Christian Nodal,https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP,2021-06-16,199320,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Aléjate de Mí,https://open.spotify.com/track/15AbuFJdFrbINydSMSqVhV,Dejarte De Amar,https://open.spotify.com/album/0MPMiyavAbARflBlNGjIA6,Camila,https://open.spotify.com/artist/2gRP1Ezbtj3qrERnd0XasU,2021-06-16,258532,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Amigos Con Derechos,https://open.spotify.com/track/4yVO0wOhXsZC1RuPgHP524,Ahora,https://open.spotify.com/album/4BvD9caT3ZohqNQFcR8dVD,"Reik, Maluma","https://open.spotify.com/artist/0vR2qb8m9WHeZ5ByCbimq2, https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau",2021-06-16,227480,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Amigos No por Favor (Primera Fila) - En Vivo,https://open.spotify.com/track/2hyAEExgoEfxrVJKUJTqZV,Primera Fila (En Vivo),https://open.spotify.com/album/59AvNgPPcI6C8o3kuWfZQG,Yuridia,https://open.spotify.com/artist/5B8ApeENp4bE4EE3LI8jK2,2021-06-16,225480,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Amor a Primera Vista,https://open.spotify.com/track/5M6bJO7Cfl4lnPoAHG0EdD,Amor a Primera Vista,https://open.spotify.com/album/6FSP9t3yTTFO6hOBkIxOIY,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia","https://open.spotify.com/artist/0ZCO8oVkMj897cKgFH7fRW, https://open.spotify.com/artist/5LeiVcEnsZcwc133TUhJNW, https://open.spotify.com/artist/1GAymyGBvB4gQy5Z5LZ1Wj, https://open.spotify.com/artist/7arK8QUX7X61NIkChn9no2",2021-06-16,220941,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Amor Clandestino,https://open.spotify.com/track/5etssK2rpk4SnHWWD1Q6xn,Drama Y Luz,https://open.spotify.com/album/1sqgDb8MhdXgKAdGGLny9g,Maná,https://open.spotify.com/artist/7okwEbXzyT2VffBmyQBWLz,2021-06-16,291866,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Amárrame,https://open.spotify.com/track/3EK4tGkSiO5xvvB5sM4tln,La Trenza,https://open.spotify.com/album/7CgbWo8K9pQx823YTI17zE,"Mon Laferte, Juanes","https://open.spotify.com/artist/4boI7bJtmB1L3b1cuL75Zr, https://open.spotify.com/artist/0UWZUmn7sybxMCqrw9tGa7",2021-06-16,207333,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Arrullo De Estrellas,https://open.spotify.com/track/1p4rYrxjVkj6v2eMzRhLfA,Programaton,https://open.spotify.com/album/3UZ0vtpq3mGcr4J0kjveSD,Zoé,https://open.spotify.com/artist/6IdtcAwaNVAggwd6sCKgTI,2021-06-16,252693,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Azul,https://open.spotify.com/track/7ffkdwy4EvMSeUnPVSyqqw,Aztlán,https://open.spotify.com/album/0yFFH0eR0XJSoF0S5d5peT,Zoé,https://open.spotify.com/artist/6IdtcAwaNVAggwd6sCKgTI,2021-06-16,194226,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Bajo El Agua,https://open.spotify.com/track/5QSYWruQQ7kBCHScI4xJ9g,Manuel Medrano,https://open.spotify.com/album/3XeEBV0owMhwHmyLfaMxwg,Manuel Medrano,https://open.spotify.com/artist/0i5iO6icb7kxg48thi9gBM,2023-03-14,225838,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
Compartir,https://open.spotify.com/track/50Jd7tX7dMu79Oknn7sXSW,Mientras Tú Dormías,https://open.spotify.com/album/6O6vqLgrTwWZqTCCoJVjWm,Carla Morrison,https://open.spotify.com/artist/0XK6kT7xcZAlcYrNjOgzJe,2021-06-16,257091,2023-12-19,"Los grandes éxitos de la década pasada, en México. Carla Morrison en portada.",Los 2010 México
