track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(There’s No Place Like) Home for the Holidays,https://open.spotify.com/track/1DH6zhxdbHU5NU3tnelKrw,(There’s No Place Like) Home for the Holidays,https://open.spotify.com/album/4QM16VhapZKE1haa2QdXkv,Cochren & Co.,https://open.spotify.com/artist/50hkKRxo0g8Ck4JqlwoJr4,2023-12-15,141264,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
[the night the sky joined in],https://open.spotify.com/track/09haRxFNHvJw3wiC1HK4Vd,[the night the sky joined in],https://open.spotify.com/album/4d5DlbsJbmVEvKR6bM5JLH,All Creatures,https://open.spotify.com/artist/2YgZPJl3jMabwzd1UZONon,2021-12-24,198187,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
A Christmas Alleluia - Live,https://open.spotify.com/track/5ZxHipYAxiIQ22iCP2wL28,Adore: Christmas Songs Of Worship (Deluxe Edition/Live),https://open.spotify.com/album/6wOdF5DJPo31iR9b9rEn6o,"Chris Tomlin, Lauren Daigle, Leslie Jordan","https://open.spotify.com/artist/6pRi6EIPXz4QJEOEsBaA0m, https://open.spotify.com/artist/40LHVA5BTQp9RxHOQ9JPYj, https://open.spotify.com/artist/5AxCkKr6aZBRfm9KD7ermh",2021-12-24,271993,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Adore - Live,https://open.spotify.com/track/4XfPvAopzTR0N9TYqJUAdo,Adore: Christmas Songs Of Worship (Deluxe Edition/Live),https://open.spotify.com/album/6wOdF5DJPo31iR9b9rEn6o,Chris Tomlin,https://open.spotify.com/artist/6pRi6EIPXz4QJEOEsBaA0m,2021-12-24,285006,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Adore You,https://open.spotify.com/track/1iQ27gSsVIiBfz9zfEXrL9,All This Time / Adore You,https://open.spotify.com/album/0stJdABPTcNa3tb3LyaW6g,River Valley Worship,https://open.spotify.com/artist/1VXCIEol192OgSF9VzowGV,2021-12-24,257547,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Advent Hymn,https://open.spotify.com/track/24VfMY1tdEOb77g0mttlSj,The Thrill of Hope,https://open.spotify.com/album/0rsqupLN9sGS8Ufn9F1bDU,Christy Nockels,https://open.spotify.com/artist/0XFBXku1ro7p7bjFQk98o6,2021-12-24,165200,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Advent Song (Christ Has Come),https://open.spotify.com/track/5SqjFvC9d9bTn3cCGOYGnt,Advent Song (Christ Has Come),https://open.spotify.com/album/5BDdcMskJYCIcGto5Brtg4,"Justin Tweito, Channing Gillespie","https://open.spotify.com/artist/1M9vnVVffOjQGvJ3nSFVUR, https://open.spotify.com/artist/0PYc251XnbuIb80WbNusnf",2024-08-01,215858,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All Glory Be to Christ,https://open.spotify.com/track/02GNfO1O7d0Rx3tGcvfuIP,Joy Has Dawned,https://open.spotify.com/album/7jfGMR3tcoRYefoNxst4w8,Kings (MHM),https://open.spotify.com/artist/64bkd3Cql2VeQBIfl5tjCC,2021-12-24,246106,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All Glory Be to Christ,https://open.spotify.com/track/6n6mxrwP9XnKeTpfLITphR,Joy Has Dawned,https://open.spotify.com/album/2aSU0vRVVwKdaoQfXhrBop,Kings Kaleidoscope,https://open.spotify.com/artist/6P9fFbQ875B2bnmdiYwN9A,2021-12-24,246106,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All Glory Be to Christ,https://open.spotify.com/track/4wqxn5fcpV6zwbY7EM6ZE3,Over the Hills and Everywhere,https://open.spotify.com/album/5nsfEDODZtjE8xLusiFlIh,"Kings Kaleidoscope, Various Artists","https://open.spotify.com/artist/6P9fFbQ875B2bnmdiYwN9A, https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of",2021-12-24,241595,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All I Need For Christmas,https://open.spotify.com/track/4meVKX0ubgfnqeucwixAt4,All I Need For Christmas,https://open.spotify.com/album/1Ks288qIuyt8sSvFLdlyqU,"TobyMac, Terrian","https://open.spotify.com/artist/5VX8hxrcfJWwaTLiqGUHG3, https://open.spotify.com/artist/19TPpTWkgX13Qc2stbqVoP",2021-12-24,181764,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All I Want for Christmas Is You,https://open.spotify.com/track/1xixLkAu4Q7fo7MGlxOp8B,All I Want for Christmas Is You,https://open.spotify.com/album/3uO3DabVkqTyf5fwlKobt1,Rhett Walker,https://open.spotify.com/artist/4ImxhwjNOz0es0voxGHCoP,2021-12-24,191440,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All I Want For Christmas Is You,https://open.spotify.com/track/0LdEfe80Kt3l1vRT07WfJB,More The Merrier (Deluxe Edition),https://open.spotify.com/album/2wCP7y2mlhe5h38mkthlkG,Sarah Reeves,https://open.spotify.com/artist/2vGA5qCDLZGW6exRQgKfLL,2023-11-17,248450,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All I Want for Christmas is You,https://open.spotify.com/track/5k8L9LrDiBd0D6X7xgddYM,All I Want for Christmas is You,https://open.spotify.com/album/1sz9CANhzw3YLyyKKIo3XE,"The Sing Team, John Mark McMillan","https://open.spotify.com/artist/1laNwx3Sgr12cbdw3UTROn, https://open.spotify.com/artist/0T1KC0OHfbRO0O5bNH2tek",2021-12-24,174293,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All Is Well (with Michael W. Smith),https://open.spotify.com/track/7MXuBZeS9jWbQNlKbb2xUX,All Is Well (with Michael W. Smith),https://open.spotify.com/album/4Hd5EtKExeJkfTnlRzvQF7,"Riley Clemmons, Michael W. Smith","https://open.spotify.com/artist/7yZC6AEhvCD5NFR8yDUxCG, https://open.spotify.com/artist/5aBxFPaaGk9204ssHUvXWN",2024-11-17,217253,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All Year - Remix,https://open.spotify.com/track/5lSkmmkvDbo26HbwDIyYHF,All Year (Remix),https://open.spotify.com/album/2b3FqSsazn4kUS00MezizN,Billy Ballenger,https://open.spotify.com/artist/3MWi1gukTtaCmUQyvjSmIN,2023-12-15,175941,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
All You Are,https://open.spotify.com/track/0BkZ5pna6FsPROtvBUUwUc,All You Are,https://open.spotify.com/album/7ew7mqpVYNTN9ncPENf8vc,The Kramers,https://open.spotify.com/artist/4YQIgHKADGuqRbq7NvSQiV,2021-12-24,265278,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Amazing Grace,https://open.spotify.com/track/1qkpT6anpq60mDodOkGpVL,Amazing Grace,https://open.spotify.com/album/42GHe8e1CSejCeQTiOapK0,The Oak Ridge Boys,https://open.spotify.com/artist/3XnO697XIus1M0cMuxZjos,2021-12-24,123025,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Amazing Grace,https://open.spotify.com/track/43Bq77lTBLMxEf5phduzKH,Down Home Christmas,https://open.spotify.com/album/1hpnqLkobWtW7ZmufnofeA,The Oak Ridge Boys,https://open.spotify.com/artist/3XnO697XIus1M0cMuxZjos,2021-12-24,123025,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Angels,https://open.spotify.com/track/0d0wBhnr1S59sv4tYYYQtP,Angels,https://open.spotify.com/album/1vtLtqeCvCkRSCXjnxuUHq,Futures,https://open.spotify.com/artist/6CZGjSCwsv967PAK4MfqC3,2021-12-24,198535,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Angels (Glory To God),https://open.spotify.com/track/4ASV09jmQAEeFZ3HGhVd3W,Angels (Glory To God),https://open.spotify.com/album/53ZCLnZFLXNuZuMR85fN2u,Phil Wickham,https://open.spotify.com/artist/5d1JhBfyb58upMXCZOdbQu,2024-09-12,223266,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Angels From the Realms of Glory/Emmanuel,https://open.spotify.com/track/22wO7gBMOEXNamV7iVpbD4,"Christmas Worship, Vol. 2",https://open.spotify.com/album/0Oebjw58B0C8Jx5tuJiDuS,Paul Baloche,https://open.spotify.com/artist/1jH3GuQCPI87UrS0hcScHr,2021-12-24,245720,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
Angels We Have Heard On High,https://open.spotify.com/track/2JbkIgX2Z4hVKYTYH1eq2w,Angels We Have Heard On High,https://open.spotify.com/album/6VJ6sHlXtFu9QcXG7Xo2UD,"7 Hills Worship, Kaelob Mecum","https://open.spotify.com/artist/0SLXOHoqcGPOsH9RZETtp1, https://open.spotify.com/artist/0Mz8GEgLhb3heEDpRTtnr4",2024-11-29,205208,2021-12-28,A mix of new songs and beloved classics from your favorite Contemporary Christian artists! ,Contemporary Christian Christmas
