track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
15 MINUTES,https://open.spotify.com/track/2Dazu1HgFj1geJOfKKFOpf,15 MINUTES,https://open.spotify.com/album/4OFZVvqlg84Czl7td7XddK,Madison Beer,https://open.spotify.com/artist/2kRfqPViCqYdSGhYSM9R0Q,2024-07-18,189192,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
2 hands,https://open.spotify.com/track/1f18HzFpegqvH4ibGJyeMJ,2 hands,https://open.spotify.com/album/2BdJwrx2wMJi7x06wWkUFg,Tate McRae,https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym,2024-11-14,181820,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
21st Century Cool Girl,https://open.spotify.com/track/5dUOWlWWYdAgqeXwTgbaKt,21st Century Cool Girl,https://open.spotify.com/album/7ktbGLp7ZUIsBMo97MHXVO,Chloe Qisha,https://open.spotify.com/artist/1WNmfSqydnt1FDJKg3l6lw,2025-01-23,197655,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
360,https://open.spotify.com/track/4w2GLmK2wnioVnb5CPQeex,BRAT,https://open.spotify.com/album/2lIZef4lzdvZkiiCzvPKj7,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,2024-07-18,133805,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
A Bar Song (Tipsy),https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),https://open.spotify.com/album/6egBeCLeGITzGSo5VyRjwZ,Shaboozey,https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH,2024-07-22,171291,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
Abracadabra,https://open.spotify.com/track/5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,https://open.spotify.com/album/2I6LyArz82waG94e9V5B9d,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,2025-02-06,223398,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
AH AH AH,https://open.spotify.com/track/3hZfphgOX7x5nJibyHiEY0,AH AH AH,https://open.spotify.com/album/3veXH87Ab3CYcaFLO7NoY0,Roxie,https://open.spotify.com/artist/6Lf4vAUaFUR2jAsybC7cGV,2025-01-09,125027,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
Alive,https://open.spotify.com/track/4ffFByoICCx9gKDQKLJK0M,Alive,https://open.spotify.com/album/1DhvNti8w03vd00MYvmy7Q,LUNA,https://open.spotify.com/artist/0AZgkXW6n0zfyOhVAnIopA,2024-07-04,169163,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
ALL MY LOVE,https://open.spotify.com/track/6iYxkBHyMpsgVxUgfy5fSx,Moon Music,https://open.spotify.com/album/5SGtrmYbIo0Dsg4kJ4qjM6,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,2024-10-03,222647,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
AMERICAN BEAUTY,https://open.spotify.com/track/0jf51Jpi4xRAfFkhLXSirb,AFTERCARE DELUXE,https://open.spotify.com/album/3r7rsxV6uS1OiOUirRwU53,Nessa Barrett,https://open.spotify.com/artist/7pwufEBGfggjoI8twqlsmQ,2025-02-06,196640,2024-07-02,Gorące nowości i przeboje od światowych gwiazd muzyki pop. Cover: Dove Cameron,TOP POP 2025
