track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Gift To Share,https://open.spotify.com/track/1qfYCqVpMcuYLhyThCR7k6,A Gift To Share,https://open.spotify.com/album/7iqgjaIRglpZ2H1tfqErfy,Joni Bernier,https://open.spotify.com/artist/0OFX9pzVpaZJd64GoemB3J,2023-09-11,139500,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
a joyful life,https://open.spotify.com/track/0DFAkAHNm5XxqEEYkFbHcI,a joyful life,https://open.spotify.com/album/0PZ7QQQbhiNIfJxfln46So,Jonas Hoffmann,https://open.spotify.com/artist/5cEU3AV44x8TnbyQjOlInP,2023-09-11,128991,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
A Long Goodbye,https://open.spotify.com/track/4WgPQlt7Pa115gVyoiLTVc,My Soul Is a Strange Country (Solo Piano),https://open.spotify.com/album/16DNJgqbmH6wB42u4JKeWS,The Magic Lantern,https://open.spotify.com/artist/2jIhiAEbmLrPj69WLM2R3V,2023-09-11,180093,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Akeleie,https://open.spotify.com/track/0UmaYgHfAEEMwxYGHSDMmu,Akeleie,https://open.spotify.com/album/4wuBcYPsziuMtuafKDpDlP,Signe Bratlie,https://open.spotify.com/artist/61VEtQG9UwPF5V01eRmZWi,2023-09-11,233000,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
All My Words,https://open.spotify.com/track/4t6nAyyW8FEEXbN5MLAjtL,All My Words,https://open.spotify.com/album/3szqW639zPbIC99Fy8eNfF,Mark Millson,https://open.spotify.com/artist/3wIkO7KPoP7jhrn7OA4yvG,2023-09-11,161750,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Apricity,https://open.spotify.com/track/0gqETOpvyX2eAbcbfjjqGz,Apricity,https://open.spotify.com/album/4EV4xaMY99ldNfGanMgaoe,Ivalu Karlsen,https://open.spotify.com/artist/4RHvOz3KD1p3LmEEnpVN8a,2023-09-11,132750,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Arkata (Munich Session),https://open.spotify.com/track/2Vtfuz6CZSpOZ6f40k7Ywk,Munich Session,https://open.spotify.com/album/5Dp1VpNlgHhyXoLVU3xUEC,Carlos Cipa,https://open.spotify.com/artist/23Yv6j1axUmPPo5M6u6erO,2023-09-11,242000,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Asilah,https://open.spotify.com/track/00iniRV1mt5IS6ep01e2Ts,Asilah,https://open.spotify.com/album/5ngz6Awk3fEPDe5GomDmRM,Sumsar,https://open.spotify.com/artist/3IKjg0f073Wk4IecayFzWW,2023-09-11,160086,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Avalanche,https://open.spotify.com/track/1kQFxgqG3KcKErQlvH66lz,Avalanche,https://open.spotify.com/album/0VG2I88bspS6L3rgcTC3Dm,Lucién,https://open.spotify.com/artist/76OnsMFi0V8EsscskTGEch,2023-09-11,136000,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Ártabra,https://open.spotify.com/track/3AMGT6wBi8UYxmYK4dS1mP,Ártabra,https://open.spotify.com/album/1d1jH5lYcRiaRZVCOCSNTe,Biba Dupont,https://open.spotify.com/artist/7vwpKCVjqvSn8RVOhD38g9,2023-09-11,202147,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Badzura: Muse d'eau,https://open.spotify.com/track/2X32IY314Mt7NRi2taldLX,Reflections Pt. 3 / RWKS,https://open.spotify.com/album/4lKjOi9WFEBvafMP8IXToY,Víkingur Ólafsson,https://open.spotify.com/artist/0iqgjl0OG3z53PZVIB7ZyD,2023-09-11,213737,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Becoming,https://open.spotify.com/track/2wPHCAgYiIIfEMt4Lj1xMg,Becoming,https://open.spotify.com/album/1XDp0E8TtyTWFlniXqkV1C,Davignon,https://open.spotify.com/artist/6X9fOKgbMi7PCa7ZuB7ktE,2023-09-11,163250,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Belle Chose,https://open.spotify.com/track/1xvQ1dL7KqGKWxqR0dkSeY,Belle Chose,https://open.spotify.com/album/7j9Fxq6fK1UyldqGnnY1TX,Moldoveanu,https://open.spotify.com/artist/4eyw3Zvban1yje7bF3ha4O,2023-09-11,160624,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Bellevue,https://open.spotify.com/track/2Djv53hoQWobBuNHkSKpXC,Doldrums,https://open.spotify.com/album/40IZbOkmYrcusUzTzLmT0p,Franz Becker,https://open.spotify.com/artist/4QepILDr1gW2tDbFhWCl3t,2023-09-11,201500,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Ce jour là,https://open.spotify.com/track/3lUAjSVqgu8A7e7Vhlu74G,Ce jour là,https://open.spotify.com/album/2XPO10I96fugOchMhRpqxW,Laetitia Dostie,https://open.spotify.com/artist/5s6PaKcOZ8NA318EJoA86v,2023-09-11,147500,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Cessura,https://open.spotify.com/track/7uvey8m0ZfknE25sBVWoGY,Fragment,https://open.spotify.com/album/4hDrHeKxgRFP07lI6RAkoE,Ever So Blue,https://open.spotify.com/artist/6LwcYWG1molG0KW2xwnPd2,2023-09-11,185390,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Chambers,https://open.spotify.com/track/4wHsmSi7FBZ2aZhQ3ook7M,Chambers,https://open.spotify.com/album/61DhX4MuBUYTYnlrdBhyiN,Ali Toygar,https://open.spotify.com/artist/3UWxXb2q9zHnhaSjHcKt7H,2023-09-11,145280,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Days from Before,https://open.spotify.com/track/5bEOU1GF4yjpSAh3KSPtQD,Days from Before,https://open.spotify.com/album/1bRj0JsqIjH1qmJLDVyytH,Niall Byrne,https://open.spotify.com/artist/39u6Bl8CfMjzqKVaM3JsTJ,2023-09-11,127938,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
De seu,https://open.spotify.com/track/5Bl7fjZwq3u37T51tspPAp,De Seu,https://open.spotify.com/album/0a84zl4kQdodn1VhkTl3jl,Mirta da Silva,https://open.spotify.com/artist/0lQPyV27qv4l2vBbFJsImj,2023-09-11,155107,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Der Wandervogel,https://open.spotify.com/track/3I7JFFCxYmFnhU5qrsIpZo,Der Wandervogel,https://open.spotify.com/album/1UVUymmfClpklygLYiWIWJ,Ludwig Bern,https://open.spotify.com/artist/3CTqF5KWRHPvxA8SMgxHNA,2023-09-11,160368,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Desalniettemin,https://open.spotify.com/track/3nm9jlY1vOwilh9o1Ap5cI,Desalniettemin,https://open.spotify.com/album/4gHUVgx7oXpx056ricXMCA,Mavis Marchena,https://open.spotify.com/artist/6MSPdpw1XqfQfFarlvDwhd,2023-09-11,172374,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Donde Nadas,https://open.spotify.com/track/0SpK2s8gJnetHIuzSBqgta,Donde Nadas,https://open.spotify.com/album/6Yg0OOMxh7bywdOeUVzwXK,Lupe Sinsonte,https://open.spotify.com/artist/5VrQgRw2aE8eIfz6bWGuWE,2023-09-11,141941,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Ever so Slightly,https://open.spotify.com/track/3YNk1HaBPCs41BV4ZocgCd,Ever so Slightly,https://open.spotify.com/album/3ITjZBoELygScB7OPp1hzq,Jenny Lange,https://open.spotify.com/artist/0bdXzz2dagVewMxDw4CX4i,2023-09-11,252000,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
Evergreen Valley,https://open.spotify.com/track/5nCSPEXKmujALmfjnM2rpP,Days Gone By,https://open.spotify.com/album/0je0PVxNcqe1d9n6HRoTx5,Tiny Rhino,https://open.spotify.com/artist/7Ma0CST4j0LCd0IYNi5RK4,2023-09-11,176250,2023-10-15,Despierta poco a poco con la tranquilidad de las notas del piano.,Piano para Despertar
