track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Lamèn,https://open.spotify.com/track/4bT1rl9bnULJw7ivrXozfQ,Rainy Season Blues,https://open.spotify.com/album/01PrHxFNvBdEZr99c03s3M,Lobi Traoré,https://open.spotify.com/artist/5uycig9ettxM7vWsZt4Rzp,2021-10-21,141360,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
Aaqa - Coke Studio Season 9,https://open.spotify.com/track/7ullpqaNSeTxBObPH8djXd,Aaqa - Coke Studio Season 9,https://open.spotify.com/album/6A5WZRxOF5DGX7RRWADhYl,"Abida Parveen, Ali Sethi","https://open.spotify.com/artist/4EkSOXM6psqNE4w6j0tEEl, https://open.spotify.com/artist/3NegWDGp038A3FIi3gSYzl",2022-04-18,507000,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
Abdel Kader - Live à Bercy / 1998,https://open.spotify.com/track/2GYijO8Hqmm2OG4l0qGwIc,This is Christmas - Arabic,https://open.spotify.com/album/5rI43tQdy9cjIvjHiV46hB,"Rachid Taha, Khaled, Faudel","https://open.spotify.com/artist/2URqJkDiySO0FRiAUq75FV, https://open.spotify.com/artist/28ztjHIXceRRntmTUfnmUX, https://open.spotify.com/artist/3z7JrEEE9McrDXpYigPncZ",2022-10-06,296946,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
"Abdel Kader - Live à Bercy, Paris / 1998",https://open.spotify.com/track/3PNqtQFVeULgHm7Cs7Yofd,"1,2,3, Soleils",https://open.spotify.com/album/1fYYDAZ9C2gg3rB66JpHjS,"Rachid Taha, Faudel, Khaled","https://open.spotify.com/artist/2URqJkDiySO0FRiAUq75FV, https://open.spotify.com/artist/3z7JrEEE9McrDXpYigPncZ, https://open.spotify.com/artist/28ztjHIXceRRntmTUfnmUX",2021-10-21,297693,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
"Abdel Kader - Live à Bercy, Paris / 1998",https://open.spotify.com/track/35WrDt7pX6fg7JLJ2fkuaM,Rock'n'Raï,https://open.spotify.com/album/3Jnmgp39WIXFLcPzUDsaRH,"Rachid Taha, Faudel, Khaled","https://open.spotify.com/artist/2URqJkDiySO0FRiAUq75FV, https://open.spotify.com/artist/3z7JrEEE9McrDXpYigPncZ, https://open.spotify.com/artist/28ztjHIXceRRntmTUfnmUX",2022-10-06,300426,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
Akaline,https://open.spotify.com/track/0V9DjtOmk3yxz8HeEyxYsY,Tin Hinane,https://open.spotify.com/album/58tahxJBcMrtsbp0s3amh2,Kel Assouf,https://open.spotify.com/artist/5mu6VL20oyfrkqOW61w7p9,2021-10-21,304080,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
Al Hassidi Terei,https://open.spotify.com/track/3qCQ1aB8LORMvKL8LS2M2u,Music In Exile,https://open.spotify.com/album/0DVAsW7CZkaUg8zv0FinJI,Songhoy Blues,https://open.spotify.com/artist/5fpQ5Qt2BKgoVBSMw4Z17Z,2021-10-21,223960,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
Al Hassidi Terei,https://open.spotify.com/track/4T86ekCWvGFiFxoa1fLssp,Music In Exile,https://open.spotify.com/album/5zpmNObCgAASco8nNJXIkb,Songhoy Blues,https://open.spotify.com/artist/5fpQ5Qt2BKgoVBSMw4Z17Z,2022-10-06,223960,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
Al Sourah (The Photo),https://open.spotify.com/track/4SCrXi9ykaO1ARxy3LpoDX,Al Sourah (The Photo),https://open.spotify.com/album/6ZIkpdcwNKpPwT05nVe1aj,Mohammed Wardi,https://open.spotify.com/artist/313bd0jXbLkPKmko793BuU,2021-10-21,543976,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
Al-Mu'allim,https://open.spotify.com/track/17KiqMisJnqgkgz87B0y3L,Al-Mu'allim,https://open.spotify.com/album/3FC9MHaKXqQbPxS1Z1Z3Vy,Sami Yusuf,https://open.spotify.com/artist/7GnedB795OhbMbojdC3bzj,2022-03-31,345413,2021-12-29,Track from Muslims around the world. Cover: Maher Zain,Salam
