track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Badlands rendez-vous,https://open.spotify.com/track/5ykpANKPBgBGzJiprdSnnx,「劇場版 TRIGUN -Badlands Rumble-」O.S.T.,https://open.spotify.com/album/1gFKvXjaV7ws7MnONh7KKx,Tsuneo Imahori,https://open.spotify.com/artist/5pfYZjQ34Czl0aQcWxQSmp,2021-05-26,150064,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
BIG BLUFF,https://open.spotify.com/track/36wkLZs1Cjk1wx0jLByYpe,トライガン　TRIGUN THE FIRST DONUTS,https://open.spotify.com/album/2GIZ52Vb5m6s7KV2SRxT4h,Tsuneo Imahori,https://open.spotify.com/artist/5pfYZjQ34Czl0aQcWxQSmp,2021-05-26,224900,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
BLOOD AND THUNDER,https://open.spotify.com/track/76l7MFgonqaorlrd5yeBwS,トライガン　TRIGUN THE FIRST DONUTS,https://open.spotify.com/album/2GIZ52Vb5m6s7KV2SRxT4h,Tsuneo Imahori,https://open.spotify.com/artist/5pfYZjQ34Czl0aQcWxQSmp,2021-05-26,217833,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Blues Harp in The Wasteland-ii,https://open.spotify.com/track/05TLgTdyjPaOjlUOTyHZck,TRIGUN STAMPEDE - Original Television Soundtrack 2,https://open.spotify.com/album/07Zvo11qyw1uDtS5SspjZt,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,36500,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Blues Harp in The Wasteland-ii,https://open.spotify.com/track/3JXeWs4ehkp8KkcNMPIwUY,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/2teutrE7vf4dfz8L8DtvFQ,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,36500,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Blues Harp in The Wasteland-ii,https://open.spotify.com/track/5Wef4pqNhF8KY0w19xHuAC,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/6csNXzQg2Eq9qRexsVT2s8,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,36500,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Boyhood,https://open.spotify.com/track/1VywfMEGuXLmiPmYCfgPSB,TRIGUN STAMPEDE - Original Television Soundtrack 2,https://open.spotify.com/album/07Zvo11qyw1uDtS5SspjZt,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,149000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Boyhood,https://open.spotify.com/track/6sUL53k924OnUtERBA3sne,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/6csNXzQg2Eq9qRexsVT2s8,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,149000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Boyhood,https://open.spotify.com/track/7EZrbMbAQPHLSMBkd7JCqC,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/2teutrE7vf4dfz8L8DtvFQ,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,149000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Cheers!,https://open.spotify.com/track/7AxloVMZ7GWpp86ohQ1Gfu,トライガン　THE 2nd Donut HAPPY PACK,https://open.spotify.com/album/0ySwOzWYkqaGrXQp8vJgId,Tsuneo Imahori,https://open.spotify.com/artist/5pfYZjQ34Czl0aQcWxQSmp,2021-05-26,136666,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Colorless Sky,https://open.spotify.com/track/71nALFU4TxDx0OI9booPii,トライガン　THE 2nd Donut HAPPY PACK,https://open.spotify.com/album/0ySwOzWYkqaGrXQp8vJgId,Tsuneo Imahori,https://open.spotify.com/artist/5pfYZjQ34Czl0aQcWxQSmp,2021-05-26,133226,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Complicity,https://open.spotify.com/track/17n1KWb6QmV24QnUOg37ox,TRIGUN STAMPEDE - Original Television Soundtrack 2,https://open.spotify.com/album/07Zvo11qyw1uDtS5SspjZt,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,143000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Complicity,https://open.spotify.com/track/1L8dAeI3mJUWP4PdYBBvcK,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/6csNXzQg2Eq9qRexsVT2s8,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,143000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Complicity,https://open.spotify.com/track/5tcn7HkQlycwJQjwGG5cSH,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/2teutrE7vf4dfz8L8DtvFQ,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,143000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Conception,https://open.spotify.com/track/5Bf9gUZjat10JQPv10lQFd,TRIGUN STAMPEDE - Original Television Soundtrack 2,https://open.spotify.com/album/07Zvo11qyw1uDtS5SspjZt,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,90000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Conception,https://open.spotify.com/track/72Cr4oEehdcPmSf5qSTouW,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/2teutrE7vf4dfz8L8DtvFQ,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,90000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Conception,https://open.spotify.com/track/72IxizsbYfS3Pg3AberyRf,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/6csNXzQg2Eq9qRexsVT2s8,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,90000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Dialogue,https://open.spotify.com/track/0GA2FUwZjOw7HTuwjEQ6u7,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/6csNXzQg2Eq9qRexsVT2s8,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,190000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Dialogue,https://open.spotify.com/track/1tGVKIv6qReGKVTBLqNzQu,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/2teutrE7vf4dfz8L8DtvFQ,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,190000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Dialogue,https://open.spotify.com/track/3MhvZ34dg8w7hej6AJBvjT,TRIGUN STAMPEDE - Original Television Soundtrack 2,https://open.spotify.com/album/07Zvo11qyw1uDtS5SspjZt,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,190000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Drain Arm,https://open.spotify.com/track/55HK9EiuhyHU8NZ9sqMCJ3,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/2teutrE7vf4dfz8L8DtvFQ,"加藤達也, Zinee","https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx, https://open.spotify.com/artist/3bEZq7F1YgxVIINr7OrK1K",2023-03-26,337500,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Drain Arm,https://open.spotify.com/track/5VQEDM7TX8ELS6DXbbZn96,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/6csNXzQg2Eq9qRexsVT2s8,"加藤達也, Zinee","https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx, https://open.spotify.com/artist/3bEZq7F1YgxVIINr7OrK1K",2023-03-26,337500,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Drain Arm,https://open.spotify.com/track/5fDUnd3zMp9ZI7becpOT1x,TRIGUN STAMPEDE - Original Television Soundtrack 2,https://open.spotify.com/album/07Zvo11qyw1uDtS5SspjZt,"加藤達也, Zinee","https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx, https://open.spotify.com/artist/3bEZq7F1YgxVIINr7OrK1K",2023-03-26,337500,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Drain Gate,https://open.spotify.com/track/17GBap2xZdq1fQhDd5Em4v,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/6csNXzQg2Eq9qRexsVT2s8,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,88500,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Drain Gate,https://open.spotify.com/track/5CiHBtgeY3RbHw5wrp6qfP,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/2teutrE7vf4dfz8L8DtvFQ,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,88500,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Drain Gate,https://open.spotify.com/track/5OP9vmzAQXDpomo62u3KWT,TRIGUN STAMPEDE - Original Television Soundtrack 2,https://open.spotify.com/album/07Zvo11qyw1uDtS5SspjZt,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,88500,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Duet,https://open.spotify.com/track/0la244keUs78ymNYy0mK13,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/6csNXzQg2Eq9qRexsVT2s8,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,86000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Duet,https://open.spotify.com/track/3n6tOT8VIDzwbac1ekWrek,TRIGUN STAMPEDE - Original Television Soundtrack 2,https://open.spotify.com/album/07Zvo11qyw1uDtS5SspjZt,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,86000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Duet,https://open.spotify.com/track/4tFDHsh43JyCObJ2H9jcwQ,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/2teutrE7vf4dfz8L8DtvFQ,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,86000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
Elendira the Crimsonnail,https://open.spotify.com/track/1gwxhBJTNMgKa7FwvQzOAP,「TRIGUN STAMPEDE」 Original Soundtrack 2,https://open.spotify.com/album/2teutrE7vf4dfz8L8DtvFQ,加藤達也,https://open.spotify.com/artist/68c6aJmIbV2VVfU6ObU1Nx,2023-03-26,59000,2022-06-10,"Listen to soundtracks from SF anime series ""TRIGUN"".「トライガン」シリーズの楽曲を1つのプレイリストで。© 2023 内藤泰弘・少年画報社／「TRIGUN STAMPEDE」製作委員会",TRIGUN series トライガン シリーズ
