track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#4u,https://open.spotify.com/track/1scCASo2eOvStCBxUS95sa,#4u,https://open.spotify.com/album/7lSFPJJSetFsOVLPvRqeP4,Senses,https://open.spotify.com/artist/2soiLmeGhmq9uQ9fqZm3KA,2022-05-27,108003,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
2hard2letgo,https://open.spotify.com/track/5ZXIXykKMHmCRoZJz53OnA,2hard2letgo,https://open.spotify.com/album/3PR1n9VEgRTrjkfG8DStrp,helloworld,https://open.spotify.com/artist/01qG5pbsKe96w87ZMjphP4,2022-06-10,226950,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
4ever1,https://open.spotify.com/track/0GxANOXWo9oJRjH32EOYkW,4ever1,https://open.spotify.com/album/07D2Gq848vkcj5T1Gpfoyl,caro♡,https://open.spotify.com/artist/3ypTgZWVLSkBaTjFNjSDE8,2023-08-25,156916,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
A Cyber's World,https://open.spotify.com/track/2p2E7hPrV1k3pGESHHP75E,A Cyber's World,https://open.spotify.com/album/4Skl8xv9LILiUM5CS4yk8T,"Curly, Dj Cutman","https://open.spotify.com/artist/4AE4o0hck4magAI2urzzlh, https://open.spotify.com/artist/1IwzmBTWI4CzUNsZM7Zqd8",2022-01-07,172631,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
"A CYBER'S WORLD? (From ""Deltarune"") - Electro House Version",https://open.spotify.com/track/7s9VjAWhf8ypPqdOCR3hcn,"A CYBER'S WORLD? (From ""Deltarune"") [Electro House Version]",https://open.spotify.com/album/38WxY9cf0avPDxehC3ubmL,Mykah,https://open.spotify.com/artist/3VYxuvrdxNbXmDIxiHYDqz,2022-01-07,269365,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
Addicted,https://open.spotify.com/track/10Ypa5Os3CqBKRZT8K2V9Q,Addicted,https://open.spotify.com/album/3nonfj60UK0mksfJlP9Dir,Whales,https://open.spotify.com/artist/5zId1SmYy46E9v2KQsSTFR,2022-11-11,169600,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
Airway,https://open.spotify.com/track/7H0Fn4Rf76dMg6hNzyOlef,Airway,https://open.spotify.com/album/1hvFDHasQOCnAMQfRNa3JO,Sublab,https://open.spotify.com/artist/3tjRdPCZTpme7vslZJYtJx,2022-01-07,195200,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
Alcove Pacino,https://open.spotify.com/track/6U4zq56WY4VC1v6hMGm97T,Thumbs Up,https://open.spotify.com/album/4CB0MkVEMqgzkeXe47gmPX,Jobii,https://open.spotify.com/artist/2MGL4XU2LCJC47c7VvSwuE,2023-10-25,149856,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
Alive,https://open.spotify.com/track/4XmSL1CcNGC6U1t56alzF7,Alive,https://open.spotify.com/album/6Rt1ebG0UdXmQRheYmSJyh,OBLVYN,https://open.spotify.com/artist/6K47OYDcLTBRebTJGDtedF,2022-01-07,217285,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
All Too Much,https://open.spotify.com/track/2A9Vt5Mzf5kuqtkqikbsW9,All Too Much,https://open.spotify.com/album/7tAT5guOQp2lRqr72cUoHK,"Lenno, Olivera","https://open.spotify.com/artist/4IRw3ME1D0lYOyFyXAjDv7, https://open.spotify.com/artist/4iFfQpzvTJDhqmSi28EhYu",2023-01-27,171021,2022-01-17,Electronic tunes for your virtual world.,Pixel Garden
