track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
$20,https://open.spotify.com/track/1yCpIUNj2Lastwc0NrrhGP,the record,https://open.spotify.com/album/3ChFT9NdwI13XCF2Bs0aaq,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","https://open.spotify.com/artist/1hLiboQ98IQWhpKeP9vRFw, https://open.spotify.com/artist/12zbUHbPHL5DGuJtiUfsip, https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG, https://open.spotify.com/artist/07D1Bjaof0NFlU32KXiqUP",2023-02-10,200093,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
$20,https://open.spotify.com/track/38xXr3MkiKNzNDv4JDJagF,the record,https://open.spotify.com/album/0e9GjrztzBw8oMC6n2CDeI,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","https://open.spotify.com/artist/1hLiboQ98IQWhpKeP9vRFw, https://open.spotify.com/artist/12zbUHbPHL5DGuJtiUfsip, https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG, https://open.spotify.com/artist/07D1Bjaof0NFlU32KXiqUP",2023-03-17,200093,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
$20,https://open.spotify.com/track/6KHYVC9avWQMH40pidRtcG,the record,https://open.spotify.com/album/6NXpVVeILNHgAdJ3jdwsWg,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","https://open.spotify.com/artist/1hLiboQ98IQWhpKeP9vRFw, https://open.spotify.com/artist/12zbUHbPHL5DGuJtiUfsip, https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG, https://open.spotify.com/artist/07D1Bjaof0NFlU32KXiqUP",2023-01-19,200093,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
(You're Better) Than Ever,https://open.spotify.com/track/4oZbuLXzaXBHKLrMJQq3Ie,Kiss Yr Frenemies,https://open.spotify.com/album/7MBEDhV5OFYhCq6fkmQNUT,illuminati hotties,https://open.spotify.com/artist/3ztRX1UoIOsFqpD7dB6R8O,2021-03-09,141133,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
1/500,https://open.spotify.com/track/68fNzYr811YjCcj8DSRbwI,YOU’LL HAVE TO LOSE SOMETHING,https://open.spotify.com/album/0aZGq0nA2n4275MFylaTGM,SPIRIT OF THE BEEHIVE,https://open.spotify.com/artist/25CgccXK9hJBTuaMF44zeR,2024-08-23,162758,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
17,https://open.spotify.com/track/6M6B25BFwE2h7W5izrDYmD,17,https://open.spotify.com/album/2R7HViCC1W5fNTEVYbWVog,Wunderhorse,https://open.spotify.com/artist/41pd7r1XBRsvdxY3vHEgib,2022-02-04,193117,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
19 in a Week,https://open.spotify.com/track/3rhwcOaX6HbsUmZCizAc06,Young & Naive,https://open.spotify.com/album/1TxGtjJWDD0k1WZPHmnNMJ,Nieve Ella,https://open.spotify.com/artist/14zhvja4OxwrmivOB3LHOn,2023-01-20,193017,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
2002,https://open.spotify.com/track/7duZGjDETceWUu5KvKJjQU,2002,https://open.spotify.com/album/4rJmJ9Iqe1SdQ8Sg5hmZUx,Enumclaw,https://open.spotify.com/artist/79yETfINxnDl54mTKLZUlb,2022-02-28,152462,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
"23, Never Me",https://open.spotify.com/track/6X1qkAaZoCIgcrqyeRJP8L,"23, Never Me",https://open.spotify.com/album/4q4NgtvMSCRc8LukyOks4F,Dead Pony,https://open.spotify.com/artist/3lGO6uBIzoFyU6OoGMER1B,2021-03-09,175432,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
24 hours,https://open.spotify.com/track/7j0XR8mdPg6tlbvPd2DUQO,24 hours,https://open.spotify.com/album/7CeRRQTS5yD21SnqYoIsu2,Chloe Slater,https://open.spotify.com/artist/43R8Umt7qVmJCcOZGWJy24,2024-02-09,220000,2022-01-02,The best in current indie rock. Cover: Callinsick,pulp
