track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
3am.,https://open.spotify.com/track/1NsigGjFYGCGj6kN4U6hCD,3am.,https://open.spotify.com/album/3da55xCQlOiQXcF2oQWwzX,Anıl Emre Daldal,https://open.spotify.com/artist/5MHG3bmjGh0aqT8hS3nPzS,2024-06-28,183678,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
80,https://open.spotify.com/track/4sxUo3eYsggnyYiMDfjb1j,Sistemik,https://open.spotify.com/album/54Q2ZaskRN5bo3nWl9n8pU,Son Feci Bisiklet,https://open.spotify.com/artist/4q2SZIdLq6YTc9cZLCclWc,2024-10-22,216800,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
Acıtır gibi severek,https://open.spotify.com/track/4EC9KUi9fXKFzK17Or0A1a,Acıtır gibi severek,https://open.spotify.com/album/4CiPRmoqI7UVRc4EfBqozH,Canozan,https://open.spotify.com/artist/4MUb8ilmrxyePXwSkG31lC,2024-10-17,225000,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
AF.,https://open.spotify.com/track/2Pzee5kJnvGniV2W6egT8S,AF.,https://open.spotify.com/album/0iIi6muIE3RVOH7L9KAM7G,Anıl Emre Daldal,https://open.spotify.com/artist/5MHG3bmjGh0aqT8hS3nPzS,2025-02-06,267574,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
Ah Be Güzelim,https://open.spotify.com/track/1XrW9jrShl5CGPhAHmkajS,Kahırlı Merdiven,https://open.spotify.com/album/3iiDh9sqqJDc9rxsGCm0pS,Adamlar,https://open.spotify.com/artist/1g4J8P1JWwanNyyXckRX5W,2024-11-14,343921,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
Ah Ben Öleyim Yollarına,https://open.spotify.com/track/1xVLRgRdoMxcYAYSuBhaIw,Ah Ben Öleyim Yollarına,https://open.spotify.com/album/0fD4x0ZSjaF8Ddhu9rFkMs,Zaaf,https://open.spotify.com/artist/50duVkVqOy98xlSpzJ865B,2024-06-28,151642,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
Ah Sen Olmasan,https://open.spotify.com/track/4bCHSOrUJyZsN6Ie9Euj3L,Ah Sen Olmasan,https://open.spotify.com/album/7djJKeipxC9LYLLau9dnsV,"Konuya Fransız, Lalfizu","https://open.spotify.com/artist/2qyTHYcgc74oHaow97ZKhx, https://open.spotify.com/artist/30QNnzgsYkMMoS34AlWGxE",2024-12-12,189250,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
Ahu Gözlüm,https://open.spotify.com/track/5XKA8HR1B7XDDGKzgwRqII,Ahu Gözlüm,https://open.spotify.com/album/5DVYAqvVw2E9O4oYxRsYcN,Pera,https://open.spotify.com/artist/1bzmtVU7jf2rRZJALkZA3j,2024-07-04,211264,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
Aslında,https://open.spotify.com/track/4fn2nwcjmklI8OpTfUdHwy,Aslında,https://open.spotify.com/album/7jISeUTIJbrJ7xuLadl6jz,Kirli,https://open.spotify.com/artist/1xphUgdrqKwGdIpcLVH7ho,2024-11-07,265645,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
Ateşe Yazık,https://open.spotify.com/track/1hGZt0amLntMFpbexBznVR,Ateşe Yazık,https://open.spotify.com/album/3hQtQX21TVAUba7nXEcScd,melih,https://open.spotify.com/artist/7v5y2DtJeWGa5dl6y1ntp1,2024-11-28,220094,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
Ayrılık Olsa Bile,https://open.spotify.com/track/5anYdYRTZv8akhCvkuzHyX,Yadigâr,https://open.spotify.com/album/0Pxd247o0x57Qru7epSOWv,The Ringo Jets,https://open.spotify.com/artist/5FhnxR08tvAO0f4ixh3VFD,2024-10-22,243225,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
Ağlama ben ağlarım,https://open.spotify.com/track/0JU2QfhTrgFsVq5yQ4YQlu,Ağlama ben ağlarım,https://open.spotify.com/album/3rgbFg9EMtHdzwrxibL6ha,Canozan,https://open.spotify.com/artist/4MUb8ilmrxyePXwSkG31lC,2024-06-28,191694,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
AŞK,https://open.spotify.com/track/3mH7s0GWf8dBoaE1BWp652,AŞK,https://open.spotify.com/album/6D64xY5V6oi2rPEoTZvf0Z,"Dedublüman, Cem Adrian","https://open.spotify.com/artist/5PRW6j58xEEWL4DDVEITKT, https://open.spotify.com/artist/2AWUCT9xtcvkjpFq1ZgpPj",2024-06-28,214155,2024-07-02,Gitar ve davulu konuşturanlar. 🎸 Kapak: Paptircem x Batu Akdeniz,Türkçe Rock
