track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
4 Hz Theta Drone,https://open.spotify.com/track/5zz6lTmT0vq9CU5aukUYYW,4-8 Hz Theta Drones,https://open.spotify.com/album/5YWRca6jb91Eg44iFmf5hx,Theta Max,https://open.spotify.com/artist/2O2jPUqRbUz01bfmZcGPRf,2021-12-06,214000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
4 Hz Theta Waves Frequencies,https://open.spotify.com/track/6axFRGiCzRVV3kqo8YXJGJ,"Theta Waves, Meditation Frequencies",https://open.spotify.com/album/3pisceRcsx1eThwrrRLj2Y,"Solfeggio Healing Music, FRQNCY, Miracle Sounds, Meditation Music, Relaxation Music","https://open.spotify.com/artist/550D2fGbvNkIEIhh8jmsKj, https://open.spotify.com/artist/0NVQeKz5iWvQnjKZa9bfvQ, https://open.spotify.com/artist/24WGOPvGoxsnvycYgn9vtu, https://open.spotify.com/artist/6ulqk6oNurcUGgCi5TkHzs, https://open.spotify.com/artist/6WvwZpGrifzOWGVTCqTYSO",2022-05-17,132546,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
432 Hz (Theta Waves 4 Hz Rem Sleep),https://open.spotify.com/track/5Zt2J0DPsSkXdLy2nBjZiF,Theta Waves 4 Hz (REM SLEEP),https://open.spotify.com/album/5T1rIbINUEvwEL9ocK5FUT,"Sound Bath, Sleep Sound Bath, Solfeggio Sound Bath","https://open.spotify.com/artist/1wuPfTKt5zzbZixeifF5DO, https://open.spotify.com/artist/5PbKtdF4pbxpsqyiuHOC7l, https://open.spotify.com/artist/3JKh8aHFH7ALz2GIvJB0p3",2022-05-24,120000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
4HZ Theta - 67HZ - 71HZ - Binaural Sines,https://open.spotify.com/track/4ofyRopQZ9aymwSSQpGi6q,Local Abroad,https://open.spotify.com/album/2WvTyKXCoe5pc7diLHhzLf,Local Abroad,https://open.spotify.com/artist/6fzGY6vXqUv1OJxFTVlMfu,2024-02-19,130909,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
4hz Theta Long Swells,https://open.spotify.com/track/5np35mW6FlnQfqjWYWR4ZN,4hz Theta Long Swells,https://open.spotify.com/album/2gTUC25vY1BXlmeZH9ZAiy,Adeki,https://open.spotify.com/artist/6RzQZCS8ASfdft71WxsL9N,2021-12-06,525792,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
5 Hz Theta - Creativity & Intuition,https://open.spotify.com/track/60oZibxpJVRwIHQdT5KjWD,"Solfeggio Frequencies: Healing Musical Soundscapes for Meditation, Spa, Yoga & Deep Relaxation",https://open.spotify.com/album/0Cymwa426TUFrAFXrnFihA,Kev Thompson,https://open.spotify.com/artist/5W0jSDb5Woe76iOsi3YuIW,2021-12-06,372000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
7.8 Hz Drone,https://open.spotify.com/track/29dNoIQv0NwNfzsx4k5rsC,Superdrone Progressive Relaxation,https://open.spotify.com/album/0Pl4VLTPJRQbQj4DOd8UvU,Brainwave Binaural Systems,https://open.spotify.com/artist/0wUzLDsBbnqu7Mqzg8fhWP,2021-12-06,60029,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
7Hz Theta Waves - Deep Relaxation (160Hz - 167Hz) Binaural Beats,https://open.spotify.com/track/7mnef5Q47Cn0aNM4YA7eWh,7Hz Theta Waves - Relaxamento Profundo - Binaural Beat,https://open.spotify.com/album/6oCBXWV97TXNWz8hVexsi7,Binaural Beats Pure,https://open.spotify.com/artist/5Gw1yXrlZF6hePYyeZUZdQ,2022-05-17,180000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Air Theta 5hz,https://open.spotify.com/track/1HLhFUBUe3EVWindRioCB5,Air Waves 5-10hz,https://open.spotify.com/album/6gIiXBzCo5jD9B1D5QhS87,Afar Lux,https://open.spotify.com/artist/0WT73qyUspmqMJMjtIAjjG,2024-02-19,158624,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Binaural 5HZ Theta - 65HZ - 70HZ,https://open.spotify.com/track/1ceFbynOnDRdIkWnwDpQS9,Healing Sines Binaural 2,https://open.spotify.com/album/4eCytLY2LUz4QdXeOCf3xd,Healing Sines Binaural,https://open.spotify.com/artist/229WxeHEbUDbjdneDnA9ms,2024-02-19,160000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Binaural Beats 6 Hz - Theta Waves,https://open.spotify.com/track/64IGvjZPNHNfEh1KxFpqom,"Binaural Beats - Pure Brian Tones - (For Study, Focus, Deep Sleep and Meditation)",https://open.spotify.com/album/0SEAgXQXDlLfFkY0JGXDLI,Binaural Beats System,https://open.spotify.com/artist/7HRhmruoIMEirMXt4cnsQT,2022-05-17,300000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Binaural Theta 4 Hz,https://open.spotify.com/track/00JZ8gYC7ete4eCxHN3SJG,Binaural Beats and Isochronic Programs,https://open.spotify.com/album/7LkpxT3LewPIMO5o2DxTfR,Relaxation Sleep Meditation,https://open.spotify.com/artist/5f3oBa8B2mo3MeeIK7B2FE,2021-12-06,120000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Binaural Theta 4.5 Hz,https://open.spotify.com/track/0HFLWWzbYAKG5VNkDDzHUR,Binaural Beats and Isochronic Programs,https://open.spotify.com/album/7LkpxT3LewPIMO5o2DxTfR,Relaxation Sleep Meditation,https://open.spotify.com/artist/5f3oBa8B2mo3MeeIK7B2FE,2021-12-06,120000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Binaural Theta 5 Hz,https://open.spotify.com/track/0pUsqn9giNMySEhVoUvTG1,Binaural Beats and Isochronic Programs,https://open.spotify.com/album/7LkpxT3LewPIMO5o2DxTfR,Relaxation Sleep Meditation,https://open.spotify.com/artist/5f3oBa8B2mo3MeeIK7B2FE,2021-12-06,120000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Binaural Theta Sinus 95 Hz - 99 Hz,https://open.spotify.com/track/7pbiAcJ9s27XaPJDgeePok,Binaural Theta Sinus 95 Hz - 99 Hz,https://open.spotify.com/album/74vYTUE07u6O7Cc2HdhzL0,Theta Aum,https://open.spotify.com/artist/7JqEtz50hLij7xaWbuWV42,2024-02-19,211570,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Binaural Theta Waves 100-104 Hz,https://open.spotify.com/track/7zO7szd8BtnbafZ2CiBAL1,Binaural Theta Waves 100-104 Hz,https://open.spotify.com/album/2UPm0MpBkISomZMxgrMhnI,Asajj Sadie,https://open.spotify.com/artist/7dBSSjPi5Web6Ifwg1uiSd,2024-02-19,154000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Binaural Theta Waves 98-104 Hz,https://open.spotify.com/track/3bgt5my5lDPV2sRtjv4vp0,Binaural Theta Waves 98-104 Hz,https://open.spotify.com/album/6gjnk5KglCtl5369QLEFMT,Syntropic Mind,https://open.spotify.com/artist/01O0xjXft0U8kHePVxE0iC,2024-02-19,160000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Blanket of Water (7hz Theta Waves),https://open.spotify.com/track/0ZtBQWlA0s91nUvmtIzFkB,Earth at Rest: Binaural Nature,https://open.spotify.com/album/5uZjw4X6smJ2x9M7okSmIN,Binaural Universe,https://open.spotify.com/artist/6qUTJzdKCvey3G3fksmy1v,2022-09-01,78914,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Blanket of Water (7hz Theta Waves),https://open.spotify.com/track/5lmSsieXEmbfLdVdluuY7z,Earth at Rest: Binaural Nature,https://open.spotify.com/album/7jCmGSMQoztCrgVndb5ID6,Binaural Universe,https://open.spotify.com/artist/6qUTJzdKCvey3G3fksmy1v,2021-12-06,78914,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Brain Waves D Theta (70-77hz),https://open.spotify.com/track/3ZRpxcNPH0trqJuVIILWtc,Nameless Static Theta,https://open.spotify.com/album/59K1vw7ImzS4vtnQlS79Dz,Waves Of Sine,https://open.spotify.com/artist/1Zg71yjBlaSt5KF93TDyxt,2024-02-19,150000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
bravery within (theta state),https://open.spotify.com/track/1JGbmqkZ4xYI4zM5XgckDP,slowed time & bravery within (theta binaural),https://open.spotify.com/album/79lFMqK222Nb8KVQkkPzwS,nite sky,https://open.spotify.com/artist/6zoOpIO7PCBlRaOP10TdJc,2024-02-19,258000,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
Calmer (4 Hz Theta Binaural Beat),https://open.spotify.com/track/0F45YceUR0XowNHuo9PcQG,Forest Meditation,https://open.spotify.com/album/0tWi31iHKcQQJZSiQMwCVZ,Naturalis,https://open.spotify.com/artist/0YpEae2jdApqtfni7YBjEB,2021-12-06,195400,2021-12-28,Theta waves: Your key to perfect sleep. Science says so. Try it!,REM sleep
