track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"Betty Who on ""When I Grow Up""",https://open.spotify.com/track/39fSOaP6ckWXApPhjoiRRh,Betty Who - Spotify Pride,https://open.spotify.com/album/43BOaBDKcslOQjbLj3wM51,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2017-05-31,21874,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
Betty Who on Troye,https://open.spotify.com/track/3lsA6uLknw4dDrwMOsBppa,Betty Who - Spotify Pride,https://open.spotify.com/album/43BOaBDKcslOQjbLj3wM51,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2017-05-31,23500,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
Betty Who Spotify Pride Intro,https://open.spotify.com/track/7M1CvIq5ooa1S2oUldsfOE,Betty Who - Spotify Pride,https://open.spotify.com/album/43BOaBDKcslOQjbLj3wM51,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2017-05-31,5000,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
Confetti,https://open.spotify.com/track/55sBw4msbQ6PZEjSUI059x,Breathe In. Breathe Out.,https://open.spotify.com/album/2hyPisCjBWeFQ90FLwhriT,Hilary Duff,https://open.spotify.com/artist/2S9W9aSAd7e5mp8WqWxN2h,2017-05-31,229400,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
Diva,https://open.spotify.com/track/5Ssv6DaKrW0HczVqx6zXdl,I AM...SASHA FIERCE,https://open.spotify.com/album/23Y5wdyP5byMFktZf8AcWU,Beyoncé,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,2017-05-31,200613,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
Feeling Myself,https://open.spotify.com/track/5fyIGoaaKelzdyW8ELhYJZ,The Pinkprint (Deluxe),https://open.spotify.com/album/5ooCuPIk58IwSo6DRr1JCu,"Nicki Minaj, Beyoncé","https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh, https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m",2017-05-31,237840,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
HEAVEN,https://open.spotify.com/track/5VrgqxF4HM4NgCboCTbMnL,Blue Neighbourhood (Deluxe),https://open.spotify.com/album/5ouTDazE4LF9bVJPx1nlgW,"Troye Sivan, Betty Who","https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP, https://open.spotify.com/artist/0t3QQl52F463sxGXb1ckhB",2017-05-31,261114,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
Human Touch,https://open.spotify.com/track/4CvLP28DM6r7h9mEa55FBb,The Valley,https://open.spotify.com/album/73AQHzR5yXHtA71tfeX6H2,Betty Who,https://open.spotify.com/artist/0t3QQl52F463sxGXb1ckhB,2017-05-31,213920,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
I Love You Always Forever,https://open.spotify.com/track/1p6rk9R8SCum97WnvGNt6O,I Love You Always Forever,https://open.spotify.com/album/3hB9OJw377uPbysIRkNjfF,Betty Who,https://open.spotify.com/artist/0t3QQl52F463sxGXb1ckhB,2017-05-31,222957,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
I Wanna Dance with Somebody (Who Loves Me),https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj,Whitney,https://open.spotify.com/album/5Vdzprr5cOqXQo44eHeV7t,Whitney Houston,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP,2017-05-31,291293,2021-12-21,You’ll vibe with the frothy pop and empowering club classics in this Pride collection from the Aussie synth-pop diva with a human touch.,Betty Who: Pride
