track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
$outhside Story ft. Common,https://open.spotify.com/track/2WLZnJCz7eOOJgN9fH2uvs,Victor,https://open.spotify.com/album/5wa0dQzg8Qe4L28za33DcH,"VIC MENSA, Common","https://open.spotify.com/artist/27w1NoOLMX7tJMYqcetPyG, https://open.spotify.com/artist/2GHclqNVjqGuiE5mA7BEoc",2023-09-15,196647,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
01 Freestyle,https://open.spotify.com/track/0DR8QBEGggmumpglPEguoB,01 Freestyle,https://open.spotify.com/album/1whygQYqsDzmN6vFBkuQ7K,LOWERCASE,https://open.spotify.com/artist/4MTOXpWiUfcUFD4vn8Uoij,2022-04-29,120058,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
1 into 2,https://open.spotify.com/track/6wz0RnxaTOeQFO9QSek3T5,Reels 2 Deals (Vol.1),https://open.spotify.com/album/1MOMQucRyYuqg1vQMFh2Rh,Jellytoofly,https://open.spotify.com/artist/5CiTexZSB5koj9qCPwZwrY,2024-05-23,100244,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
10 Toes (Deluxe),https://open.spotify.com/track/4zKUQ5tOAOfdAzkvg3zHw4,Book of David (Deluxe),https://open.spotify.com/album/3aNQkHJ91AryDozr0STcqO,"Dave East, Buda & Grandz, Berner, B-Real","https://open.spotify.com/artist/7e10JUMF7MJmmwYpnTSMI5, https://open.spotify.com/artist/31LbQp39nE6K73prF65Rj3, https://open.spotify.com/artist/2lrtGWxNXWjd0JzDLKXubI, https://open.spotify.com/artist/2LiWxiQzuD9nmWQ6NCA8Gd",2023-04-28,272325,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
101 Razors (feat. Method Man),https://open.spotify.com/track/5gAzHHzDAnuq9Ubf49OOZL,101 Razors (feat. Method Man),https://open.spotify.com/album/4uuC3eLC3GabCWMjP1ZpzS,"Lloyd Banks, Method Man","https://open.spotify.com/artist/3vDUJHQtqT3jFRZ2ECXDTi, https://open.spotify.com/artist/4VmEWwd8y9MCLwexFMdpwt",2023-03-24,186907,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
1982 (with Curren$y & LE$),https://open.spotify.com/track/4OTmDHEUGop3Qw1GAXm3F9,1982 (with Curren$y & LE$),https://open.spotify.com/album/1VY0UoPeaR3V7P4sA55KnW,"That Mexican OT, Curren$y, Le$","https://open.spotify.com/artist/3BAgmPNIK5IJl7zMK1wvMA, https://open.spotify.com/artist/6X8WdFjrNhXATMDSs26aCc, https://open.spotify.com/artist/7rikNLN4AV6SQn9ryQFaMw",2024-08-16,226666,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
1985,https://open.spotify.com/track/1p1b9LdLJ0REuFJX9mYtFX,Alfredo,https://open.spotify.com/album/3znl1qe13kyjQv7KcR685N,"Freddie Gibbs, The Alchemist","https://open.spotify.com/artist/0Y4inQK6OespitzD6ijMwb, https://open.spotify.com/artist/0eVyjRhzZKke2KFYTcDkeu",2025-01-02,152546,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
1985 - Intro to “The Fall Off”,https://open.spotify.com/track/7EulRO07ZgchxqKUHb8Pvc,KOD,https://open.spotify.com/album/4Wv5UAieM1LDEYVq5WmqDd,J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,2024-05-17,190176,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",https://open.spotify.com/track/1eLU27PPFxBhbp1CBjPh9J,LONG.LIVE.A$AP (Deluxe Version),https://open.spotify.com/album/6rzMufuu8sLkIizM4q9c7J,"A$AP Rocky, Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson, Big K.R.I.T.","https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca, https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg, https://open.spotify.com/artist/2P5sC9cVZDToPxyomzF1UH, https://open.spotify.com/artist/68DWke2VjdDmA75aJX5C57, https://open.spotify.com/artist/7aA592KWirLsnfb5ulGWvU, https://open.spotify.com/artist/7BMccF0hQFBpP6417k1OtQ, https://open.spotify.com/artist/0CKa42Jqrc9fSFbDjePaXP",2022-04-29,372173,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
2-3 Zone,https://open.spotify.com/track/61stjy8wXtCR3prmF6JEpm,2-3 Zone,https://open.spotify.com/album/2v2ohqVKWPDDfXpVMfuBK8,Erick the Architect,https://open.spotify.com/artist/2mQLwfvZtvtTbipKn3xHmK,2024-02-23,179025,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
2011 (feat. Venna),https://open.spotify.com/track/0n7mUH2Yx5mrUW2NvCBcTD,The Patience (Deluxe Edition),https://open.spotify.com/album/1QEyTusbAcW5xMGGvWQkyC,"Mick Jenkins, Venna","https://open.spotify.com/artist/1FvjvACFvko2Z91IvDljrx, https://open.spotify.com/artist/7qKJMpPZfyGHHwPgsjgFCP",2024-01-19,170007,2022-05-01,"Damn son, where'd ya find this? ",Raw & Uncut
