track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(Everything I Do) I Do It For You,https://open.spotify.com/track/6eBK3edMW7bEzecF1eCezc,Waking Up The Neighbours,https://open.spotify.com/album/061uAXmheZOILmf2rr3tTn,Bryan Adams,https://open.spotify.com/artist/3Z02hBLubJxuFJfhacLSDc,2022-01-25,394133,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",https://open.spotify.com/track/4BFMQ15vXr626UOoZL8bUI,Platinum & Gold Collection,https://open.spotify.com/album/2Ll0rYVkAHV0QT7P2vknQc,"Bill Medley, Jennifer Warnes","https://open.spotify.com/artist/1XE70WwxhnrXNAJYQQ9ygx, https://open.spotify.com/artist/1BwHztAQKypBuy5WBEdJnG",2022-01-25,289066,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
(There Is) No Greater Love,https://open.spotify.com/track/4VbqUDBWyK15pTal9THtFu,Frank (US Clean e-Version),https://open.spotify.com/album/0RisvCe4jLWes0m89StnuZ,Amy Winehouse,https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR,2022-01-25,128933,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
"10,000 Hours (with Justin Bieber)",https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",https://open.spotify.com/album/4ow6xJwn49gpWz7iHpOzWY,"Dan + Shay, Justin Bieber","https://open.spotify.com/artist/7z5WFjZAIYejWy0NI5lv4T, https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s",2021-08-27,167693,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
A Million Dreams,https://open.spotify.com/track/0oagwWkGlBoACUuKvTmqZV,A Million Dreams,https://open.spotify.com/album/6MtlLy42YdFaJNOgDA0NZW,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,2022-01-25,273640,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
a thousand years,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl,a thousand years,https://open.spotify.com/album/15yvc643iYfQtb6zh9NEJo,Christina Perri,https://open.spotify.com/artist/7H55rcKCfwqkyDFH9wpKM6,2022-01-25,285120,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
All My Life,https://open.spotify.com/track/5GorFaKkP2mLREQvhSblIg,Love Always,https://open.spotify.com/album/5cmtcMzuUZq8vxS5T7NVPu,K-Ci & JoJo,https://open.spotify.com/artist/05RZIdfz59ZW2FvFuwnmNK,2022-01-25,331240,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
ALL MY LOVE,https://open.spotify.com/track/6iYxkBHyMpsgVxUgfy5fSx,Moon Music,https://open.spotify.com/album/5SGtrmYbIo0Dsg4kJ4qjM6,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,2024-10-10,222647,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
All of Me,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,Love In The Future (Expanded Edition),https://open.spotify.com/album/4OTAx9un4e6NfoHuVRiOrC,John Legend,https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t,2022-01-25,269560,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
Always,https://open.spotify.com/track/2RChe0r2cMoyOvuKobZy44,Cross Road,https://open.spotify.com/album/0tBfLeYdX3oBnl5NVpot4m,Bon Jovi,https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp,2022-02-26,353026,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
Always,https://open.spotify.com/track/0Z2CgMqTyPxSMJVcZZ2rGX,Cross Road (Sound & Vision) [2CD/DVD Sound & Vision],https://open.spotify.com/album/5uduy563XjmdkLryIna87r,Bon Jovi,https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp,2022-01-25,353320,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
Always Been You,https://open.spotify.com/track/56KDoLjFIm7Yc7fX1XgpNw,Wonder,https://open.spotify.com/album/3Lp4JKk2ZgNkybMRS3eZR5,Shawn Mendes,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,2024-10-10,167193,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
Amazed,https://open.spotify.com/track/6iNcyWk5iUEY7P9zeTc5hm,Playlist: The Very Best Of Lonestar,https://open.spotify.com/album/6FoiXUlfC8amjO8yqmYZM5,Lonestar,https://open.spotify.com/artist/3qbnxnvUqR14MJ9g8QwZJK,2022-01-25,239986,2021-12-28,Special songs for your special day. Cover: Alex Warren and Kouvr Annon 💗,Wedding Songs
