track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Primeira Namorada - Ao Vivo,https://open.spotify.com/track/2YGWqGwDmlwVfK2sxt11uV,É Diferente (Ao Vivo),https://open.spotify.com/album/3yfjzd2cnwMvwfk3L3zEsB,Sorriso Maroto,https://open.spotify.com/artist/1fUSLFr4WUBx7joEcGwpvG,2023-05-16,219640,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
A Princesa E O Plebeu,https://open.spotify.com/track/6wyXMxvFw2tudARW1VpIBm,Eu Sou O Samba - Negritude Jr.,https://open.spotify.com/album/4tFBwufQwzzwBvwPEcaY17,Negritude Junior,https://open.spotify.com/artist/3YBaTAcy9PQpIbuRQTbD8F,2023-05-16,267706,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
A Princesa E O Plebeu,https://open.spotify.com/track/6OgtBxnc28lJ6jUf7pyzmZ,Periferia,https://open.spotify.com/album/2dbhWSDZYlRwHsSmj3Sxmi,Negritude Junior,https://open.spotify.com/artist/3YBaTAcy9PQpIbuRQTbD8F,2023-05-16,268693,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
Agenda - Ao Vivo,https://open.spotify.com/track/2bEyt6qhJkrWwKueiHTF99,Leci Brandão e Convidados,https://open.spotify.com/album/2ZDd1a5NTxdzfKRJF3fd3U,"Leci Brandao, Grupo ÉD+","https://open.spotify.com/artist/5iiQvuDCnlXoK8iAhydW0u, https://open.spotify.com/artist/2OEVfyclqszd5d9gVeYGNl",2023-05-16,254586,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
Bad Boy for Life,https://open.spotify.com/track/2eOuL8KesslTLQERQPu11D,The Saga Continues...,https://open.spotify.com/album/28BrFxsnBMjN689hOuf1jv,"Diddy, Black Rob, Mark Curry","https://open.spotify.com/artist/59wfkuBoNyhDMQGCljbUbA, https://open.spotify.com/artist/1QPZhx0asYTBxD5RDqfU49, https://open.spotify.com/artist/20N6dS0vq9kMWXUqEkFrBA",2023-05-16,253066,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
Big Pimpin',https://open.spotify.com/track/7m97yKVzPpXV9Z4ezEziOD,Vol. 3... Life And Times Of S. Carter,https://open.spotify.com/album/3rWJsuu7ukoZZhp7YYkjNZ,"JAY-Z, UGK","https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB, https://open.spotify.com/artist/6ZhjJOJXXwnPS8PrXdmjLw",2023-05-16,283066,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
Caught Up,https://open.spotify.com/track/5zdUc1JRCImBYcDWgvFNpE,Confessions (Expanded Edition),https://open.spotify.com/album/1RM6MGv6bcl6NrAG8PGoZk,USHER,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj,2023-05-16,224640,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
Coisa de Pele,https://open.spotify.com/track/1gSOBwv1QSq6SsEQ2EzT9h,Coisa de Pele,https://open.spotify.com/album/3je8h1kMqaCq1TNaSvT02c,Jorge Aragão,https://open.spotify.com/artist/2cAooeeHKk2UvzUgIxpS0y,2023-05-16,204266,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
Conversa Fiada,https://open.spotify.com/track/1j6Mdc3eML1f7FtQeRaW8J,Diamante,https://open.spotify.com/album/0vO5sLZnmCOZ6q041f0qWG,Kiloucura,https://open.spotify.com/artist/5CACTYAV0NmdIMal2uM51l,2023-05-16,222706,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
Could You Be Loved,https://open.spotify.com/track/5O4erNlJ74PIF6kGol1ZrC,Uprising,https://open.spotify.com/album/321q9p7PELvzcFAWxml7VX,Bob Marley & The Wailers,https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD,2023-05-16,237000,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
Desse Jeito é Ruim pra Mim - Ao Vivo,https://open.spotify.com/track/0LCmcvoMVhUpeGSuHQVpnm,Pra Ver o Sol Brilhar (Ao Vivo),https://open.spotify.com/album/3PnHXYXfRsLRVXVsIu40oV,Belo,https://open.spotify.com/artist/7hLjkyL9Pz9xtQNahzJZki,2023-05-16,210973,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
Essência da Paixão,https://open.spotify.com/track/43TfOO2Dspo5zj2PpH6M84,Ao Vivo No Olimpo,https://open.spotify.com/album/50BunNkS3kyyZcWxsWicBq,Grupo Revelação,https://open.spotify.com/artist/7yQrcdkLdBAkV7yY9fF2Hw,2023-05-16,257266,2023-09-18,The songs that inspired Ronaldinho in the 2000s. Handpicked by the Brazilian and Barça legend himself!,Barça Legends: R10
