track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
01,https://open.spotify.com/track/3Ij5JfgKbiCF7h8J90TTpa,Five Wooden Frames,https://open.spotify.com/album/6xQzhfDkGBLBRk2XrwHhkv,Giuseppe Ielasi,https://open.spotify.com/artist/7JqFxlbv8o0djCv6o1LWLL,2023-09-22,468426,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
2c,https://open.spotify.com/track/4vVCKY4vnslc7dfJmN3mZC,Grafts (Expanded Reissue),https://open.spotify.com/album/2sB7YlLZuBhoQjovV8bZTW,Kara-Lis Coverdale,https://open.spotify.com/artist/5pHUdo5THDtmE9yu3iC2hA,2022-03-17,472500,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
310,https://open.spotify.com/track/2jdNVXrmEvEa16mLGsqCjB,310,https://open.spotify.com/album/6wHh9OpcjKM3mOObQkCGhG,Koiwa,https://open.spotify.com/artist/7cVHUQpOTXqA7tbHCkIQqS,2022-09-12,332000,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
A Field of Night,https://open.spotify.com/track/0XhNhTydcNnkbwYguBsPt3,The Unfolding,https://open.spotify.com/album/0gflF9tUooliM9pyoUx7BO,Chequerboard,https://open.spotify.com/artist/4xjrTN2tw4VsS7mlBdSCmr,2023-04-21,453700,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
A Field of Night,https://open.spotify.com/track/0YeA95qfyzG5jhm8M5XTpp,The Unfolding,https://open.spotify.com/album/6fePA0wognv8fQ9mPed4YQ,Chequerboard,https://open.spotify.com/artist/4xjrTN2tw4VsS7mlBdSCmr,2022-09-20,453700,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
A Spire - 2022 Remaster,https://open.spotify.com/track/7207n5INusM5trHSwl2dh3,Rideau (2022 remaster),https://open.spotify.com/album/1hQkKy7llnXI08TnEdPfiw,Tape,https://open.spotify.com/artist/3uSlMGXphiafjKQwbj4QwW,2023-08-18,705760,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
A Tale,https://open.spotify.com/track/0RwP29TYIWlQh6uvkyGT9y,"Heisei No Oto: Japanese Left-field Pop From The CD Age, 1989-1996",https://open.spotify.com/album/1HQaShZnkACQiXjJRaUzWi,Synergetic Voice Orchestra,https://open.spotify.com/artist/5shpMTYrRn3zNZsbvG5i3p,2023-06-30,335762,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
Abends,https://open.spotify.com/track/4oNnx4LRaMwkY7WEjBq6Qu,Ich Träume So Leise Von Dir,https://open.spotify.com/album/07WflmLcTnshcHPQSEVAmZ,"Becker, Stegmann, Zeumer","https://open.spotify.com/artist/79waF56ByEHDWtEUdTT6ru, https://open.spotify.com/artist/3KxMC7OhdxIUS0ts3NQ27R, https://open.spotify.com/artist/4w6nmWdGPgSplrjs5xM4BI",2023-06-30,267767,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
Abraham's Theme,https://open.spotify.com/track/463b8SF7KXrU5oqHgZKSOc,Chariots Of Fire (Original Motion Picture Soundtrack / Remastered),https://open.spotify.com/album/2G0x71VHZ7XLJlm56LzVX2,Vangelis,https://open.spotify.com/artist/4P70aqttdpJ9vuYFDmf7f6,2023-06-30,200466,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
absinthe,https://open.spotify.com/track/7HobaQWJb0qCzsNKmo72dk,absinthe,https://open.spotify.com/album/6FwAqO2Cc0MXQ4Ox1qd4qu,"achorda, reidenshi","https://open.spotify.com/artist/7eAAcHiYdiwMT8iBNs67v0, https://open.spotify.com/artist/6SdlxyPsQ3B0yYncFmDULP",2023-02-17,82674,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
acceptances,https://open.spotify.com/track/1jROgIfuJbniOJdEJ8gBUr,!,https://open.spotify.com/album/2cbGI3oi9hoiYBaILgsL9U,Lara Somogyi,https://open.spotify.com/artist/4vFvy7t3jlzAYrNYjW8uDo,2023-05-19,198901,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
Adagiati,https://open.spotify.com/track/7sGGstyG6WbJGQnvIEI47g,L'incoronazione Di Poppea,https://open.spotify.com/album/4TgfPL0vRiA2MToVsBcUEA,Biosphere,https://open.spotify.com/artist/2rcnAZ6DvORQ365X3zVYpr,2023-09-22,111129,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
Addendum 3,https://open.spotify.com/track/7A5GvMlsEQkiRcL4zx8W3K,To Those Who Dwelt in a Land of Deep Darkness,https://open.spotify.com/album/5gCoXk0VCqw3fLcK6aseuV,"zakè, Wayne Robert Thomas","https://open.spotify.com/artist/22becwc1PhY3lSxHM3YThr, https://open.spotify.com/artist/7yueLMbHp3xEU37tq8JId1",2022-09-12,480000,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
Adrift,https://open.spotify.com/track/3jexA82J4b3Nd72TbgMAZO,Ocean Sleep,https://open.spotify.com/album/647uuDQfKJ5QZb1BSduDw2,Science Of Sleeping,https://open.spotify.com/artist/318PUtWzihMLpg6EysVjqn,2022-03-17,300070,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
Adrift In Memory,https://open.spotify.com/track/0Cv17wDbSTPqkTXTTkt2KV,Micro Macro,https://open.spotify.com/album/7fZqbNBkboYzyBN4ukgDhB,Clariloops,https://open.spotify.com/artist/6bGZAHbiIEOQQA0VFIkFp4,2022-05-25,175000,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
after the rain,https://open.spotify.com/track/22ZVzlpTouAn4TrdIJNv6i,after the rain,https://open.spotify.com/album/6eJETVlEoQ5hsJcDZnxwpX,"echo boi, TOLCHONOV","https://open.spotify.com/artist/3pLgSyPwng015fy5T1QLoq, https://open.spotify.com/artist/23P2mSsBpPkfR9fTrOc1a4",2023-08-04,263076,2022-03-22,"Inspired by Listening Bars around the world, a finely chosen selection of Ambient to create your very own. ",The Listening Room
