track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ailleurs,https://open.spotify.com/track/423t7wuX8K01IcXZMzVbBW,Sans retour,https://open.spotify.com/album/5NBZzXIoyqDUKlvPrdV3fq,Marjo,https://open.spotify.com/artist/3IYryWetzBVax8oJPkgXMk,2020-04-07,435840,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
Ailleurs,https://open.spotify.com/track/1UX0cAfJoC2mkPCbCxrKh3,Tant qu'il y aura des enfants,https://open.spotify.com/album/0hNRs8jqYmS5Ly74AXMfur,Marjo,https://open.spotify.com/artist/3IYryWetzBVax8oJPkgXMk,2020-04-07,438840,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
Aime,https://open.spotify.com/track/4qBxDboTpB6tizWtib6nDe,Miserere,https://open.spotify.com/album/7bzHZ9axmnjOqNCeBz5GEi,Bruno Pelletier,https://open.spotify.com/artist/7quDJwv2BxxaCkzeuLXzT2,2020-04-07,264786,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
Aime moi,https://open.spotify.com/track/2EUITdSOgkQvddobT5veE6,Aime-moi,https://open.spotify.com/album/3x5aI6oO3eoUSVzi9XsjMT,Claude Barzotti,https://open.spotify.com/artist/3rXJOlQbim2cC6I7wxAlrb,2020-04-07,250973,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
Aime moi,https://open.spotify.com/track/7Br5hb4FGMYRfGp72qNKCd,Aime-moi,https://open.spotify.com/album/1q8MKSc8nUG1OvCieROWV9,Claude Barzotti,https://open.spotify.com/artist/3rXJOlQbim2cC6I7wxAlrb,2020-04-07,250973,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
Amoureuse - Remasterisé en 2008,https://open.spotify.com/track/5jcS1ZXOYMexs2y88yFnyn,Amoureuse (Edition Deluxe),https://open.spotify.com/album/18iyjo6GV6Bzxs4x8Z1NWG,Véronique Sanson,https://open.spotify.com/artist/4zxH2Yu5AvPNRdEDBz120D,2020-04-07,221600,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
Billy,https://open.spotify.com/track/28yEUMWeyu4v6oPsVxF22x,Julie Masse,https://open.spotify.com/album/533nyHsf7XYf0YYluQymVE,Julie Masse,https://open.spotify.com/artist/5psniKvOx6O0HkMSoY6RuC,2020-04-07,224506,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
Bye Bye Mon Cowboy - Original Version,https://open.spotify.com/track/1J9by690rO1VvQGrliaR0J,La Collection,https://open.spotify.com/album/2pq3KQJYOgxpyQo27Bg0rX,Mitsou,https://open.spotify.com/artist/2uaGBnwCVIftDwC3dcbS80,2020-04-07,226013,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
C'est zéro,https://open.spotify.com/track/36eHvuluPjSm7HNRLqng7R,Julie Masse,https://open.spotify.com/album/533nyHsf7XYf0YYluQymVE,Julie Masse,https://open.spotify.com/artist/5psniKvOx6O0HkMSoY6RuC,2020-04-07,242466,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
Calvaire,https://open.spotify.com/track/74c8FhugaKufekAOeh2dcO,[en] catimini,https://open.spotify.com/album/6oQ2Xld7fc3gYT4IRX3xC5,La Chicane,https://open.spotify.com/artist/47Jz2n2v5J4DydiDUp3NkI,2020-04-07,250333,2022-10-14,"Pas mal ""tes tounes de karaoké préférées"".",Fromage
