track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
3abali,https://open.spotify.com/track/11Eb5dyeLaWfBgo9CuUhCO,Amygdala,https://open.spotify.com/album/1cOXVnqOJwaUSmVQ6FIM8H,"Ghaliaa, Samer Doumet","https://open.spotify.com/artist/3FVonQ6pTMMbqYb0Rf7WE8, https://open.spotify.com/artist/7hlPAEf48Y2eLA4Oax6u47",2024-03-04,201379,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Afkarik,https://open.spotify.com/track/1ebIGIiewKtLSjLf6n76KX,Afkarik,https://open.spotify.com/album/4aATb7Kb0iTifiMphvFpbW,Salim Tarabay,https://open.spotify.com/artist/4gLyumFZwjNYDdiHPpl9Pq,2024-03-04,222316,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Ahwak,https://open.spotify.com/track/63GzwMGopLBtxiWPZ6IFgo,Elyanna,https://open.spotify.com/album/2J4Yz9I4s0FvFw00Cn0trp,Elyanna,https://open.spotify.com/artist/0jIWKlfmD4Ew7HeVVrq03g,2024-03-04,94289,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Aijrah From Ayed Album 2025,https://open.spotify.com/track/1gEcBjWIseeYTHAIZjq8oV,Aijrah From Ayed Album 2025,https://open.spotify.com/album/3uKcFQCnZ8G4fk27UHr83J,Ayed,https://open.spotify.com/artist/6U4hHMBYGDF1f98bGjxC8U,2025-02-20,254571,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Ajmal Ihssas,https://open.spotify.com/track/2VHp98YYcFKrAy09IaiXN2,Aayshalak,https://open.spotify.com/album/4iitDZmbi4tg9iCyUVkXY4,Elissa,https://open.spotify.com/artist/68rvMwPL0yMbYR5cv0pzCR,2024-03-04,356653,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Al Harbein,https://open.spotify.com/track/6Ot3W2qlxch3yje4gl10Of,Al Harbein,https://open.spotify.com/album/3V5nwOj4A4NuuMFJ9p8spI,Bessan Ismail,https://open.spotify.com/artist/3D19Q7vcrQ8iCeSNcrQpAB,2025-02-20,187500,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Al Kawn Janni Maak,https://open.spotify.com/track/0s6Vv5wPxRCsrBMjTSyrcg,Al Kawn Janni Maak,https://open.spotify.com/album/5WfAjtVWyItvqpfEYfoZIG,Elyanna,https://open.spotify.com/artist/0jIWKlfmD4Ew7HeVVrq03g,2024-03-04,135060,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Alach Ya Lil,https://open.spotify.com/track/4VNfBs0qRBC3Hrgo4W1sVA,Alach Ya Lil,https://open.spotify.com/album/3JXUddbAvszxI2VYnNEY4U,Hatim Ammor,https://open.spotify.com/artist/32CwjdHMHSpEkC3UAyIwPp,2024-03-04,165805,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Aleb Fel Dafater,https://open.spotify.com/track/68WRDAU8QecpIyasp2BEby,Aleb Fel Dafater,https://open.spotify.com/album/6yF1BKku71kjth4L1WEMYV,Muslim - مُسلِم,https://open.spotify.com/artist/2PM82jOCB674w4BL08zFVS,2024-03-04,306361,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Ana Meen,https://open.spotify.com/track/5LcThJzvvRzOZZb4apH9Px,Ana Meen,https://open.spotify.com/album/4AqGKM28CecPAnMpZ1Tgj2,زاد,https://open.spotify.com/artist/6mPZyiInAlfLGBJbX0echu,2025-02-20,189567,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Ana Negm,https://open.spotify.com/track/6CU68VwcV10VfulVQMfj3X,Roma,https://open.spotify.com/album/6ucy4v9cUETA0yRQx8D34F,Cairokee,https://open.spotify.com/artist/2GVksDv9UpY60i4CvytrZK,2024-03-04,241852,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Ann Alawan,https://open.spotify.com/track/2xVKEPd40xSs0LJbr6SNYa,Ann Alawan,https://open.spotify.com/album/6COdyb4CSsqAvdvQGcOPMg,Noel Kharman,https://open.spotify.com/artist/76G2QPGz4HBmhn0D3vr9UL,2024-03-04,225882,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Another Day,https://open.spotify.com/track/2OKIfa8QDPUb5fZOfXdU9p,Another Day,https://open.spotify.com/album/785ArxpCDxcCaV7a8jFhUM,Harget Kart,https://open.spotify.com/artist/5zfHhvhZk4urnU1SHWkxBm,2024-03-04,232489,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Asliyah,https://open.spotify.com/track/5IHH65QmmSkqhbATP3sZFt,Asliyah,https://open.spotify.com/album/4asoomU1I56N5Bt6CunOgU,Asayel,https://open.spotify.com/artist/31UcNVT6d7myOObOy0LsNS,2025-02-20,178723,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Aw'at (Acoustic Version),https://open.spotify.com/track/0v034Wtk8VdmetOJGMAVZV,Aw'at (Acoustic Version),https://open.spotify.com/album/6pQPztLyEyAIPZEzIzOzs1,Nassif Zeytoun,https://open.spotify.com/artist/2ieBl5s08uHBwM8sUPvg65,2024-03-04,185345,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Awaat Ashouf Malamhak,https://open.spotify.com/track/2eyEsqY6J8b4KqaVEkXa8l,Hazz El Aadala,https://open.spotify.com/album/1HYYSw5VSQROznWGaqlUBd,Ferqet El Masryeen,https://open.spotify.com/artist/5KmlAHpo6RWvUVoXfc3Q5M,2024-03-04,360453,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Awl Mara,https://open.spotify.com/track/2EGX48NpiPOYswzI7srylN,Awl Mara,https://open.spotify.com/album/4c4nUlrFDII4QZMq8Qw0vl,Hamza Al Mahmdawi,https://open.spotify.com/artist/4fClSImakiSPnfxOa4NOiW,2025-02-20,244632,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Bahebek Lelsama,https://open.spotify.com/track/6J4xPcKd2BdyCYdCIspKTg,Bahebek Lelsama,https://open.spotify.com/album/2426NrM8n5hNONlavrlbkn,Aziz Maraka,https://open.spotify.com/artist/2qi698G7BphxwdPUbQgZMU,2024-03-04,200826,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
Bala Ma Nhess,https://open.spotify.com/track/0CSVpG8z1Env2B7P3nVHSc,Bala Ma Nhess,https://open.spotify.com/album/6cGIrKJCPg2YKoeZ6mYtKz,Abeer Nehme,https://open.spotify.com/artist/22VZmipYTMSoNzvBaWkVwF,2024-03-04,186461,2024-03-12,Songs to keep you company during Ramadan.,After Iftar
