track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
4Ever (feat. Fabolous),https://open.spotify.com/track/6ubNZ5edKBKH3MQKatUY3S,4 Ever (feat. Fabolous),https://open.spotify.com/album/33virfI7yTPHbUXJnsVHHm,"Lil' Mo, Fabolous","https://open.spotify.com/artist/5wBDD4FNJvob5fAGkAIQ92, https://open.spotify.com/artist/0YWxKQj2Go9CGHCp77UOyy",2022-10-01,222946,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
All For You,https://open.spotify.com/track/5X8kkUaUlAyAUr9TYqDFTH,All For You,https://open.spotify.com/album/0IfJey7ibEDtWNxAQw2ub9,Janet Jackson,https://open.spotify.com/artist/4qwGe91Bz9K2T8jXTZ815W,2022-10-01,329933,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
Almeda,https://open.spotify.com/track/6IAgarq2wDeYzpsY2Kx0Hw,When I Get Home,https://open.spotify.com/album/4WF4HvVT7VjGnVjxjoCR6w,Solange,https://open.spotify.com/artist/2auiVi8sUZo17dLy1HwrTU,2022-10-01,236120,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
Aston Martin Music,https://open.spotify.com/track/5W7xC99N2Zzfh69r7I7zWK,Teflon Don,https://open.spotify.com/album/0jipZxGtkTDHjVerLkzO80,"Rick Ross, Drake, Chrisette Michele","https://open.spotify.com/artist/1sBkRIssrMs1AbVkOJbc7a, https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4, https://open.spotify.com/artist/3YJMzGjAm245zwJooY7PEj",2022-10-01,270626,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
Baby Riddim,https://open.spotify.com/track/77eZIuMTB9HrQ86L4ljqEX,Baby Riddim,https://open.spotify.com/album/6dCmbmHyfCQpmJGZW9Am3b,FAVE,https://open.spotify.com/artist/4wAqlYtTaaHELEgyCh9KjG,2022-10-01,190677,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
Bam,https://open.spotify.com/track/6Iuh3vNjpWhSeHM3RZgzQL,4:44,https://open.spotify.com/album/7GoZNNb7Yl74fpk8Z6I2cv,"JAY-Z, Damian Marley","https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB, https://open.spotify.com/artist/3QJzdZJYIAcoET1GcfpNGi",2022-10-01,234973,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
Big Brother,https://open.spotify.com/track/2L47m9erkB5KBZcaqWtYen,Graduation,https://open.spotify.com/album/4SZko61aMnmgvNhfhgTuD3,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2022-10-01,287560,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
Bloody Samaritan,https://open.spotify.com/track/1OoPhcM78evXIxjmSzCnmf,19 & Dangerous,https://open.spotify.com/album/0AjdvP8p42lwSzmN0PpwJv,Ayra Starr,https://open.spotify.com/artist/3ZpEKRjHaHANcpk10u6Ntq,2022-10-01,187000,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",https://open.spotify.com/track/2qbkYhZy5gNl8HrK2XwddI,Green With Envy,https://open.spotify.com/album/4YWgs2cK2u6lrIzM9Ve2wc,"Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","https://open.spotify.com/artist/7b79bQFziJFedJb75k6hFt, https://open.spotify.com/artist/3FoFW2AoUGRHBacC6i4x4p, https://open.spotify.com/artist/7m0BsF0t3K9WQFgKoPejfk, https://open.spotify.com/artist/63ebc5zUpJ36aoTDQJHa9B, https://open.spotify.com/artist/2uIRmVaCVpHQjaVgph5clS, https://open.spotify.com/artist/4Dokdwa3WB7ilQ2c2qvIBL, https://open.spotify.com/artist/5AiY4bxeXerLXx03JADdQv, https://open.spotify.com/artist/14CHVeJGrR5xgUGQFV5BVM, https://open.spotify.com/artist/4QSTyDpxsKmv3UfavVUImR",2022-10-01,278085,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
Cameras / Good Ones Go Interlude - Medley,https://open.spotify.com/track/2FbGlEPAjNhWvrVvlentVq,Take Care (Deluxe),https://open.spotify.com/album/6X1x82kppWZmDzlXXK3y3q,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,2022-10-01,434960,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
Clouded,https://open.spotify.com/track/2J6OF7CkpdQGSfm1wdclqn,Fuck The World,https://open.spotify.com/album/3vi20DRHkqv4HyVg9Rt9wC,Brent Faiyaz,https://open.spotify.com/artist/3tlXnStJ1fFhdScmQeLpuG,2022-10-01,110128,2022-10-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/ravieb/"">Ravie B</a>",Ravie B's Taste
