track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
69,https://open.spotify.com/track/13Z5Q40pa1Ly7aQk1oW8Ce,69,https://open.spotify.com/album/6Zj7qmBZ7MRZ276b67CLi2,"Nicky Jam, Feid","https://open.spotify.com/artist/1SupJlEpv7RS2tPNRaHViT, https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo",2023-06-01,221935,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
77,https://open.spotify.com/track/7y2KhPccpkgRSMa3GDXjQq,77,https://open.spotify.com/album/7J0iDOtfo7qkB5sMNc8vbq,"Peso Pluma, Eladio Carrion","https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ, https://open.spotify.com/artist/5XJDexmWFLWOkjOEjOVX3e",2023-06-01,215745,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
8 AM,https://open.spotify.com/track/7CSmXJNeArnwDfUmtP4Gve,8 AM,https://open.spotify.com/album/4io4WcuVRNAKnVUyYA5wN9,"Nicki Nicole, Young Miko","https://open.spotify.com/artist/2UZIAOlrnyZmyzt1nuXr9y, https://open.spotify.com/artist/3qsKSpcV3ncke3hw52JSMB",2023-06-01,147603,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
AL BORDE,https://open.spotify.com/track/3eOkhJYDaTELGhWHBNbf4A,511,https://open.spotify.com/album/10vvdzSUQmL6hYsoPDhG3X,Milo j,https://open.spotify.com/artist/19HM5j0ULGSmEoRcrSe5x3,2023-06-01,148321,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
AMARGURA,https://open.spotify.com/track/505v13epFXodT9fVAJ6h8k,MAÑANA SERÁ BONITO,https://open.spotify.com/album/4kS7bSuU0Jm9LYMosFU2x5,KAROL G,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,2023-06-01,170480,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Andando,https://open.spotify.com/track/0yK1nUASmGNYKUH5qpXeOY,Reinsertado,https://open.spotify.com/album/6h5tdNdOnnFL6zbeMeeqdk,"Morad, Eladio Carrion, Beny Jr","https://open.spotify.com/artist/4az97MtWmBQ5Db3GfDh9j9, https://open.spotify.com/artist/5XJDexmWFLWOkjOEjOVX3e, https://open.spotify.com/artist/22dFwJoRBV51ue5TGnC7Dt",2023-06-01,261713,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Antes,https://open.spotify.com/track/7bfFmlLJ1LKr2E3AUsvq5P,Antes,https://open.spotify.com/album/0ISa5lIjmXXaQ9bNQXJe6s,"Rvfv, Edu García","https://open.spotify.com/artist/2CCgb0KApjfQDuTppovpf8, https://open.spotify.com/artist/4Gr4Wo60IdAOBJLYgRZytK",2023-06-01,153684,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Donde?,https://open.spotify.com/track/2ZV9wvj6gu8C0oB16aD0vR,6.5,https://open.spotify.com/album/5QFR1S8bcR3YA68BC5tTUO,"Jere Klein, Fran C","https://open.spotify.com/artist/35oGZihZclGoTVuICPXRP9, https://open.spotify.com/artist/5NenY2Jl9wwLRxf86go4Y8",2023-06-01,162624,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Donde?,https://open.spotify.com/track/5iaGRmDzm4aPhttaOEK8OD,6.5,https://open.spotify.com/album/2ZbIly4Kwg66WvLpagLIc2,"Jere Klein, Fran C","https://open.spotify.com/artist/35oGZihZclGoTVuICPXRP9, https://open.spotify.com/artist/5NenY2Jl9wwLRxf86go4Y8",2023-06-01,162624,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Mami Chula,https://open.spotify.com/track/4aJzxp3gimtAdgJn3DL776,Mami Chula,https://open.spotify.com/album/7weNe4OIBROOCcMEOMeNlS,"Jhayco, Quevedo","https://open.spotify.com/artist/6nVcHLIgY5pE2YCl8ubca1, https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K",2023-06-01,220600,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Miko,https://open.spotify.com/track/0ITEio7vNOlNQrGv0eTaRH,Miko,https://open.spotify.com/album/2WbddxAsbB0puaya03zbpo,Hades66,https://open.spotify.com/artist/4CQdcx66F116k2db2Y0rjE,2023-06-01,135013,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
"Milano Town (with DJ Drama, Shiva & Murda Beatz)",https://open.spotify.com/track/5DQeBcULJsfMgppYOw28Ps,Gangsta Grillz: Mvrda Gvng,https://open.spotify.com/album/47SL6DJhs2qlFnP1CyCeos,"YOVNGCHIMI, DJ Drama, Shiva, Murda Beatz","https://open.spotify.com/artist/4aSlfXDn9R60UlbZEboBUy, https://open.spotify.com/artist/5oNgAs7j5XcBMzWv3HAnHG, https://open.spotify.com/artist/2K5nCggbhSZ00YCYP5qkZS, https://open.spotify.com/artist/3CbYyyd8wH3RT6t0jwpdzC",2023-06-01,231100,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Pa Que Me Cu,https://open.spotify.com/track/2DRMn638dDHN6IaIFgSioi,Pa Que Me Cu,https://open.spotify.com/album/1lY6iojhGh1DwmLn62oPkW,"Farina, Brray","https://open.spotify.com/artist/7cYik4OyfBXYV5Z2TI7p90, https://open.spotify.com/artist/1GKIlPFdcewHtpDVCQ8zmJ",2023-06-01,194552,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Pacto (feat. Luar La L),https://open.spotify.com/track/2whW1Q8KTOODkGDakLZa6V,Emociones 1.5,https://open.spotify.com/album/1iggkqIrsfiO7RtEFGcaGr,"Jay Wheeler, Dei V, Hades66, Luar La L","https://open.spotify.com/artist/2cPqdH7XMvwaBJEVjheH8g, https://open.spotify.com/artist/2YRyPiW98bpkARAS4B3OQP, https://open.spotify.com/artist/4CQdcx66F116k2db2Y0rjE, https://open.spotify.com/artist/4axKuDPr6WKcDCyh8vueTY",2023-06-01,284021,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Palabras Sobran,https://open.spotify.com/track/4wu7jIeJCUhQJaXsXVit0e,Palabras Sobran,https://open.spotify.com/album/6B5dqaafC0ygHJ8dUW1FOs,Blessd,https://open.spotify.com/artist/1TA5sGRlKUJXBN4ZyJuDIX,2023-06-01,216250,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
"Quizás, Tal Vez",https://open.spotify.com/track/15malicZv4vdLHzIXg5kK0,3MEN2 KBRN,https://open.spotify.com/album/6BGN5CVd7koJApotl5Bj8u,Eladio Carrion,https://open.spotify.com/artist/5XJDexmWFLWOkjOEjOVX3e,2023-06-01,147499,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
soso (with Ozuna),https://open.spotify.com/track/4GdvTdL7T1w1RoQlMBmC8k,soso (with Ozuna),https://open.spotify.com/album/7HdbhvT4lPpA6gkoqQGuzT,"Omah Lay, Ozuna","https://open.spotify.com/artist/5yOvAmpIR7hVxiS6Ls5DPO, https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY",2023-06-01,202012,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
SUPERNOVA,https://open.spotify.com/track/0zY2rypOdM8xmsf4tUyafF,SUPERNOVA,https://open.spotify.com/album/5jVewtOpycGENT1zZW4wpR,SAIKO,https://open.spotify.com/artist/2O8vbr4RYPpk6MRA4fio7u,2023-06-01,190909,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Te Conocí Bailando,https://open.spotify.com/track/2HO4A7MVp34fAxn01MVoFC,Hawaira,https://open.spotify.com/album/6NPFHNWBVXUP9Rik3JlWUq,La Cruz,https://open.spotify.com/artist/0JoFdUO6q5ZRdnfRADpRiJ,2023-06-01,160800,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Te Conocí Bailando,https://open.spotify.com/track/7h8xlmAY4X54nePqWXILRm,Hawaira,https://open.spotify.com/album/0NRNUADdkxqyM5OBbb9CYB,La Cruz,https://open.spotify.com/artist/0JoFdUO6q5ZRdnfRADpRiJ,2023-06-01,160800,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
TE ENCANTÓ,https://open.spotify.com/track/5q52FaniZvJzziGHTJeie0,TE ENCANTÓ,https://open.spotify.com/album/1JP7wPQ4JkAGnsw0Njk1Tx,Chris Palace,https://open.spotify.com/artist/3z26llYP0dIzgnmUp2vSAw,2023-06-01,141622,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Tira Pa Tra,https://open.spotify.com/track/7e3eBgoH6HuhYrNMQavcgf,Tira Pa Tra,https://open.spotify.com/album/6GP8fr8B8GjMPbfwbbk0UN,Sael,https://open.spotify.com/artist/6Itjwvv5YmsC8ZcI5N4Jux,2023-06-01,175933,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
Toto,https://open.spotify.com/track/3IWcUkdKHKCd8yC6WImYnl,Toto,https://open.spotify.com/album/7uCR5vxsTuVHaqd8nMWoDV,"Peipper, Yng Lvcas, Alan Gomez","https://open.spotify.com/artist/4i2al9gevm5K5OlbjqzcJs, https://open.spotify.com/artist/1NNRWkhwmcXRimFYSBpB1y, https://open.spotify.com/artist/6oMRQ5H3A2XA5I3RG3leni",2023-06-01,177032,2023-06-02,"Featuring YOVNGCHIMI, Nicki Nicole, Jay Wheeler & more. Find this week's Fuego mixtape <a href=""https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=aa97e696f74241eb"">here</a>.",Fuego #053
