track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Better - Mixed,https://open.spotify.com/track/1Y6KWoXkDNDs5kEsd7uNZW,Better (Mixed),https://open.spotify.com/album/22VP8ckip061Xk0UsrZMgd,Sikdope,https://open.spotify.com/artist/3EXfNuPuR3OFEdlyoSutcG,2022-07-06,149000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Dive In - Mixed,https://open.spotify.com/track/116qEsgjgoGzXfSh5UvHXj,Dive In - Mixed,https://open.spotify.com/album/7v1hvmisD1DWMzcfKnDzVX,"Holly, Roy Orion, Xtina Louise","https://open.spotify.com/artist/6RwJwtGVyIGSs1oSAPnxYV, https://open.spotify.com/artist/5vDWsMvaFghBZj9e6y8qSk, https://open.spotify.com/artist/2vKEblNGdmCIp2OUEI21YN",2022-07-06,189000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Dive In - Mixed,https://open.spotify.com/track/1JVLAfomEMOedmwsvzljJ6,Dive In (Mixed),https://open.spotify.com/album/1HPpV8b0S6AnuboOZKCELh,"Xtina Louise, Roy Orion, Holly","https://open.spotify.com/artist/2vKEblNGdmCIp2OUEI21YN, https://open.spotify.com/artist/5vDWsMvaFghBZj9e6y8qSk, https://open.spotify.com/artist/6RwJwtGVyIGSs1oSAPnxYV",2022-12-30,189000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Edge Of Tonight - Mixed,https://open.spotify.com/track/3YTawBahcgCScHfNdwa5bN,Edge Of Tonight (Mixed),https://open.spotify.com/album/0cWP1iDd9PgjyMS2sCw8fT,"Brunetti, Yohann Warren","https://open.spotify.com/artist/57HqYJzEeUisul8wKeOrOB, https://open.spotify.com/artist/0KPaZqSst478dYqODQG37L",2022-12-30,182000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Edge Of Tonight - Mixed,https://open.spotify.com/track/5r9TaNygIKK548xLeaC7mi,Edge Of Tonight - Mixed,https://open.spotify.com/album/3wRhfATQvzACEps4fVSkVa,"Yohann Warren, Brunetti","https://open.spotify.com/artist/0KPaZqSst478dYqODQG37L, https://open.spotify.com/artist/57HqYJzEeUisul8wKeOrOB",2022-07-06,182000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Freak Of The Night - Mixed,https://open.spotify.com/track/5bftxZ7b4quMMtxNqWag5f,Freak Of The Night (Mixed),https://open.spotify.com/album/7DrCD6KvU3zhSgEiiF3vmu,Daijo,https://open.spotify.com/artist/4esLZ8cHaY0jchCxXDVVSQ,2022-12-30,147000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Freak Of The Night - Mixed,https://open.spotify.com/track/7ubPwn91i0JKJwjSYYd0oO,Freak Of The Night - Mixed,https://open.spotify.com/album/6A2Z3QPh9IZ4hCgVCyyUt2,Daijo,https://open.spotify.com/artist/4esLZ8cHaY0jchCxXDVVSQ,2022-07-06,147000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Get Crunk - Mixed,https://open.spotify.com/track/5AIxnjc6zX5Gwo9T19bMKD,Get Crunk (Mixed),https://open.spotify.com/album/3pLZKAvh6cGcjUrB6d4dd1,"Kage, The Galaxy","https://open.spotify.com/artist/6ehv7BnQkNEh7Hqd8rRcot, https://open.spotify.com/artist/1a7aOqigZ5aWIaagMLlHC4",2022-07-06,150000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Happy Revolution - Mixed,https://open.spotify.com/track/38jWFjARAMgyEm0CekNNDd,Happy Revolution - Mixed,https://open.spotify.com/album/7vjhCa754toHiDzwc8Ysdr,Dada Life,https://open.spotify.com/artist/00sAT5YX8W3xNd1EuqyHw9,2022-07-06,191000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Happy Revolution - Mixed,https://open.spotify.com/track/3Zv3W7bqJUOFDLUo6Tx4Ze,Happy Revolution (Mixed),https://open.spotify.com/album/6HVxXtnvYzIt6DCn9C8KpK,Dada Life,https://open.spotify.com/artist/00sAT5YX8W3xNd1EuqyHw9,2022-12-30,191000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Hold Up - Mixed,https://open.spotify.com/track/5gHjelCEVxbddGSebN0x13,Hold Up (Mixed),https://open.spotify.com/album/60nbDVuZZsGS8qjKkw6A28,TV Noise,https://open.spotify.com/artist/32Aw9aJJoXXC1Vn3zqzJbQ,2022-07-06,153000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
Insane - Mixed,https://open.spotify.com/track/1bcwLDUS52RPga7vOxYsq5,Insane (Mixed),https://open.spotify.com/album/3ieL7chtaUe47zrPkR89lt,Carta,https://open.spotify.com/artist/3MTk6MUbUmV5X0N04N56JF,2022-07-06,148000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
INTO THE UNKNOWN - Mixed,https://open.spotify.com/track/4wUdukfI9Vlnn63hJvmXob,INTO THE UNKNOWN - Mixed,https://open.spotify.com/album/1ZWzbALgak37NGEbWH2fGP,Hardwell,https://open.spotify.com/artist/6BrvowZBreEkXzJQMpL174,2022-07-06,225000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
INTO THE UNKNOWN - Mixed,https://open.spotify.com/track/7AwfaWSveFDSlexZGUZWag,INTO THE UNKNOWN (Mixed),https://open.spotify.com/album/3YjbnRh0YUylhFAdIgvY5F,Hardwell,https://open.spotify.com/artist/6BrvowZBreEkXzJQMpL174,2022-12-30,225000,2022-07-07,"The Swedish duo <a href=“spotify:artist:00sAT5YX8W3xNd1EuqyHw9”>Dada Life</a> drop a hot mix just in time for festival season! 
",Dada Life's DJ Mix
