track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Adam Nana,https://open.spotify.com/track/3HL6eViBoq5YO8Gpy4VSUc,Adam Nana,https://open.spotify.com/album/0BjeF6EHMtr9lLzicT1kVH,Joyce Blessing,https://open.spotify.com/artist/4ilNroq4d7QN2djHi3IVZI,2023-04-06,230466,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Adam Nana,https://open.spotify.com/track/3S0IvOjlEj6uzmo88EZEjD,Wahwe Meso,https://open.spotify.com/album/1zkKCgzluntCA7LIcmoCzp,Prof. Kofi Abraham,https://open.spotify.com/artist/1Do8CxsUCJy7Clp0AM3rCI,2023-11-27,298866,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Adam Nana,https://open.spotify.com/track/5Gxp5gkwk5EOMKQSkqMlJE,Wahwe Meso,https://open.spotify.com/album/3sk306dDSoE4dA4KcVPxvl,Prof. Kofi Abraham,https://open.spotify.com/artist/1Do8CxsUCJy7Clp0AM3rCI,2023-04-06,298866,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Adehye Mogya,https://open.spotify.com/track/4FSQFLp4pZiAEwQ6MLRuZV,My Testimony 2015 - 2017,https://open.spotify.com/album/3DA3wDXEWQFUZq2RUsy72Y,Anita Afriyie,https://open.spotify.com/artist/3icOzeeIwhGWwPHymtDOS5,2023-04-06,325093,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Aden Nti Na Woresu Yi_,https://open.spotify.com/track/5j3jlCQ6gJl4hMLLwTNF7H,Holy Ghost,https://open.spotify.com/album/2QrY1DPOzjjcnglsiYPsn0,Obaapa Christy,https://open.spotify.com/artist/1S3KAAsxnbkkrwlil4LMMk,2023-04-06,347693,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
ADOM BI,https://open.spotify.com/track/1265RZfD3yji9xZ123cFUL,The Altar,https://open.spotify.com/album/6aGS6hhyjFgwrO1voxYyk4,No Tribe,https://open.spotify.com/artist/6ocbT2YYie059c1m8axmG1,2023-04-06,258821,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Adom Bi,https://open.spotify.com/track/7Adr3j41euWMHJ47EN8vRu,The Altar,https://open.spotify.com/album/1eBrxx2OziOjo18leed5Zs,No Tribe,https://open.spotify.com/artist/6ocbT2YYie059c1m8axmG1,2023-04-06,258821,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Afurumuba,https://open.spotify.com/track/2XQijOC2m8i0kCwP43quJj,"Ghana Gospel Classics, Vol. 1",https://open.spotify.com/album/6mQQJMMcckDuVfEPTex79h,Cecilia Marfo,https://open.spotify.com/artist/2ruygXlfagVfWzDhyNooZo,2023-04-06,318876,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Agyenkwah,https://open.spotify.com/track/0Mo8oQn8ZjAhU8ftXjxrg7,My Saviour,https://open.spotify.com/album/5dDZ6d85Ak4mwjt5YUvwlC,Dsp Kofi Sarpong,https://open.spotify.com/artist/5n5XQctzehn4LwiGS2A0el,2023-04-06,331998,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Agyenkwah,https://open.spotify.com/track/21yaqOkfraywhbQNhRv6y9,My Saviour,https://open.spotify.com/album/5HdtiJgyYJWXeAXEOJh6RP,Dsp Kofi Sarpong,https://open.spotify.com/artist/5n5XQctzehn4LwiGS2A0el,2023-11-27,331998,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Akokyem Nyame,https://open.spotify.com/track/1LSikFgLBvM5zoYAlFNmE8,The Encounter,https://open.spotify.com/album/1fTYtYwjX4neKImb9Xle2x,Joe Mettle,https://open.spotify.com/artist/1An6gOOlZ9NITlQs2ZtBCb,2023-04-06,204795,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Akristofoo Adooso,https://open.spotify.com/track/7E889Da9t6o7vx8HdaDryH,Akristofoo Adooso,https://open.spotify.com/album/5S2DznYRyX8LzAimnvCNCw,Hannah Marfo,https://open.spotify.com/artist/6ayFJ67xxcAHoxGySRqLeK,2023-04-06,442409,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Aseda Nwom,https://open.spotify.com/track/05R11rW0YAZNhjE3HpcGHm,W'agye Me (He Has Saved Me),https://open.spotify.com/album/2WWBMpv4jMlHegBbp40ot5,Obaapa Christy,https://open.spotify.com/artist/1S3KAAsxnbkkrwlil4LMMk,2023-04-06,301400,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Asem kese bi reba,https://open.spotify.com/track/18saGdKyUZvHf1A6etiZNg,Yehowa Ne Mabankese,https://open.spotify.com/album/7EjET7MSD1KF7p0xm6zVNx,Rev. Mensah Bonsu,https://open.spotify.com/artist/3dKVL03pFxZrR2yutmLHw0,2023-04-06,383120,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Awanwan Do,https://open.spotify.com/track/3u08knojRQ81BB2GXTAHXz,Cindy's Messiah,https://open.spotify.com/album/318iVaeMOIDdtnZFzxnAPD,Cindy Thompson,https://open.spotify.com/artist/0E9uTtyVv3p0wJPjRiTivd,2023-04-06,377280,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Awurade Kasa,https://open.spotify.com/track/5mInFrdNxVsfBUeoUazXmo,Cindy's Messiah,https://open.spotify.com/album/318iVaeMOIDdtnZFzxnAPD,Cindy Thompson,https://open.spotify.com/artist/0E9uTtyVv3p0wJPjRiTivd,2023-04-06,462000,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
Ayeyi,https://open.spotify.com/track/6EfsJGWyEb7ja8zInmtRNY,I Am Noble,https://open.spotify.com/album/6DRvrYraGgKanmBJIfqwVF,"Noble Nketsiah, Joyce Blessing","https://open.spotify.com/artist/2WecbwlimhoePvOZR06VQd, https://open.spotify.com/artist/4ilNroq4d7QN2djHi3IVZI",2023-04-06,244297,2023-04-07,Hit rewind on these classic Ghanaian gospel songs.,Ghana Gospel Classics
