track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
10 Mil Rifles,https://open.spotify.com/track/527SDVSJf9iNaUI829CyyB,10 Mil Rifles,https://open.spotify.com/album/60u7k8WBc257U0Pvz7lxAT,Los Alegres Del Barranco,https://open.spotify.com/artist/2TSslwx9J30KElgEr68sdv,2023-02-24,236842,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
12 Rifles,https://open.spotify.com/track/6bKPmj3k2zoTzoEOiFnmM0,12 Rifles,https://open.spotify.com/album/1KqUq2OTqTIlxAdXhz0Ypn,Junior H,https://open.spotify.com/artist/7Gi6gjaWy3DxyilpF1a8Is,2022-05-13,173500,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
141,https://open.spotify.com/track/3IFYbBUCjCelWt5asaYasY,141,https://open.spotify.com/album/7gPxrPpfY3nTUElL9sRA2z,Banda MS de Sergio Lizárraga,https://open.spotify.com/artist/2C6i0I5RiGzDKN9IAF8reh,2022-10-22,175102,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
180 Segundos,https://open.spotify.com/track/7mPmFxM9YYXF3RoLmceBAk,180 Segundos,https://open.spotify.com/album/0AK5ptaqbQvj3pLqPsvdAc,"Aldo Trujillo, La Nueva C","https://open.spotify.com/artist/0l6WgSoqo4UqeuXFKnTQRu, https://open.spotify.com/artist/1tl27rwbbTb7px4vcga4R3",2023-03-03,170171,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
30 Blindadas,https://open.spotify.com/track/1DSEdQdvhbBfXmDkQNZbzf,30 Blindadas,https://open.spotify.com/album/6sNLsF2fYslNGiQzb9NfXG,"Raul Vega, Los Dareyes De La Sierra","https://open.spotify.com/artist/3RG6ihKgeBkOsLAPZxoPp9, https://open.spotify.com/artist/1ZMJSCQw8DIefcLb1FIpY0",2023-01-13,126293,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
30 Tiros,https://open.spotify.com/track/2bRU7HM6NLErB3lfM9BAQI,30 Tiros,https://open.spotify.com/album/18dH6cfAZmBloSqAGTdFI2,Peso Pluma,https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ,2022-06-10,173817,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
38 y Súper - En Vivo,https://open.spotify.com/track/0MrnhZYxvCzHENgMMnl77W,38 y Super (En Vivo),https://open.spotify.com/album/58ifPfpLrmhOXYiofrbVOJ,Los Asociados,https://open.spotify.com/artist/6ePcjMMU425QOBQC5LmTV1,2022-06-10,143752,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
50 Guerreros - En Vivo,https://open.spotify.com/track/3Ny7oh2RrtcNzYCGZHHrdJ,50 Guerreros (En Vivo),https://open.spotify.com/album/5bTlsmTczzSVsjulAnIep7,"Los Chavalos De La Perla, Chiken Lira","https://open.spotify.com/artist/5w2CwSVYz9o6NUY4RgpCCO, https://open.spotify.com/artist/3OXtjz5aMVWAQ4DDQuoICn",2022-12-02,161853,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
6 Colores,https://open.spotify.com/track/0pKtkEfClNEFZAwPGymF5z,6 Colores,https://open.spotify.com/album/01pQdmPM1scnFN27Xgt2jQ,Los Hijos De Garcia,https://open.spotify.com/artist/3Aw1WaC6Xm8cOOppvXcnfa,2022-06-03,164184,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
7 Calaveras,https://open.spotify.com/track/5pGABK63jOda1Bl8f3w4k7,7 Calaveras,https://open.spotify.com/album/6PmfIeqoA4VCZNdGst97FG,Ivan Orozco,https://open.spotify.com/artist/3WG2Qwav9SV56V57SFe92i,2023-01-21,196772,2022-05-23,Sólo corridos - lo nuevo y lo mejor del año. Cover: Oscar Ortiz,Corridos 2023 (2)
