track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(BALLAD OF) THE HIP DEATH GODDESS,https://open.spotify.com/track/1IQmZ2Hz0HEtb8rwXNci4i,Ultimate Spinach,https://open.spotify.com/album/3g1Dzj83jWRcQMCtmLHTka,Ultimate Spinach,https://open.spotify.com/artist/38ULknnQK6G4oLJtTtPkkM,2018-02-28,494933,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
3 O'Clock Blues - 1999 RemasterStereo,https://open.spotify.com/track/41849X1PrqMv0elH2prPWp,Blues Helping,https://open.spotify.com/album/08ihWWd9zFaUBPjF7Hs8PB,Love Sculpture,https://open.spotify.com/artist/4D1hYdWKVKyQQQNxNHlYtq,2018-02-28,310360,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
"A ""B"" Side",https://open.spotify.com/track/32j6XpAsQ47PFtSyXHTMuI,Ragamuffin Man / A ‘B’ Side,https://open.spotify.com/album/0x7WEKNnRKa9Du2PzXyBP0,Manfred Mann,https://open.spotify.com/artist/5670CyWrIOA7702gNjsGMZ,2022-03-28,313480,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
A Child of a Few Hours Is Burning to Death,https://open.spotify.com/track/1U0JgQRSufNmWPvD9aklZt,A Child's Guide To Good And Evil,https://open.spotify.com/album/7wieiJFEfvS2tWCxv8IBhF,The West Coast Pop Art Experimental Band,https://open.spotify.com/artist/2z4eiJkDaXYCR9kv2UuSgz,2022-03-28,161400,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
a) Take Me For A Little While b) RYFI (Illusions Of My Childhood-Part Three),https://open.spotify.com/track/2AXigUpz4ycfVS550RH8wI,Vanilla Fudge,https://open.spotify.com/album/4rvXyAx9phjxiU4cQS1AJh,Vanilla Fudge,https://open.spotify.com/artist/0vIMq3W8V63uR4Ymgm2pF1,2018-02-28,235133,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
Baby Blue,https://open.spotify.com/track/4f2kQCUusGjKrUeowAtUOc,Inner Mystique,https://open.spotify.com/album/59gjybUFPdD8weo8AOFjzd,The Chocolate Watchband,https://open.spotify.com/artist/0BNTrhhkZLsbcWAidMz98A,2018-02-28,192560,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
Baby Please Don't Go,https://open.spotify.com/track/5FDGmW9TgycCTVwPnKZ4xC,Journey To The Center Of The Mind,https://open.spotify.com/album/1C7Z6X7m9uxVP9Jtaoyvj5,The Amboy Dukes,https://open.spotify.com/artist/5cVLuEqb7aOHuzwssXHzWI,2018-02-28,338719,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
Big Headed Woman,https://open.spotify.com/track/2yb0ZoqqGX4XDzt2CZarWF,Eve,https://open.spotify.com/album/6YCt59wLxD0RXqTvt3kz1k,"Speed, Glue & Shinki",https://open.spotify.com/artist/67DVoI1yayIO8DcKKtlbWk,2018-02-28,375800,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
Charlie,https://open.spotify.com/track/0nJMdD3Q7q31SpY3r9pOxp,Ptoof!,https://open.spotify.com/album/1a2WI9UBwySfTtOdC9sJox,The Deviants,https://open.spotify.com/artist/6gFbwCDrKMQJpxSPclIUnu,2018-02-28,238320,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
Charlie,https://open.spotify.com/track/55rOMTH7SKUpHtj7qnAhdB,Ptoof!,https://open.spotify.com/album/3xXRXr2O9mesGZFm5yvclT,The Deviants,https://open.spotify.com/artist/6gFbwCDrKMQJpxSPclIUnu,2018-02-28,238320,2021-12-21,"Acid blues, psy-blues and the early pioneers of psychedelic rock.",Acid Blues
