track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Fool or Clown?,https://open.spotify.com/track/5FHj3jFvrAii52Nj6dkabQ,ペルソナ4 ジ・アルティマックス ウルトラスープレックスホールド オリジナル・サウンドトラック,https://open.spotify.com/album/1NMMGrZqLNbRpCexjLEHux,アトラスサウンドチーム,https://open.spotify.com/artist/4hFBhdNVZZuVk5FYThUwaN,2024-04-24,133533,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
A Way of Life,https://open.spotify.com/track/3ikjtKXQZIpd6pEIogdwvo,ペルソナ３ ポータブル オリジナル・サウンドトラック,https://open.spotify.com/album/1uWl1PvDGhWaQnxA9slwWk,藤田真由美,https://open.spotify.com/artist/51GOXzMFL7eOypATeKtbyw,2024-04-24,140680,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Axe to Grind,https://open.spotify.com/track/2uorXJpnIKjB2L1JpuLO5L,『ペルソナ５ スクランブル　ザ ファントム ストライカーズ』 オリジナル・サウンドトラック,https://open.spotify.com/album/6tB4SVH1p0HZzLCipn2qeu,Lyn,https://open.spotify.com/artist/5qEtLvXzYdv0G7c7rR6irX,2024-04-24,194293,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Backside Of The TV,https://open.spotify.com/track/30bU8LbvwjnCfQ5KCEzCxb,ペルソナ4 オリジナル・サウンドトラック,https://open.spotify.com/album/5Q3abTCaUaDZRDBM1BpVAr,平田志穂子,https://open.spotify.com/artist/4PYEhkeRZkSSGCrurjzDrX,2024-04-24,174213,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Beneath the Mask,https://open.spotify.com/track/3OOY9A0lEXasnYKWRGZ7uN,『ペルソナ5』オリジナル・サウンドトラック,https://open.spotify.com/album/23R5mT3eEeFXjsJYxvzC74,Lyn,https://open.spotify.com/artist/5qEtLvXzYdv0G7c7rR6irX,2024-04-24,277880,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Beneath the Mask -Tactica-,https://open.spotify.com/track/1ZrtIEtc3ezSzTAzLEKq6U,ペルソナ５ タクティカ オリジナル・サウンドトラック,https://open.spotify.com/album/4uqbr3RRJ47LoRK5jZlzPS,アトラスサウンドチーム,https://open.spotify.com/artist/4hFBhdNVZZuVk5FYThUwaN,2024-04-24,304533,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Best Friends,https://open.spotify.com/track/23lYXloitNWi0LcjbVdQ7h,ペルソナ4 ジ・アルティメット イン マヨナカアリーナ オリジナル・サウンドトラック,https://open.spotify.com/album/3ovQPxrRt93JjlEjNcnVx8,川村ゆみ,https://open.spotify.com/artist/55yEcpOYHnvIFiQGqN4t6U,2024-04-24,229946,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Brand New Days,https://open.spotify.com/track/0bR5Juco9xm6OBfblnlb0H,ペルソナ3フェス オリジナル・サウンドトラック,https://open.spotify.com/album/1DTijiWiGIX2cmdAzTIrFR,川村ゆみ,https://open.spotify.com/artist/55yEcpOYHnvIFiQGqN4t6U,2024-04-24,350720,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Brand New Days -Reload-,https://open.spotify.com/track/2Xc6GPWrhPvjQyhxu7hWhd,ペルソナ3 リロード: Episode Aegis オリジナル・サウンドトラック,https://open.spotify.com/album/49ZLTDwZdvLksqPVsMMPbv,"高橋あず美, アトラスサウンドチーム, ATLUS GAME MUSIC","https://open.spotify.com/artist/4VeqFgWkP7P9eEGwzPuXcM, https://open.spotify.com/artist/4hFBhdNVZZuVk5FYThUwaN, https://open.spotify.com/artist/7tUDDR0lAc9PLMPHPfzaqI",2024-09-17,352600,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Break Out Of...,https://open.spotify.com/track/152tlvB4sPTfRf7nP0ukSW,ペルソナ4 ジ・アルティマックス ウルトラスープレックスホールド オリジナル・サウンドトラック,https://open.spotify.com/album/1NMMGrZqLNbRpCexjLEHux,"平田志穂子, Lotus Juice","https://open.spotify.com/artist/4PYEhkeRZkSSGCrurjzDrX, https://open.spotify.com/artist/0HM4KuHUJ5ww5DdOGi3FEf",2024-04-24,238266,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Burn My Dread -Last Battle Reload-,https://open.spotify.com/track/5mOQzgxWc6YwivpMw5O08Y,ペルソナ3 リロード オリジナル・サウンドトラック,https://open.spotify.com/album/61yqhb1UqGVI2TV7pO4Tb6,"Lotus Juice, 高橋あず美, アトラスサウンドチーム, ATLUS GAME MUSIC","https://open.spotify.com/artist/0HM4KuHUJ5ww5DdOGi3FEf, https://open.spotify.com/artist/4VeqFgWkP7P9eEGwzPuXcM, https://open.spotify.com/artist/4hFBhdNVZZuVk5FYThUwaN, https://open.spotify.com/artist/7tUDDR0lAc9PLMPHPfzaqI",2024-04-24,163800,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Burn My Dread -Reload-,https://open.spotify.com/track/3fuFUu8dXw0phLdC0gmZV1,ペルソナ3 リロード オリジナル・サウンドトラック,https://open.spotify.com/album/61yqhb1UqGVI2TV7pO4Tb6,"高橋あず美, アトラスサウンドチーム, ATLUS GAME MUSIC","https://open.spotify.com/artist/4VeqFgWkP7P9eEGwzPuXcM, https://open.spotify.com/artist/4hFBhdNVZZuVk5FYThUwaN, https://open.spotify.com/artist/7tUDDR0lAc9PLMPHPfzaqI",2024-04-24,280300,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Butterfly Kiss,https://open.spotify.com/track/1oPT2NT7Isam8urYiJzvEq,『ペルソナ5』オリジナル・サウンドトラック,https://open.spotify.com/album/23R5mT3eEeFXjsJYxvzC74,アトラスサウンドチーム,https://open.spotify.com/artist/4hFBhdNVZZuVk5FYThUwaN,2024-04-24,147120,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
changing me,https://open.spotify.com/track/24vZ6oIF7FGaPJftV68OGm,ペルソナQ シャドウ オブ ザ ラビリンス オリジナル・サウンドトラック,https://open.spotify.com/album/6JrIUY6g58IaR7vV7QUbca,"川村ゆみ, 平田志穂子","https://open.spotify.com/artist/55yEcpOYHnvIFiQGqN4t6U, https://open.spotify.com/artist/4PYEhkeRZkSSGCrurjzDrX",2024-04-24,360920,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Changing Seasons -Reload-,https://open.spotify.com/track/0ROgSvQGiUVitK2EUfkOhp,ペルソナ3 リロード オリジナル・サウンドトラック,https://open.spotify.com/album/61yqhb1UqGVI2TV7pO4Tb6,"高橋あず美, アトラスサウンドチーム, ATLUS GAME MUSIC","https://open.spotify.com/artist/4VeqFgWkP7P9eEGwzPuXcM, https://open.spotify.com/artist/4hFBhdNVZZuVk5FYThUwaN, https://open.spotify.com/artist/7tUDDR0lAc9PLMPHPfzaqI",2024-04-24,194680,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
Cinematic Tale,https://open.spotify.com/track/0zICS9wKt46JavXyL1Rp1G,ペルソナQ2 ニュー シネマ ラビリンス オリジナル・サウンドトラック,https://open.spotify.com/album/1bZGyKmn3Q96g3BoCkkRED,"川村ゆみ, 藤田真由美, 平田志穂子, Lyn","https://open.spotify.com/artist/55yEcpOYHnvIFiQGqN4t6U, https://open.spotify.com/artist/39YYbQMUCjxvV2VQ1mzrR1, https://open.spotify.com/artist/4PYEhkeRZkSSGCrurjzDrX, https://open.spotify.com/artist/5qEtLvXzYdv0G7c7rR6irX",2024-04-24,239666,2024-04-27,Unleash the power of Persona and immerse yourself in the world of this epic RPG series with this. 『ペルソナ３リロード: Episode Aegis』を含む、ペルソナシリーズの世界に浸れる公式プレイリスト！ⒸATLUS. ⒸSEGA.,PERSONA SERIES ペルソナシリーズ
