track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"2 Pictures, Op.10 (Sz. 46): 2. Dorftanz",https://open.spotify.com/track/3PoKD0XdeKoqeVgabNpBW9,Szymanowski: Symphonies Nos. 1 & 2 / Bartok: Two Pictures,https://open.spotify.com/album/2sRhdZUAexHRvvdy0jUHJc,"Béla Bartók, Detroit Symphony Orchestra, Antal Doráti","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/1TuMl6QKOFwgQZzzhzuds4, https://open.spotify.com/artist/3kBrUZAp2FVhkN5bcTu0QL",2020-01-29,550840,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"2 Pictures, Op.10 (Sz. 46): 2. Dorftanz",https://open.spotify.com/track/6i4eW4tmetHtmS3RFWNIQB,Szymanowski: Symphonies Nos. 1 & 2 / Bartok: Two Pictures,https://open.spotify.com/album/2HibqQ4RsF6BRNeRZlI84f,"Béla Bartók, Detroit Symphony Orchestra, Antal Doráti","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/1TuMl6QKOFwgQZzzhzuds4, https://open.spotify.com/artist/3kBrUZAp2FVhkN5bcTu0QL",2022-07-01,550840,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"3 Hungarian Folksongs from the Csìk District, BB 45b, Sz. 35a",https://open.spotify.com/track/0OmEduH7nOdlkl4kOaLD3o,Bartók: Complete Solo Piano Works,https://open.spotify.com/album/4SBn5kLoEQpTssXB3b2jjn,"Béla Bartók, Zoltán Kocsis","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/5Gi9bw3svtZMwonzcQG2wm",2020-01-29,192760,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"3 Hungarian Folksongs from the Csìk District, BB 45b, Sz. 35a",https://open.spotify.com/track/5ovfrUhKlelQEQy1TOChLD,Zoltán Kocsis plays Bartók,https://open.spotify.com/album/5ZJKtUEoReuPeBHjREHrpc,"Béla Bartók, Zoltán Kocsis","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/5Gi9bw3svtZMwonzcQG2wm",2022-07-01,192760,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"3 Hungarian Folksongs from the Csìk District, BB 45b, Sz. 35a",https://open.spotify.com/track/1I1HDfAzH34vDqIf7Oslap,Bartók: Piano Works,https://open.spotify.com/album/2gAwHfOLAwLbPz2Tn9uvV2,"Béla Bartók, Zoltán Kocsis","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/5Gi9bw3svtZMwonzcQG2wm",2022-07-01,198298,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"3 Rondos on Slovak Folktunes, BB 92: No. 1. Andante",https://open.spotify.com/track/5NhW6SeNDBaWclc73ZnRLn,Echoes from an Empire,https://open.spotify.com/album/7gjCwJ6Zif3L1JOR9DhX9c,"Béla Bartók, Karim Said","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/3KAFhuS6uJ1ZnVZXV7JSM5",2020-01-29,175333,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"4 Orchestral Pieces, Sz. 51: I. Preludio",https://open.spotify.com/track/5SGqUwRIS8ycfFO4iepCMZ,Bartók,https://open.spotify.com/album/3H1H5H49IB1Xw8z6qX8lmt,"Béla Bartók, Chicago Symphony Orchestra, Pierre Boulez","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/6TD08jYeuN128P2MZTbc8E, https://open.spotify.com/artist/2prZJWfQMnIgwUKxKcBxH7",2020-01-29,392000,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"4 Piano Pieces, Sz. 22: No. 4. Scherzo",https://open.spotify.com/track/0tlHSq6tvEB7ohg0aaL58d,"Bartók: Complete Works for Piano Solo, Vol. 2 – The Romantic Bartók",https://open.spotify.com/album/2NYDZNpORZUw9Jon6Z1TYH,"Béla Bartók, Andreas Bach","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/3mie871VjIKR2EV34P1lhj",2020-01-29,673800,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"5 Dal (5 Songs), BB 71: No. 2. Nyar: Szomjasan vagyva (Summer: Lying and Longing)",https://open.spotify.com/track/1Pv0QKjixOJM0SWBqSzFnp,Bartok: 5 Songs / Hungarian Folksongs,https://open.spotify.com/album/6YmwcQKBGg6puz6vSTcmuk,"Béla Bartók, Julia Hamari, Ilona Prunyi","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/4H3kRAUrqpZSAUUXtWm8jt, https://open.spotify.com/artist/4YwG4hDeSXGqjuzxQ5oWvZ",2020-01-29,159000,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"A csodalatos mandarin (The Miraculous Mandarin), Op. 19, BB 82: The three tramps leap out, seize the Mandarin and tear him away from the girl",https://open.spotify.com/track/5V2TPmELr4IwCKPoWyhCMk,Bartok: Miraculous Mandarin (The) (Complete Ballet) / Hungarian Pictures / Dance Suite,https://open.spotify.com/album/4b2Zzk0foPXsLJfsgH9Osk,"Béla Bartók, Bournemouth Symphony Chorus, Bournemouth Symphony Orchestra, Marin Alsop","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/1cqgTAFV7jTXVQ3IXaYj8m, https://open.spotify.com/artist/2KuPDJp7FCpmaUy4jKcjfB, https://open.spotify.com/artist/0lluGWFB8hZ6HFktcH6kkr",2022-07-01,172133,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"A csodálatos mandarin (the Miraculous Mandarin), Op. 19, BB 82: The three tramps leap out, seize the Mandarin and tear him away from the girl",https://open.spotify.com/track/4rFimGiIUwxDKZeRSGZpaa,Bartok: Miraculous Mandarin (The) (Complete Ballet) / Hungarian Pictures / Dance Suite,https://open.spotify.com/album/2QpEu0fuS8PLaxjUyfvB2K,"Béla Bartók, Bournemouth Symphony Chorus, Bournemouth Symphony Orchestra, Marin Alsop","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/1cqgTAFV7jTXVQ3IXaYj8m, https://open.spotify.com/artist/2KuPDJp7FCpmaUy4jKcjfB, https://open.spotify.com/artist/0lluGWFB8hZ6HFktcH6kkr",2020-01-29,172133,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"A fabol faragott kiralyfi (The Wooden Prince), Op. 13, BB 74: Prelude",https://open.spotify.com/track/7taFiCLrKt3VwPTCVx5oYG,Bartok: The Wooden Prince & Hungarian Pictures,https://open.spotify.com/album/6bC20Iay4RExjEIRxidmR2,"Béla Bartók, Philharmonia Orchestra, Neeme Järvi","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/09KZU0NsS7jRa5p0SflmGY, https://open.spotify.com/artist/5UHZvYJA0aPcJSLYkYAeps",2020-01-29,298826,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"Allegro barbaro, BB 63: Allegro barbaro, Sz. 49",https://open.spotify.com/track/6MCtPu3IGdv24prLsTlt8S,"Bartok: Piano Music, Vol. 3: Out of Doors - Ten Easy Pieces - Allegro Barbaro",https://open.spotify.com/album/7JT32DrNhWuisyprcTq1pB,"Béla Bartók, Jenő Jandó","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/5Kb0Qf13EyYtVJvzCdI9M7",2020-01-29,169200,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"Allegro barbaro, BB 63: Allegro barbaro, Sz. 49",https://open.spotify.com/track/6xlIxTI615UAXadCS2OIKP,"Bartok: Piano Music, Vol. 3: Out of Doors - Ten Easy Pieces - Allegro Barbaro",https://open.spotify.com/album/72tBW1YB0nFseu0fKkzSsS,"Béla Bartók, Jenő Jandó","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/5Kb0Qf13EyYtVJvzCdI9M7",2022-07-01,169200,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"Andante in A Major, BB 26b",https://open.spotify.com/track/1wC0GAAF4oOs3graC6rgA2,"Bartók: Works for Violin and Piano, Vol. 1",https://open.spotify.com/album/372MQsVjfQBLjge7tD72fx,"Béla Bartók, James Ehnes, Andrew Armstrong","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/0b7df8SeNFCgnJj5Wjg5c8, https://open.spotify.com/artist/11IpUdUFMdu2Ne6At8LmKm",2020-01-29,241266,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
"Andante in A Major, BB 26b",https://open.spotify.com/track/4TsFOEqZt0C1db2nm5xfdG,"Bartók: Works for Violin and Piano, Vol. 1",https://open.spotify.com/album/2VgfIFqDJLhSRMHJDVV1x2,"Béla Bartók, James Ehnes, Andrew Armstrong","https://open.spotify.com/artist/5zyNXVd952fWOjkdGHCvPd, https://open.spotify.com/artist/0b7df8SeNFCgnJj5Wjg5c8, https://open.spotify.com/artist/11IpUdUFMdu2Ne6At8LmKm",2022-07-01,241413,2021-12-21,"An introduction to the music of Bartok, Hungary's greatest composer.",This Is Bartók
