track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(′Cause) I′m Your Girl,https://open.spotify.com/track/5I8mg57tDvhGGGC3x14mIZ,S.E.S. - The 1st Album,https://open.spotify.com/album/795tqw58HZUK0Gro9GvneZ,S.E.S.,https://open.spotify.com/artist/61HUG80Xma4rnXsqfZkzeM,2024-04-04,225560,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
...사랑했잖아...,https://open.spotify.com/track/6dKKY7BZi4yXS3vwuR6Dmt,Can U See The Bright,https://open.spotify.com/album/1p7Z2lphOJegFArqh8eMw5,Lyn,https://open.spotify.com/artist/1A6WCseWiK22oxqodg7vcy,2024-04-04,243520,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
0%,https://open.spotify.com/track/4QyJ9NbwZSXu9wcQpHiwqP,Chapter 5 Letter,https://open.spotify.com/album/50TP0Mj8SX6qy13FbKfOCy,god,https://open.spotify.com/artist/7h3uRR9CdZGjnAY9stn0es,2021-03-11,228866,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
0%,https://open.spotify.com/track/7uL1y6VIPolzDR18zJmeU7,Chapter 5,https://open.spotify.com/album/6xU3d2lMaYCFUMnerQvmVq,god,https://open.spotify.com/artist/1nTCpd63NkuGGpCIbo4Ywl,2021-03-11,228937,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
10 Minutes,https://open.spotify.com/track/2Tfv41qZ0U3ahZiKiDBa4a,Stylish…,https://open.spotify.com/album/2uTwUONoLUhlpM6r324B2b,Lee Hyori,https://open.spotify.com/artist/4FjoOJAndC0s9ZJUo6VGc5,2021-03-11,236147,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
1Tym,https://open.spotify.com/track/3LjJ0Hjqot5HDeL172lAcw,One Time For Your Mind,https://open.spotify.com/album/2SVamLzGfpr4QCyCWjmXjT,1TYM,https://open.spotify.com/artist/0P8IEJrM7oUTK4WwdMKsvS,2021-03-11,210626,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
8282,https://open.spotify.com/track/7y4oE4ATKrE9XIM9XSeyQN,Davichi In Wonderland,https://open.spotify.com/album/1nsgg32Iq4kANSRjdAxRTo,DAVICHI,https://open.spotify.com/artist/4z6yrDz5GfKXkeQZjOaZdq,2021-03-11,219160,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
A Better Day,https://open.spotify.com/track/0TpJgjTSFekS05ZyQFIUzp,Enter The Dragon,https://open.spotify.com/album/1XhlvC8ZkjEu5gsUCtWRfR,JTL,https://open.spotify.com/artist/1QxDhdpQDAxevRaOWUDjPC,2021-03-11,246893,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
A Letter to you Part.2,https://open.spotify.com/track/7fRegG6DYNpGClPDCp851s,The Way I Am,https://open.spotify.com/album/2Mh0JWqsD08Wox0fwXaVsk,MC MONG,https://open.spotify.com/artist/6gEWl778wJTkq4Uk5eBvgD,2021-03-11,247852,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
A Little Girl,https://open.spotify.com/track/1N9TrsZZXX8GQvOvD3PV23,"Reply 1988 (Original Television Soundtrack), Pt. 3",https://open.spotify.com/album/6KKR9GZN6wnhQmBCFvoTMM,OHHYUK,https://open.spotify.com/artist/68TCVp5t1Dxi2TvNuYoYK0,2024-04-04,226274,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
All For You,https://open.spotify.com/track/06Y6AQOxZw8Ybibi1ELCoi,Cool Best,https://open.spotify.com/album/1zVmfOfaYgVnKPOgy4TZFA,COOL,https://open.spotify.com/artist/0w3PsroIezW7uRTNxEJLb9,2024-04-04,255844,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
An old love story,https://open.spotify.com/track/4jknyio1tolPfGu539fE87,Beautiful Mind,https://open.spotify.com/album/5uPLGc3hT67DBjd7eNFd1L,KCM,https://open.spotify.com/artist/2cijK40RWU3ouFUnwW8v3K,2021-03-11,234841,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
An Ordinary,https://open.spotify.com/track/2phRcDceIli8JDmUZXh2SF,An Ordinary Day,https://open.spotify.com/album/14OsUvgjRtVL8oGOjwvxgM,god,https://open.spotify.com/artist/1nTCpd63NkuGGpCIbo4Ywl,2021-03-11,212546,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Atlantis Princess,https://open.spotify.com/track/7sQaZvlFFqlBsObK8A3y0S,Atlantis Princess - The 3rd Album,https://open.spotify.com/album/3uDxYE7bWvaQH2oZpLzoRV,BoA,https://open.spotify.com/artist/4muJrGMndyYWqZtfk8OWy4,2021-03-11,224373,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Bad Girl Good Girl,https://open.spotify.com/track/1EkLacfCJIJcHkJvxlkJKE,A Class,https://open.spotify.com/album/5Nq0GIIfrsCnUPx4Ayej1c,miss A,https://open.spotify.com/artist/1BEohdSWSBggmO979tzRwW,2021-03-11,217560,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Bad Girl Good Girl,https://open.spotify.com/track/7kTKAdVVlDxve6Qr7Hm7Qc,A Class,https://open.spotify.com/album/6Ii2g2GfqTzkqtSCpsuA2X,miss A,https://open.spotify.com/artist/1BEohdSWSBggmO979tzRwW,2021-03-11,217560,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Bad Man,https://open.spotify.com/track/119iNERS1h3InUzpC0jtwf,N001,https://open.spotify.com/album/02D06vVmtmZOpeK2p3QFQS,Rain,https://open.spotify.com/artist/5L4EafeXwZ0stGuPtGr5Tz,2021-03-11,217533,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Bad Man,https://open.spotify.com/track/40SeJqkDwPJp9tcVWMEgMB,N001,https://open.spotify.com/album/6uHdPehfuo9Es9tWGatg8c,Rain,https://open.spotify.com/artist/5L4EafeXwZ0stGuPtGr5Tz,2021-03-11,217533,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Be My Baby,https://open.spotify.com/track/4H3nLd4sDY2OBsugvJc0ql,Wonder World,https://open.spotify.com/album/1vEiOIYInN3Y2LpvXTcEyK,Wonder Girls,https://open.spotify.com/artist/3Cv2vi3WTl8VZOTdrBkKdM,2021-03-11,211811,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Be My Baby,https://open.spotify.com/track/5GCixDdpW0HcfR8ewmOOcI,Wonder World,https://open.spotify.com/album/318RAh1OyVhnegQ7oZ8Fib,Wonder Girls,https://open.spotify.com/artist/3Cv2vi3WTl8VZOTdrBkKdM,2021-03-11,211811,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Better Together,https://open.spotify.com/track/07BrAHEuDfgZ3mtHZyCa6u,Digital Bounce,https://open.spotify.com/album/3o9MuNv5noRVl9IJL01BK6,SE7EN,https://open.spotify.com/artist/14yLuCwlBqteUdBqx9soJV,2021-03-11,218120,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Break Away,https://open.spotify.com/track/3xN3UkMQPosLdU6nldyxjl,Like The Bible,https://open.spotify.com/album/4eBXK4EXrxjzSaAonbyRSe,BIG MAMA,https://open.spotify.com/artist/34SKCchNLFzBWclGa6l6tQ,2021-03-11,259626,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Can't (Feat. MIIII),https://open.spotify.com/track/4attmsVheqtmK8TJMVHmdB,The 3rd GENERATION (Special Album),https://open.spotify.com/album/5EJQFPTIEU6J1KkBxr9wDI,"4MEN, MIIII","https://open.spotify.com/artist/7oFIkpNpLrTBgZW6w55W1J, https://open.spotify.com/artist/4HlWDQU9oXrIiVcb8BrZPZ",2024-04-04,269773,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Come Back To Me,https://open.spotify.com/track/4ezlt6ciGxes2ctqphnKVU,Just Listen.......,https://open.spotify.com/album/4QoM0VDe5UPOotBYmmcg5U,SE7EN,https://open.spotify.com/artist/14yLuCwlBqteUdBqx9soJV,2021-03-11,246333,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Crazy,https://open.spotify.com/track/61LkLrMVjwO4Rzk3deOw0n,VIBE IN PRAHA,https://open.spotify.com/album/4OCkcwSER9boDvzxEdlh6c,VIBE,https://open.spotify.com/artist/68ym0sOo7MazZxScbm1wtI,2021-03-11,239680,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Crazy (feat.Eric),https://open.spotify.com/track/2k89RdgmjsrEaZcMbQsLyn,Son Dam Bi Mini Album vol. 2,https://open.spotify.com/album/03g00ngaa5I53sAoQiLrQL,"Son Dam Bi, Eric","https://open.spotify.com/artist/3cCbcs6r1Lma7MfEjyfCGU, https://open.spotify.com/artist/3q3HSjyRiHQ0AC5HSrmO4m",2021-03-11,241371,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Descent of Warriors,https://open.spotify.com/track/0HiKR0bVxA7VJCShQ6HrUC,We Hate All Kinds of Violence... - The 1st Album,https://open.spotify.com/album/23Xh3YpgzRuJ2DAW5X7MsP,H.O.T.,https://open.spotify.com/artist/5JrfgZAgqAMywJpLpJM0eS,2024-04-04,264600,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Don't Cha,https://open.spotify.com/track/1gZ7i4qxXkHZb1r6eioaAP,PCD,https://open.spotify.com/album/5x8e8UcCeOgrOzSnDGuPye,"The Pussycat Dolls, Busta Rhymes","https://open.spotify.com/artist/6wPhSqRtPu1UhRCDX5yaDJ, https://open.spotify.com/artist/1YfEcTuGvBQ8xSD1f53UnK",2024-04-04,272080,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Dreams Come True,https://open.spotify.com/track/6whFRgwg7je2SYzpSfansM,SHOO. EUGENE. SEA - The 2nd Album,https://open.spotify.com/album/28tAVahvzLKAVZ6ewYUrvl,S.E.S.,https://open.spotify.com/artist/61HUG80Xma4rnXsqfZkzeM,2024-04-04,245773,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Dropping the Tears,https://open.spotify.com/track/0WHzRzinRoUzW7vX7xhSLD,Dropping the Tears,https://open.spotify.com/album/2LPszV62iNiLadCZ2J0kol,K.Will,https://open.spotify.com/artist/1XNC9ksvgXeD1xRJruSA5t,2024-04-04,257226,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Etude of Memory,https://open.spotify.com/track/3YpiZu52TdVbNKExZpZAWW,Exhibition,https://open.spotify.com/album/5lH78eRxZ9J5M6wlTPS9Gj,Exhibition,https://open.spotify.com/artist/491V7IpquUlnGZDCbKXVPE,2024-04-04,313106,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Eurachacha,https://open.spotify.com/track/5WeDiuGjTVQ38Vf2eHUpX3,Have A Nice Dream,https://open.spotify.com/album/1gGFPcgK3adJebbw4XnT47,Rumble Fish,https://open.spotify.com/artist/1NyreDKOPoI1XxOv7xnyn2,2021-03-11,256506,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Even Though My Heart Breaks,https://open.spotify.com/track/6oUnqotL3a95tbuMTmafPj,Back in Time,https://open.spotify.com/album/7avQrMgx6JDi4gT1KM15zt,FLY TO THE SKY,https://open.spotify.com/artist/7rlMZAZYtRkjFg4HHhvYeC,2021-03-11,263653,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Fly (feat. Amin. J),https://open.spotify.com/track/3N17JQ2yJjQTUOt706Uj6h,Swan Songs,https://open.spotify.com/album/2r893IZjz94r7mmqxNz4A6,"Epik High, Amin. J","https://open.spotify.com/artist/5snNHNlYT2UrtZo5HCJkiw, https://open.spotify.com/artist/5xs4WKD1qLTJNSRnX0O4d2",2021-03-11,201226,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Friday Night,https://open.spotify.com/track/7uTLsCiOqNGDgz6TewUMrM,Chapter 2,https://open.spotify.com/album/0HxQ33W72bcEwuJgbMscvK,god,https://open.spotify.com/artist/1nTCpd63NkuGGpCIbo4Ywl,2021-03-11,213838,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Friday Night,https://open.spotify.com/track/6HW5rmg4NtHTWQExmbh9Wa,Chapter 2,https://open.spotify.com/album/6qyK6jVYnjx9lX6ywivZ9D,god,https://open.spotify.com/artist/7h3uRR9CdZGjnAY9stn0es,2021-03-11,215066,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
Girls On Top,https://open.spotify.com/track/5AjjiajghftDZd5qO5YRCQ,Girls On Top,https://open.spotify.com/album/67YeE0goB48IGXMrlv50D6,BoA,https://open.spotify.com/artist/4muJrGMndyYWqZtfk8OWy4,2021-03-11,218653,2022-11-23,2000년대를 수 놓았던 명곡들을 즐겨보세요.,2000년대 베스트
