track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
'Til I Can Make It on My Own,https://open.spotify.com/track/0aJHZYjwbfTmeyUWF7zGxI,The Essential Tammy Wynette,https://open.spotify.com/album/5lmYjjjnij8ug8WrEoVQK7,Tammy Wynette,https://open.spotify.com/artist/1LFKKuzn302wp15dYH28id,2023-08-31,182080,2023-09-02,Country classics you know and love.,Classic Country
(If Loving You Is Wrong) I Don't Want To Be Right,https://open.spotify.com/track/1cxjGdsHJn2vo17AbWLFzu,Ultimate Collection: Barbara Mandrell,https://open.spotify.com/album/42G4gGwqZzt4t9dlJTzDcX,Barbara Mandrell,https://open.spotify.com/artist/67BqBdApdbZ0onglFqRoTg,2023-08-31,185013,2023-09-02,Country classics you know and love.,Classic Country
A White Sport Coat (with Ray Conniff),https://open.spotify.com/track/3Iy8UTb7n8QpYcQK23ZjG9,The Essential Marty Robbins 1951-1982,https://open.spotify.com/album/4qbCscFZUKcUSTj1Pb2YSl,"Marty Robbins, Ray Conniff","https://open.spotify.com/artist/0Xi59sEw38vRvwleSAVqoo, https://open.spotify.com/artist/7LfRnzGM0wRSyS5mmAwJbv",2023-08-31,148600,2023-09-02,Country classics you know and love.,Classic Country
Abilene,https://open.spotify.com/track/5bA26v8eeZrbHJpD4YPKAX,Abilene,https://open.spotify.com/album/5hEPstUqc8b4ySF5LCmR5M,George Hamilton IV,https://open.spotify.com/artist/6G39Gakqv1r26pZzijSWti,2023-08-31,133333,2023-09-02,Country classics you know and love.,Classic Country
Act Naturally,https://open.spotify.com/track/762yvPz59OMgb7gGLws6Vi,"All-Time Greatest Hits, Vol. 1",https://open.spotify.com/album/38YMI8jMA7RotlUBZJNtcs,Buck Owens,https://open.spotify.com/artist/2FMZn5P3WATd7Il6FgPJNu,2023-08-31,143306,2023-09-02,Country classics you know and love.,Classic Country
Act Naturally,https://open.spotify.com/track/3JWEMzwpcWCvu4Qw1BIbYi,All-Time Greatest Hits,https://open.spotify.com/album/6c31q0EiGPqzNVDKfQzyzt,Buck Owens,https://open.spotify.com/artist/2FMZn5P3WATd7Il6FgPJNu,2024-03-11,143693,2023-09-02,Country classics you know and love.,Classic Country
All My Ex's Live In Texas,https://open.spotify.com/track/7k1Xm1wy00hCKJDYJL5p1n,"George Strait's Greatest Hits, Volume Two",https://open.spotify.com/album/2ZN1GwIaBhc9exRqKI0gad,George Strait,https://open.spotify.com/artist/5vngPClqofybhPERIqQMYd,2024-05-04,200826,2023-09-02,Country classics you know and love.,Classic Country
Almost Persuaded,https://open.spotify.com/track/2Krnm3qWdy4VG5vTkT0cDn,Almost Persuaded,https://open.spotify.com/album/0zOZyQFw8zR4hFAMyM92tk,David Houston,https://open.spotify.com/artist/7tIs7rxqGuBvWMhIIigunf,2023-08-31,176360,2023-09-02,Country classics you know and love.,Classic Country
Always On My Mind,https://open.spotify.com/track/2xYQTU2bbg6WVAmpY1eae4,Always On My Mind,https://open.spotify.com/album/5lSPP40Df9t2nkusLZtXTb,Willie Nelson,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,2024-05-04,212666,2023-09-02,Country classics you know and love.,Classic Country
Am I Losing You,https://open.spotify.com/track/3CRQJXjhNZiyvoNc3RIcwr,Greatest Hits,https://open.spotify.com/album/1xA2yRz4VCNPpzDIioyowJ,Jim Reeves,https://open.spotify.com/artist/2Ev0e8GUIX4u7d9etNLTXg,2023-08-31,139733,2023-09-02,Country classics you know and love.,Classic Country
