track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/5Q9WL6KjOioqfqJdX2W72I,,https://open.spotify.com/album/5HIukESDGbdiiL03rL5aBl,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2023-11-24,0,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
+ Paca Más Elástico,https://open.spotify.com/track/66klWPlXvdhLaaAFVtgh1c,+ Paca Más Elástico,https://open.spotify.com/album/5AxZHvhaqY1zMszup4tDIU,"Stars Music Chile, Cris Mj, Nes","https://open.spotify.com/artist/2NZD6Gqfk60GEcAAnJKVsR, https://open.spotify.com/artist/1Yj5Xey7kTwvZla8sqdsdE, https://open.spotify.com/artist/3dC19P4w1BbDuwCailjybv",2023-12-08,164651,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
+ Q LA XUXA,https://open.spotify.com/track/16uLbwxv5QmVjueCO0mG50,+ Q LA XUXA,https://open.spotify.com/album/43kUFaRDroYvoGmD2ve1aN,Gino Mella,https://open.spotify.com/artist/7HYJrA3HSTNDmkl5pylhaY,2023-06-09,160961,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
+Q1 Jenner,https://open.spotify.com/track/3aXtPQQ4xp8MSWPcHSRo6r,+Q1 Jenner,https://open.spotify.com/album/1Mt0EJwCMaB5MtziKTikg1,"Kidd Voodoo, Dysbit","https://open.spotify.com/artist/10VBp06W8NIgMW4JruLCC4, https://open.spotify.com/artist/2WcCTeyPFxpiGwlntz0X2V",2024-05-03,154794,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
06:06,https://open.spotify.com/track/2qmKKjjJhzeZkED1BfCKuA,06: 06,https://open.spotify.com/album/1eh2Fjgh7JKPEka9K9pHG7,"Katteyes, Pailita","https://open.spotify.com/artist/4kKazhy9tDfOgKSWm5g3F9, https://open.spotify.com/artist/4yxLYO2imECxGYTTV7RQKb",2023-12-08,196800,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
12:30,https://open.spotify.com/track/4vpXjguMioKefak80ytICn,12:30,https://open.spotify.com/album/2YJhSnJtjbI2cVwaCYO9Zi,Jairo Vera,https://open.spotify.com/artist/5CAruGjgds3QlF5ICtEnnc,2022-05-23,170571,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
2 Hielos,https://open.spotify.com/track/5M2bLvjsa9Jzg8CCnxcxGG,WorKING,https://open.spotify.com/album/02STLoPPeQ8PoV91Ilkg08,"King Savagge, Jere Klein","https://open.spotify.com/artist/7DXregrznS25AM30UY9sUU, https://open.spotify.com/artist/35oGZihZclGoTVuICPXRP9",2023-12-08,194213,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
2 Hielos,https://open.spotify.com/track/4za7UzHuKvr84o8h9CxqV1,2 Hielos,https://open.spotify.com/album/36cXeSQ4gqFwUIdoWFwmR9,"King Savagge, Jere Klein","https://open.spotify.com/artist/7DXregrznS25AM30UY9sUU, https://open.spotify.com/artist/35oGZihZclGoTVuICPXRP9",2023-02-03,194214,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
20 DE 10,https://open.spotify.com/track/5NcqccqI9aj1mp1sVYHxpx,20 DE 10,https://open.spotify.com/album/3bN6Y8elYTZy0VQ8ErgYMr,"Galee Galee, ITHAN NY","https://open.spotify.com/artist/0x5lhIYknBUEozHuXjkwUs, https://open.spotify.com/artist/0LshXUmIub6xKvOq4QmtNs",2022-12-02,150496,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
2012,https://open.spotify.com/track/31WbqE7t7XT8U6GBq4BOtw,EL NIÑO BENDITO,https://open.spotify.com/album/5pSazlKAjiS4GxMWVVw2Ja,"Ak4:20, J Alvarez","https://open.spotify.com/artist/1SiLK8gdECx2iEm2SSj0Bl, https://open.spotify.com/artist/6XFITTl7cFTdopDY3lUdlY",2024-05-03,192197,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
2012,https://open.spotify.com/track/48fZvr6qOW0GwxYV5o6AEN,Minion Mixtape,https://open.spotify.com/album/0mlzT7AnWFy75UAyqhD2f2,Gianluca,https://open.spotify.com/artist/7q9P9jadKe86eEavevbEvK,2022-12-09,185946,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
28,https://open.spotify.com/track/5jfDBp9jmQ9rfviQZSEGSW,28,https://open.spotify.com/album/3wutFV7g5B2NbRPmJUjewl,Jairo Vera,https://open.spotify.com/artist/5CAruGjgds3QlF5ICtEnnc,2022-10-06,200109,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
3+1,https://open.spotify.com/track/1kBLmb9VHjuBuriVBa1k2a,3+1,https://open.spotify.com/album/5e3AQeyqQrvUJ5c9rtoTQR,"Marcianeke, Cris Mj","https://open.spotify.com/artist/5XQWXnMwsvuvCPMneXUbsy, https://open.spotify.com/artist/1Yj5Xey7kTwvZla8sqdsdE",2023-12-08,237871,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
333,https://open.spotify.com/track/5NlRqUTd4tv8AegeU7RW5x,333,https://open.spotify.com/album/6KDLws7nb97FLIZw1VHisk,"Cris Mj, Yan Block","https://open.spotify.com/artist/1Yj5Xey7kTwvZla8sqdsdE, https://open.spotify.com/artist/6TKygPpVT29oGUogu4J9Ec",2023-09-29,165318,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
3D,https://open.spotify.com/track/5HtYVhthYMAs9QxLSjG4pQ,3D,https://open.spotify.com/album/0tlRno64qEC6paxXI6NnZY,"Kidd Voodoo, Lyanno","https://open.spotify.com/artist/10VBp06W8NIgMW4JruLCC4, https://open.spotify.com/artist/1Ts9of7VPZElwPQnqnDSfW",2024-12-06,165546,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
4 Trokas 4 Gatas,https://open.spotify.com/track/40KeL9UhPRO8ccgZWcWDFB,4 Trokas 4 Gatas,https://open.spotify.com/album/4kLqVgeAPfgD76m0GuwcK4,"Polimá Westcoast, El Bogueto, Lewis Somes","https://open.spotify.com/artist/768O5GliF0bqscyghggrbE, https://open.spotify.com/artist/3S9Hg7sRKhmtWunFZ2yAYP, https://open.spotify.com/artist/6U574RAq08wVaurzSaqEY3",2024-07-26,173721,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
40 GRADOS EN LA CIUDAD,https://open.spotify.com/track/0NJ8EStpxZZo8xUJ0A0STe,THE LIFE OF XULO,https://open.spotify.com/album/1UOrzS8OYpnI6I1GYr9ICX,Young Cister,https://open.spotify.com/artist/0Yg29FX1M4ayqjXs0ttZFq,2022-12-16,124254,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
50 Veces,https://open.spotify.com/track/3J5KGaovaa1gnDf1b0SvXA,50 Veces,https://open.spotify.com/album/1AbU9tweyR9navoVIIOwr0,Mati Gómez,https://open.spotify.com/artist/23mC5tLCbMk9zqrR2dFtNE,2023-06-09,129198,2022-05-26,Este Flow tiene otro Flow. Foto: Kidd Voodoo & Katteyes.,Reggaetón Chileno
