track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
'96 Bulls,https://open.spotify.com/track/0VtyqKSFeXrIVSbpxARxt4,'96 Bulls,https://open.spotify.com/album/01Do91GN0SpxAx2iyoJ59G,Kota the Friend,https://open.spotify.com/artist/2AfU5LYBVCiCtuCCfM7uVX,2021-09-03,247841,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
100,https://open.spotify.com/track/1XKxquTRHz9gLgR6R3ONmU,Gold Mouf,https://open.spotify.com/album/25RBY2x2erTNYeNQxgs47k,Lute,https://open.spotify.com/artist/75WcpJKWXBV3o3cfluWapK,2021-10-08,230345,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
12am in Atl,https://open.spotify.com/track/15ECoz4yjfLWGkr9QFXZn7,"No More, No Less: Demo 1",https://open.spotify.com/album/5YtTDrvrmAcDPMfYKE2BxP,"REASON, Isaiah Rashad, Benny The Butcher, Doe Boy","https://open.spotify.com/artist/6XpXnnKHIhCOUbOLOJGe6o, https://open.spotify.com/artist/6aaMZ3fcfLv4tEbmY7bjRM, https://open.spotify.com/artist/5Matrg5du62bXwer29cU5T, https://open.spotify.com/artist/6aLoJJxz7MV2iZ423S8tJC",2021-10-29,200110,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
2 Weeks Notice,https://open.spotify.com/track/45fNl83UyWzP5iuZpGeDQ7,2 Weeks Notice,https://open.spotify.com/album/1J0yL2u4rzWMcLcNMqgyYY,Kipp Stone,https://open.spotify.com/artist/3KSsoLvVR3TTJpzRReIs3X,2021-11-19,237900,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
2007,https://open.spotify.com/track/6KNNqqLaousABh4LeVhdJ9,The Forever Story (Extended Version),https://open.spotify.com/album/4rJDCELWL0fjdmN9Gn4f4g,JID,https://open.spotify.com/artist/6U3ybJ9UHNKEdsH7ktGBZ7,2022-11-04,446822,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
2010,https://open.spotify.com/track/5kUgMxXcpAdsnKumXs4J5Z,2010,https://open.spotify.com/album/3BO8pSV1AMv2UkE80FHMR3,Earl Sweatshirt,https://open.spotify.com/artist/3A5tHz1SfngyOZM2gItYKu,2021-11-19,148027,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
297 Parkside,https://open.spotify.com/track/2Rsie0RsUDFt3NRBM94gUM,297 Parkside,https://open.spotify.com/album/2rOxqka7BLWvKHaoz76qS2,"Black Soprano Family, Rick Hyde, Stove God Cooks, Elcamino","https://open.spotify.com/artist/3s7WzrEs4FkNObqj4WyfQm, https://open.spotify.com/artist/5bgr1sPXFeiNuS4vARMZp1, https://open.spotify.com/artist/35fcckhFq2cF2u7hIG0fPv, https://open.spotify.com/artist/54jJabxN5Xa0aMGK4mYdVg",2022-09-02,220000,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
3 Pts - Remix,https://open.spotify.com/track/6KwdUuCuyHhHKOxd4XO7o7,3 Pts (Remix),https://open.spotify.com/album/3AfKLp6IwCqeYgBD55VKQF,"Mike & Keys, Casey Veggies, Nilly","https://open.spotify.com/artist/5J0hy1k4Ghvo1iIZ8P7cd4, https://open.spotify.com/artist/0uFc6StTmJBvdHPZFDkdJy, https://open.spotify.com/artist/7Mdi8JdPRnFEjWUtp0yCDv",2022-08-19,160401,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
48 (feat. Pink Siifu),https://open.spotify.com/track/5miJWaIbJqBnoybPj4B5ys,48,https://open.spotify.com/album/1TSUdwvGwAGr93YLi7izZn,"Maxo, Pink Siifu","https://open.spotify.com/artist/758sHPdw5FpB5ZM8f5MpXe, https://open.spotify.com/artist/40ZElxHldNyvn7x8WRC6fh",2022-08-05,159236,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
505,https://open.spotify.com/track/0Tmh90l0RvTR0lZMWSey2i,Apt. 505,https://open.spotify.com/album/2f9OKBlHW6ZcJ11cutOCGf,Coast Contra,https://open.spotify.com/artist/4xZTKft62AsF0SC3rAuYwJ,2022-03-25,187416,2021-12-21,That real hip-hop. Cover: Cordae,Mind Right
