track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/09BF3kcZeMEG4Wzu0C4M9X,Kolamavu Kokila,https://open.spotify.com/album/5F982BYjAKiPnliKexrHBi,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2021-08-02,0,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
,https://open.spotify.com/track/54lWhyO1mesDCvdQXiafu0,,https://open.spotify.com/album/4dOzOEIHi3QhtjnafMLrPo,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2021-08-02,0,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
Aathi,https://open.spotify.com/track/0KSyqMfLSkElsnT25mQc2i,Kaththi (Original Motion Picture Soundtrack),https://open.spotify.com/album/2jo4lZjhgTwX7ldHD5hl1t,"Anirudh Ravichander, Vishal Dadlani, Yugabharathi","https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O, https://open.spotify.com/artist/6CXEwIaXYfVJ84biCxqc9k, https://open.spotify.com/artist/4kzSv6FtNOoY6s4VFD3L6e",2021-08-02,304920,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
"Aathi (From ""Kaththi"")",https://open.spotify.com/track/2B2Y1qGComLKdsHLktgCbV,Kaththi (Original Motion Picture Soundtrack),https://open.spotify.com/album/2qFqhre2weJ6I4kcVMomtH,"Anirudh Ravichander, Vishal Dadlani","https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O, https://open.spotify.com/artist/6CXEwIaXYfVJ84biCxqc9k",2021-08-02,304923,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
Ailasa Ailasa,https://open.spotify.com/track/6n8gWl0tiqrjsrytd24prO,Vanakkam Chennai (Original Motion Picture Soundtrack),https://open.spotify.com/album/4GDrPlprtCalr2sk3wbA4o,"Anirudh Ravichander, Suchitra, Madhan Karky","https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O, https://open.spotify.com/artist/3R0YzDT1gl2mMDLMrgdNjR, https://open.spotify.com/artist/0MC4IRJmruzbwPInw7vmL7",2021-08-02,246066,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
Alladhe Siragiye,https://open.spotify.com/track/4bBvORgFl84qcZ1Q4LtMoN,Rum (Original Motion Picture Soundtrack),https://open.spotify.com/album/7wOBAKgO7PkU1tsOMPI8LN,"Anirudh Ravichander, Sid Sriram","https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O, https://open.spotify.com/artist/7qjJw7ZM2ekDSahLXPjIlN",2021-08-02,222693,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
Anbenum,https://open.spotify.com/track/4U4vgPosXiDSjR0gHQmvN2,Leo (Original Motion Picture Soundtrack),https://open.spotify.com/album/2nZKDF0ZFy0Pv7uMakAwZh,"Anirudh Ravichander, Lothika","https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O, https://open.spotify.com/artist/7yZDrVInKssNCaZkAkQGTX",2024-06-27,214330,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
Avalukena,https://open.spotify.com/track/6nP69wy9Y1PonStmqt33uk,Avalukena,https://open.spotify.com/album/2YmFZIuClRJrul4vunJR33,"Anirudh Ravichander, Srinidhi Venkatesh","https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O, https://open.spotify.com/artist/1PDFenKwhb7oNx0bxCyQF2",2021-08-02,287786,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
"Bae (From ""Don"")",https://open.spotify.com/track/5D507IC1VOAg7bKkmOblr6,"Bae (From ""Don"")",https://open.spotify.com/album/2HsFQRxJln6Q9XEf6DbhZ4,"Anirudh Ravichander, Adithya RK","https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O, https://open.spotify.com/artist/2AQwMDyDvgpZcHLITOpgpm",2022-02-03,242628,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
"Bodhai Kaname - From ""Oh Manapenne""",https://open.spotify.com/track/4qIMmEjV8gaEsfZML9LALx,"Bodhai Kaname (From ""Oh Manapenne"")",https://open.spotify.com/album/53xK2qW53doSVnfWafunKQ,"Vishal Chandrashekhar, Anirudh Ravichander, Shashaa Tirupati","https://open.spotify.com/artist/0rL4uL3xfYOt2p7NHhS8qr, https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O, https://open.spotify.com/artist/12CpR4SNDzVIlDoPSeNFeW",2021-08-02,261946,2021-12-28,Enjoy the romantic side of Ani,Romantic Anirudh
