track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1017 (feat. Gucci Mane & Yung Mal),https://open.spotify.com/track/0t0qLzCLI1mlQKbFyzlIEv,So Icy Princess,https://open.spotify.com/album/3Auk6Wl8cYEGo8LkTA3Z6W,"Asian Doll, Gucci Mane, Yung Mal","https://open.spotify.com/artist/4guK7U9J36z76E1tWecJ0J, https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo, https://open.spotify.com/artist/6m0MLa2Q5RwIF8R7nwQkQ2",2021-02-22,243252,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
Back to the Streets (feat. Jhené Aiko),https://open.spotify.com/track/3MEruRteiUZXkStfTlZqRn,Back to the Streets (feat. Jhené Aiko),https://open.spotify.com/album/5Qg2XXhV3sxOgfbXtAhU3N,"Saweetie, Jhené Aiko","https://open.spotify.com/artist/6cK3NBO6uP7hh0oyuVELFl, https://open.spotify.com/artist/5ZS223C6JyBfXasXxrRqOk",2021-02-22,189496,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
Bad Bitch Anthem,https://open.spotify.com/track/2iSSej4XF1TvnL957k86vP,Blue Magic,https://open.spotify.com/album/06NRbPzrE1fhJsay2ikpW9,Trina,https://open.spotify.com/artist/4PrinKSrmILmo0kERG0Ogn,2021-02-22,121364,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
Bailar,https://open.spotify.com/track/3twTx8aoeaKCoQ4dUHsLWl,Bailar,https://open.spotify.com/album/6ldYm69Rl5beEtl0of3Srh,"Day Sulan, YG","https://open.spotify.com/artist/5wrJuArO5sOmhl2QJ1Z0sk, https://open.spotify.com/artist/0A0FS04o6zMoto8OKPsDwY",2021-02-22,205055,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
Barbie Dreams,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B,Queen,https://open.spotify.com/album/2acDkDTWdNFie1HjcFa4Ny,Nicki Minaj,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,2021-02-22,279866,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
Barbie Tingz,https://open.spotify.com/track/2qsQ8eVDPmobZpvDxQCVQu,Barbie Tingz,https://open.spotify.com/album/0cjXPqSbbBhwSJiqkoyviO,Nicki Minaj,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,2021-02-22,191699,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
Best Friend (feat. Doja Cat),https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),https://open.spotify.com/album/28Yv9BE6ZI6dccK0sxbEq4,"Saweetie, Doja Cat","https://open.spotify.com/artist/6cK3NBO6uP7hh0oyuVELFl, https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",2021-02-22,155883,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
Bickenhead,https://open.spotify.com/track/17Yq72h0p15OhCbZ5lJ5gd,Invasion of Privacy,https://open.spotify.com/album/4KdtEKjY3Gi0mKiSdy96ML,Cardi B,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB,2021-02-22,181623,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
Big Energy,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq,Big Energy,https://open.spotify.com/album/58MbYehGOl5NAOdfWY5aHa,Latto,https://open.spotify.com/artist/3MdXrJWsbVzdn6fe5JYkSQ,2022-03-08,173182,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
Big Momma Thang (feat. Jay-Z),https://open.spotify.com/track/0JRB0l3igltUQX1OmKyORy,Hard Core,https://open.spotify.com/album/39xHAZmTUSQJyXt6ebpjKT,"Lil' Kim, JAY-Z","https://open.spotify.com/artist/5tth2a3v0sWwV1C7bApBdX, https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB",2022-03-08,256866,2021-12-21,"Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Doja Cat",Women of Hip-Hop
