track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
012 Chants (feat. Mbombi),https://open.spotify.com/track/7qr4l2wG0dnBsCNVwdvCyA,012 Chants (feat. Mbombi),https://open.spotify.com/album/4LoqoThev6NwW0dzTgxqkC,"Senjay, King Tone SA, Lash T, Mbombi","https://open.spotify.com/artist/1efM4QfrpfuBitDEQg5p26, https://open.spotify.com/artist/3DoyERZYghbTIOhr6XSKKA, https://open.spotify.com/artist/5UrNvnWzl5h7RFOxSUVpkp, https://open.spotify.com/artist/0vEsEIUKQ3E3MFu7b46FfR",2022-09-09,404034,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
10K Ye McDonald's,https://open.spotify.com/track/6Ddx4EYk19iPeo98doohCf,10K Ye McDonald's,https://open.spotify.com/album/1ultZV4Vf7ShgG1SA642jR,"MaWhoo, TOSS, Mdoovar, 9umba","https://open.spotify.com/artist/5kwZB1xNLgB3lln1JGS2B9, https://open.spotify.com/artist/0JwjW1x56tK5hnHvlRSSw9, https://open.spotify.com/artist/1G4Rnei7H9xEN8jG4CwsgX, https://open.spotify.com/artist/1roTzbKGDx7ZFBA5oibNPW",2022-07-14,441428,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
13 POS (Ke Bo Mang),https://open.spotify.com/track/3broQqYTmS1ctbl5mvFAKc,13POS,https://open.spotify.com/album/3vJ0nwmFEngfkyAa6C83j0,"Focalistic, Sims Noreng","https://open.spotify.com/artist/2GJMSZ7M3D0KyyKRhYgWju, https://open.spotify.com/artist/3GMbwC9hehaCMs6JqiZBeE",2024-05-24,291439,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
14 P.G. (Original Mix),https://open.spotify.com/track/0v1rgEY90MJn1aO79RkpzR,14 P.G. (Original Mix),https://open.spotify.com/album/2vdQmTSwlEDITkK1lles8G,MaFruits,https://open.spotify.com/artist/2hE5FPed2TkT78edV73wUx,2022-06-02,488608,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
17 March,https://open.spotify.com/track/1RZHPpiqZrLboRdx5vbJhd,Granny's Love,https://open.spotify.com/album/7A345tb3GDIus7Ps1MbkiZ,"Mick Man, Kelvin Momo","https://open.spotify.com/artist/2qyayQizFjGigmZVrwyuf9, https://open.spotify.com/artist/4VlxI0WKDh7HFgHjXcfj6v",2023-03-16,420797,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
1st Park,https://open.spotify.com/track/48rMy7l3vE44f4engB0GA1,Sounds Of Gomora,https://open.spotify.com/album/5NBuO8ofRuaHprVvfl8XFg,Josiah De Disciple,https://open.spotify.com/artist/0Es1TBdBiQPIdwQWLJelte,2022-01-27,342873,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
2.0 Bambelela,https://open.spotify.com/track/6TJl8V4LbxQYad6K4US947,Terminator 2 (The Rise Of The Machine),https://open.spotify.com/album/3s25Ensp5VHmTWFXXNM04W,"Caltonic SA, Sje Konka, Sax","https://open.spotify.com/artist/17GosBGcjmcVVy4M6NBwQ9, https://open.spotify.com/artist/1KAE5EFbVnz0RGnj9DdY1l, https://open.spotify.com/artist/0Mw1chFsvpRJpWEXZS0Ez5",2021-12-08,301122,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
2022,https://open.spotify.com/track/3IW533CTVlMfuZUJPafF6P,2022,https://open.spotify.com/album/4Baezws1jqRqlcven3w1oi,"Semi Tee, Focalistic, Ma Lemon","https://open.spotify.com/artist/2mRDgWrF5x7MOS1X1C1UDF, https://open.spotify.com/artist/2GJMSZ7M3D0KyyKRhYgWju, https://open.spotify.com/artist/2UJRUGgGu9ADntAYptgjmf",2022-03-31,318270,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
24,https://open.spotify.com/track/60E3fzeumjNZnYWMfkldLX,24,https://open.spotify.com/album/5rFQcs877KiQXpZs7VK8LC,"Bxn, Mxrcus","https://open.spotify.com/artist/6EL3aYO8KiOUBMlxhBNTHC, https://open.spotify.com/artist/7z73kDwAN2PkZOU4SLvA9o",2022-05-05,448740,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
25 Tao,https://open.spotify.com/track/5SGR2GjHKy0V75xLwSsfWj,25 Tao,https://open.spotify.com/album/0EUrlHs5Zf5ykINJfm6niF,"DaLootz, QuayR Musiq","https://open.spotify.com/artist/1vLIzY0izQTnmHdV1IPL2k, https://open.spotify.com/artist/4Swe2JHqCnhe8uQA9oNs08",2021-12-08,352215,2021-12-29,"The biggest Amapiano singles making waves in South Africa and the world. Cover: <a href=""https://open.spotify.com/artist/5eYSqn4LCXLgIFYR4qOZ1k?si=1WGiKzGST4eGYkuZQ2GkRg"">Tito M</a>, <a href=""https://open.spotify.com/artist/0M6k4Kgi5NiIDnafSKSLE0?si=z7vj6MYoQ2uzk039a9-KmA"">Yuppe</a>",AMAPIANO GROOVES
