track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
24k Heart Of Gold,https://open.spotify.com/track/5knJFCWGryxZkFyYtUSCzH,24k Heart Of Gold,https://open.spotify.com/album/0632qm5oTzinzWBDiS4O3n,"YouNotUs, Sam Feldt, Martin Jensen, Sam Gray","https://open.spotify.com/artist/67ghKnycRX6VM1xfqJSMlH, https://open.spotify.com/artist/20gsENnposVs2I4rQ5kvrf, https://open.spotify.com/artist/4ehtJnVumNf6xzSCDk8aLB, https://open.spotify.com/artist/4sW5R5XKTge9Vwv44p9p18",2024-04-18,136642,2024-02-08,Dance tracks for your power moves,Dance Workout
4 o'Clock (In The Morning),https://open.spotify.com/track/3DKkPeLeZlJlvcq1R5Ot4A,4 o'Clock (In The Morning),https://open.spotify.com/album/333tnNxldO2bpInhctnz5W,"HUTS, STRINGS","https://open.spotify.com/artist/6d4AePmkVnbu2qIbT6vsem, https://open.spotify.com/artist/2miDdmDaU90uQwrBIFj9Cs",2024-09-09,124995,2024-02-08,Dance tracks for your power moves,Dance Workout
A Little Bit More,https://open.spotify.com/track/33bAyg26EB6VbKt6K1p1xd,A Little Bit More,https://open.spotify.com/album/5jxRwsH6tU9gEj0k5hhqwo,"Gaudini, KVKI","https://open.spotify.com/artist/6mtV83LQpDVyR23kBRn5OX, https://open.spotify.com/artist/4zZiCIjLTjSP7QvjPLPIms",2024-03-06,145161,2024-02-08,Dance tracks for your power moves,Dance Workout
A2,https://open.spotify.com/track/3tEiz9H5kUnu6dNfsuZSeR,A2,https://open.spotify.com/album/6SZRUIf1d6HUVaDWsCsWCP,MANIBA,https://open.spotify.com/artist/4XAXNc9B0uZ8iKANChhZIx,2025-01-27,147619,2024-02-08,Dance tracks for your power moves,Dance Workout
AEIOU,https://open.spotify.com/track/5I8YyKG5iIdOiuTFnX9YVC,AEIOU,https://open.spotify.com/album/2F00Hw4CHbhTPMeUllX8Oc,"PNAU, Empire Of The Sun","https://open.spotify.com/artist/6n28c9qs9hNGriNa72b26u, https://open.spotify.com/artist/67hb7towEyKvt5Z8Bx306c",2024-02-07,195446,2024-02-08,Dance tracks for your power moves,Dance Workout
Afterglow,https://open.spotify.com/track/6ZB01Z7MU4upRj7whEt6Ye,Afterglow,https://open.spotify.com/album/5WwGb5jfW9icOphjipRqzG,"Future Class, CMC$, Felix Samuel","https://open.spotify.com/artist/2jFK9ZXWDd7auJvfNfBcuC, https://open.spotify.com/artist/78DWNk8gFHU30TGITAgbM7, https://open.spotify.com/artist/2FMdAViOScZVhMjAunoYNK",2024-02-07,152903,2024-02-08,Dance tracks for your power moves,Dance Workout
All Night Long,https://open.spotify.com/track/6Wq9mMoP3u5DUoTF45Ov7u,All Night Long,https://open.spotify.com/album/4pWtDAU2CYcvsVwJKVWimA,Nicky Romero,https://open.spotify.com/artist/5ChF3i92IPZHduM7jN3dpg,2024-03-21,164400,2024-02-08,Dance tracks for your power moves,Dance Workout
All Nighter,https://open.spotify.com/track/3jksOdXCaDXyGiZ7L4YZbp,DRIVE,https://open.spotify.com/album/1Pl9ZGXwayXPg5qRVpYo74,Tiësto,https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z,2024-02-07,134880,2024-02-08,Dance tracks for your power moves,Dance Workout
All On Me,https://open.spotify.com/track/0D5rx7pURavcGEx9ZryKgQ,All On Me,https://open.spotify.com/album/2BXVKywq85Dr2pMamjIdMM,"Lukas Vane, Jex","https://open.spotify.com/artist/4KG9oqu0VXEqu6fNdiip0U, https://open.spotify.com/artist/0NO8SsF6umjI3iQJzTycVF",2024-07-26,144960,2024-02-08,Dance tracks for your power moves,Dance Workout
All The Things She Said,https://open.spotify.com/track/3a5VAKV2lXI2x2jQEgrX3B,All The Things She Said,https://open.spotify.com/album/6RaqLOaAQCJhhhn9xvTT9T,Sam Feldt,https://open.spotify.com/artist/20gsENnposVs2I4rQ5kvrf,2024-02-07,169687,2024-02-08,Dance tracks for your power moves,Dance Workout
Alone With You,https://open.spotify.com/track/3V1XM5IEWW34oUHBBXBjq8,Alone With You,https://open.spotify.com/album/3hv6DpbPmyPaDBO7hrRqJ5,"Tungevaag, RetroVision","https://open.spotify.com/artist/49CE2ffZ6Z3zeYSDauSKck, https://open.spotify.com/artist/6heMlLFM6RDDHRz99uKMqS",2024-02-07,154545,2024-02-08,Dance tracks for your power moves,Dance Workout
Arrival,https://open.spotify.com/track/0hSuV2otL5a1tl8pByCiAt,Arrival,https://open.spotify.com/album/2lJVqcgwxrIvgV4BSiJ2Ww,KREAM,https://open.spotify.com/artist/0DdDnziut7wOo6cAYWVZC5,2025-02-27,204285,2024-02-08,Dance tracks for your power moves,Dance Workout
Back In '99,https://open.spotify.com/track/2go9hE9lNmxdPdUSd2X2uh,Back In '99,https://open.spotify.com/album/4QKHJEN7HIzyMDP7QCfhzs,MOTi,https://open.spotify.com/artist/1vo8zHmO1KzkuU9Xxh6J7W,2024-02-07,167678,2024-02-08,Dance tracks for your power moves,Dance Workout
Bad Memories ft Elley Duhe and FAST BOY - David Guetta Remix,https://open.spotify.com/track/39zdHn7yXzrVB4zZLN4Zsh,Bad Memories (David Guetta Remix),https://open.spotify.com/album/5FwgcsrJaS4DruiTss7DNZ,"MEDUZA, James Carter, David Guetta, Elley Duhé, FAST BOY","https://open.spotify.com/artist/0xRXCcSX89eobfrshSVdyu, https://open.spotify.com/artist/5344K3N7rx7kw1HjO8psuq, https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai, https://open.spotify.com/artist/67MNhiAICFY6Pwc2YxCO0K, https://open.spotify.com/artist/56Qz2XwGj7FxnNKrfkWjnb",2024-02-07,244929,2024-02-08,Dance tracks for your power moves,Dance Workout
Beast Mode (Knock You Out),https://open.spotify.com/track/460FLlsVLaDLzPTclcuOl4,Beast Mode (Knock You Out),https://open.spotify.com/album/6k5C7dt5RAZZ7oTzoF7LBc,Don Diablo,https://open.spotify.com/artist/1l2ekx5skC4gJH8djERwh1,2024-05-22,164761,2024-02-08,Dance tracks for your power moves,Dance Workout
Big Emotion,https://open.spotify.com/track/2yXpN0Rz2KTny9J5BxwYFz,Big Emotion,https://open.spotify.com/album/6Vaq9DZUC7HdLcyQqhNbrE,"Tommy Trash, KLP","https://open.spotify.com/artist/1tBU8jUEdVR3mqSsAqEGfD, https://open.spotify.com/artist/3cWOwptrfEuGMJ2cM7ipc3",2024-06-12,156220,2024-02-08,Dance tracks for your power moves,Dance Workout
