track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""DEVILS NEVER CRY""(スタッフロール)",https://open.spotify.com/track/3ozivYJGJGq6TSzdy8m64X,デビル メイ クライ 3 オリジナル・サウンドトラック,https://open.spotify.com/album/2NTNKtQXpBwf80gpaITckb,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,319906,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
A Brand New Day,https://open.spotify.com/track/2ci8vXPrkqpJI9PjToeJxS,A Brand New Day,https://open.spotify.com/album/4eXicJ43I6xi2DG98KFxJN,"Zac Zinger, Buku","https://open.spotify.com/artist/6nVreZX9f5zkyfsuQ3Qo3J, https://open.spotify.com/artist/0w2QFhEnPG6tLIvkogHbUi",2021-06-30,204761,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
ABrandNewDay,https://open.spotify.com/track/6zJH70ln2n4JgSm4WApXHO,カプコンアーケードスタジアム ミニアルバム,https://open.spotify.com/album/1qSeVN4W7UYymi9TZzwyHI,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,204761,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
BOOMER KUWANGER STAGE,https://open.spotify.com/track/0rKHHCxSIyIMUCRSSAABdT,ロックマンX サウンド コレクション,https://open.spotify.com/album/5BfJWzKHKG5UrRPsPEgWYs,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,140693,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
BUBBLEMAN STAGE,https://open.spotify.com/track/2iKSUOKtDn2CdQsAPYJryS,ロックマン2 サウンドコレクション,https://open.spotify.com/album/7b6GOY3lEu2o9mxnkMhhEr,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,87800,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
BUBBLY CRABLOS STAGE,https://open.spotify.com/track/6YsT4eETlFkLHv7D4bDaPR,ロックマンX2 サウンド コレクション,https://open.spotify.com/album/6q0x5ZP2RGnXcmO1jnjM89,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,105653,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Bury the Light,https://open.spotify.com/track/0AnThwGdCVKyRT5sNRClgw,Devil May Cry 5 (Special Edition Vergil's Rebirth Sound Selection),https://open.spotify.com/album/3Kfd2xPzl0IMidlxLbR2vk,Casey Edwards,https://open.spotify.com/artist/1hGdQOfaZ5saQ6JWVuxVDZ,2021-06-30,580292,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Bury the Light,https://open.spotify.com/track/6tUcFEXos6TGhESFlkAyCm,Bury the Light,https://open.spotify.com/album/55RULuYZGg7QUBqYQePPR7,"Casey Edwards, Victor Borba","https://open.spotify.com/artist/1hGdQOfaZ5saQ6JWVuxVDZ, https://open.spotify.com/artist/2yMgp5XJfvhpTgAg7wZqRF",2021-06-30,582400,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Bury the Light,https://open.spotify.com/track/0LldViz2vaOEjiBqEN25ca,Bury the Light,https://open.spotify.com/album/32YRuIKKqGpe2YwIIUqZsA,"Casey Edwards, Victor Borba","https://open.spotify.com/artist/1hGdQOfaZ5saQ6JWVuxVDZ, https://open.spotify.com/artist/2yMgp5XJfvhpTgAg7wZqRF",2021-06-30,582495,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Cammy'stheme(スーパーストリートファイターⅡXより),https://open.spotify.com/track/7jZYpZsaNOHni7aalh31LL,カプコンアーケードスタジアム ミニアルバム,https://open.spotify.com/album/1qSeVN4W7UYymi9TZzwyHI,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,175360,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
CREDIT~GAME START~PLAYER SELECT(キャプテンコマンドーより),https://open.spotify.com/track/27ewExTXOBMfWxVBoFvbvC,カプコンアーケードスタジアム ミニアルバム,https://open.spotify.com/album/1qSeVN4W7UYymi9TZzwyHI,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,30333,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Crimson Cloud,https://open.spotify.com/track/0kbL8BOL0Ts7lGIVVQNoXB,DEVIL MAY CRY 5 Original SoundTrack,https://open.spotify.com/album/1moJ6fFO8yD6itUlDZXlwe,Jeff Rona,https://open.spotify.com/artist/7EVrVA4VnT3DGeyIZjWLRZ,2021-06-30,289137,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Crimson Cloud,https://open.spotify.com/track/6WVbHvEVWVnAYNwZs650NN,Devil May Cry 5 (Special Edition Vergil's Rebirth Sound Selection),https://open.spotify.com/album/3Kfd2xPzl0IMidlxLbR2vk,Jeff Rona,https://open.spotify.com/artist/7EVrVA4VnT3DGeyIZjWLRZ,2021-06-30,289137,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Crimson Cloud,https://open.spotify.com/track/0Uiqplbhwnvl9txEppdWJv,Crimson Cloud,https://open.spotify.com/album/2V1hViF311H8XX1104K3i4,"Jeff Rona, Rachel Fannan","https://open.spotify.com/artist/7EVrVA4VnT3DGeyIZjWLRZ, https://open.spotify.com/artist/45NEcLQE6r8oramtHa7tAe",2021-06-30,289095,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
CRISTAR MYMINE STAGE,https://open.spotify.com/track/5sNAphLSbEDIiM9fPOEcnv,ロックマンX2 サウンド コレクション,https://open.spotify.com/album/6q0x5ZP2RGnXcmO1jnjM89,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,96466,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
CUTMAN STAGE,https://open.spotify.com/track/2ejAkzIqUBhI97SMs8LzYd,ロックマン サウンドコレクション,https://open.spotify.com/album/6VLq2RjAZqRJvKGhQF0kLs,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,93280,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
DARK MAN STAGE,https://open.spotify.com/track/0x1lzES0hcRTrI70ou9Fyx,ロックマン5 サウンドコレクション,https://open.spotify.com/album/5IqjF76I6SpCv2pigjcFxE,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,125173,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
DEMO(天地を喰らう2 赤壁の戦いより),https://open.spotify.com/track/6NHN0i8e3aKFiswtDvo7rR,カプコンアーケードスタジアム ミニアルバム,https://open.spotify.com/album/1qSeVN4W7UYymi9TZzwyHI,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,38706,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Devil Trigger,https://open.spotify.com/track/7I8MCiM3A4xvnM6zIiuMZn,Devil Trigger,https://open.spotify.com/album/6FhOlyDHHOYjBGOkPtstla,"Casey Edwards, Ali Edwards","https://open.spotify.com/artist/1hGdQOfaZ5saQ6JWVuxVDZ, https://open.spotify.com/artist/5biLuWkauLRAlX5O5VX5oi",2021-06-30,405212,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Devil Trigger - Opening Remix,https://open.spotify.com/track/0yEmW37PXwTC9li00YrIOS,DEVIL MAY CRY 5 Original SoundTrack,https://open.spotify.com/album/1moJ6fFO8yD6itUlDZXlwe,"Yoshiya Terayama, Casey Edwards","https://open.spotify.com/artist/6QqEt1hkxnHA0sYiVrU0Dq, https://open.spotify.com/artist/1hGdQOfaZ5saQ6JWVuxVDZ",2021-06-30,147698,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Domain of Dust and Desolation,https://open.spotify.com/track/7fh6upeBBPHJqOesusuMbe,MONSTER HUNTER RISE ORIGINAL SOUNDTRACK,https://open.spotify.com/album/0H4cXrYB3b8IDEFgTMNcAT,堀諭史,https://open.spotify.com/artist/56JQzzYTLuEO1MvPct6Tfg,2021-06-30,254266,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Dr. Wily Stage,https://open.spotify.com/track/23zLcVodVC5TkZ1tcNon15,MEGAMAN 11 Original Soundtrack,https://open.spotify.com/album/3H6eQfGMjmwJ6JCO22t2hx,Marika Suzuki,https://open.spotify.com/artist/41kVzr5RxwegBwWAWzwRG6,2021-06-30,183986,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Dr.WILY STAGE,https://open.spotify.com/track/0hvEw3f1irouB9Kb12bWU1,ロックマン11 運命の歯車!! オリジナルサウンドトラック,https://open.spotify.com/album/5jiyj28H1sVyo8zfwtaU2u,Marika Suzuki,https://open.spotify.com/artist/41kVzr5RxwegBwWAWzwRG6,2021-06-30,183986,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Dr.WILY STAGE 1,https://open.spotify.com/track/5fUgHGbOg95s5r2IxzTbEB,ロックマン2 サウンドコレクション,https://open.spotify.com/album/7b6GOY3lEu2o9mxnkMhhEr,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,156600,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Dr.WILY STAGE 1,https://open.spotify.com/track/2D4PWhCj59xSZ1pj5MBvWG,ロックマン2 サウンドコレクション,https://open.spotify.com/album/7b6GOY3lEu2o9mxnkMhhEr,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,164613,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Dudley Stage -YOU BLOW MY MIND-,https://open.spotify.com/track/2k1B29kBE3UCYbKk5v68vB,ストリートファイターIII サードストライク オリジナル・サウンドトラック,https://open.spotify.com/album/6SoRVUwpD4odggcEThCInH,Capcom Sound Team,https://open.spotify.com/artist/3w1Q754jb31h5CXQCcnLNL,2021-06-30,193773,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Escape,https://open.spotify.com/track/0CnoyKNuuo5kuUNqtw1Tkg,Resident Evil 3 Special Soundtrack,https://open.spotify.com/album/7pQYu8IdEDcvmlhCTCSsaP,Masami Ueda,https://open.spotify.com/artist/4Zc9ID5YsCSgTf2l00RmiU,2021-06-30,278306,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Escape,https://open.spotify.com/track/1ykLzEi5mWPLfJbA8c5h15,バイオハザード RE:3 アルバム プレビュー,https://open.spotify.com/album/5B26OGt9by1hpAYZqadKlA,Masami Ueda,https://open.spotify.com/artist/4Zc9ID5YsCSgTf2l00RmiU,2021-06-30,278306,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Escape,https://open.spotify.com/track/3MGQOcKdnS7eFvlLTjVoLE,Resident Evil 3 Special Soundtrack,https://open.spotify.com/album/7ruGj7abeKNiq1nROX0uC7,Masami Ueda,https://open.spotify.com/artist/4Zc9ID5YsCSgTf2l00RmiU,2021-06-30,278306,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Escape,https://open.spotify.com/track/5zuSUJY4ZNqXfdZQcsA1dM,RESIDENTEVIL SOUND CHRONICLE III,https://open.spotify.com/album/04wI5TSN4crQGKGHnV9DTh,Masami Ueda,https://open.spotify.com/artist/4Zc9ID5YsCSgTf2l00RmiU,2021-06-30,278306,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Esperanto,https://open.spotify.com/track/0pX2s4lnpNTYcDcBEVenSW,MEGAMAN ZERO4 ORIGINAL SOUNDTRACK,https://open.spotify.com/album/1xRQ8CX4FcSWnm2VKr6elp,Umegaki Runa,https://open.spotify.com/artist/1EttdjOOkUtmSht8NjZ1ax,2021-06-30,139266,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Esperanto,https://open.spotify.com/track/2bO8wK9Cj7KJieoirM3Klu,MEGAMAN ZERO/ZX SOUND BOX,https://open.spotify.com/album/53jTF5NJogiBRi0H2yMGtE,Umegaki Runa,https://open.spotify.com/artist/1EttdjOOkUtmSht8NjZ1ax,2021-06-30,139266,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
Esperanto,https://open.spotify.com/track/70CUZtpLl7JYn5UJ99HkS4,ロックマン ゼロ4 オリジナルサウンドトラック,https://open.spotify.com/album/5llJtMDrs4Kmtq8iEFZs9s,Umegaki Runa,https://open.spotify.com/artist/1EttdjOOkUtmSht8NjZ1ax,2021-06-30,139266,2021-12-28,"Enjoy game soundtracks from Capcom! 最新作から過去まで、多数の人気作品を生み出したカプコンのゲームサントラをお届け！©CAPCOM CO., LTD. ALL RIGHTS RESERVED.",This Is Capcom Sound Team
