track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Beautiful,https://open.spotify.com/track/7oEIm5uvKfOeMwilOAYb32,Carole King: The Ode Collection,https://open.spotify.com/album/3kbEbYvWSub8LsGZpq6lcp,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,186200,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Been to Canaan,https://open.spotify.com/track/2zqZT1bhvu7Bdpq2RcL6jj,The Essential Carole King,https://open.spotify.com/album/0rGwxrM6v7wQaNm9aC5DSh,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,217973,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Bitter with the Sweet,https://open.spotify.com/track/6MBS3ARYYlI4FtYjaTinK5,Rhymes & Reasons,https://open.spotify.com/album/3kUmJfZkReqIb3ZqB4Q4kv,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,147466,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Breaking Up Is Hard to Do,https://open.spotify.com/track/33KeXsyDvaJ9ycZuylMHXT,The Early Years,https://open.spotify.com/album/3V4vij3xyf6O3HvY3WN2yy,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,136293,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Carry Your Load,https://open.spotify.com/track/6WLOgUxpUjnHovRYMqW5ie,Super Hits,https://open.spotify.com/album/2AAJvDeGHpya2YNDQLEqJz,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,169293,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Chains,https://open.spotify.com/track/36oiWXwyBtAnyxWy7WU12w,Pearls: Song Of Goffin & King,https://open.spotify.com/album/0KMcJ7cATwp6iWXbXmqr64,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,176400,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Child Of Mine,https://open.spotify.com/track/4c7uopYWFjmwi1XAQVJzhE,Writer/Rhymes & Reasons,https://open.spotify.com/album/2m1egJNwIoP6R88tvWpib7,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,242786,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Corazón,https://open.spotify.com/track/4kuCVncEUlhFNahtruop4i,Fantasy,https://open.spotify.com/album/3oBOHwgHLmI3HzN9nxaUZl,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,245666,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Crying In The Rain,https://open.spotify.com/track/77aum1SU94w0Av4E77RSJP,The Legendary Demos,https://open.spotify.com/album/3qwVZSAZIRYRSTjqJybA8d,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,108840,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Dancin' with Tears in My Eyes,https://open.spotify.com/track/7IZKts0yjOguC78lwakLPX,Pearls: Songs of Goffin & King,https://open.spotify.com/album/0rwgfoVEgvcCvuwNsamaul,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,211333,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Everyday People,https://open.spotify.com/track/2PAEKuPg0JjJC7fFH9XJCC,Duets,https://open.spotify.com/album/2Wj4aipcgskjHrk2pXmERR,"Reba McEntire, Carole King","https://open.spotify.com/artist/02rd0anEWfMtF7iMku9uor, https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6",2018-08-20,215800,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Hey Girl,https://open.spotify.com/track/0lFFHGknJERNT8rL23sLcm,Pearls: Song Of Goffin & King,https://open.spotify.com/album/0KMcJ7cATwp6iWXbXmqr64,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,221666,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
Home Again,https://open.spotify.com/track/6jyh00Jiec4AYKrl948jfV,Tapestry (Legacy Edition),https://open.spotify.com/album/7ggbiEJgwxJjdmKXiVj7yr,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,149053,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
I Feel the Earth Move,https://open.spotify.com/track/1BWsOxeMx83OrKGCV4gxly,Tapestry,https://open.spotify.com/album/12n11cgnpjXKLeqrnIERoS,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,178560,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
It Might As Well Rain Until September,https://open.spotify.com/track/6pXOoK5j1kKPzdxxNvWk08,The Best Of 1962 Vol 2,https://open.spotify.com/album/2yYTBapPaNhiUyewomLT1W,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,146400,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
It's Going To Take Some Time,https://open.spotify.com/track/7kXdOQKvGT5TSFAti9gN3E,Original Album Classics,https://open.spotify.com/album/4EkVnDDbtHhONUT0msphsH,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2018-08-20,214760,2021-12-21,"Carole King's most essential tracks, all in one playlist.",This is: Carole King
