track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"3/5 Of A Mile In 10 Seconds - Live at The Woodstock Music & Art Fair, August 17, 1969",https://open.spotify.com/track/7GSz1Iqg9Af72pYRmacd6Z,Jefferson Airplane: The Woodstock Experience,https://open.spotify.com/album/625s2gdwGv9II76gXGAelS,Jefferson Airplane,https://open.spotify.com/artist/2qFr8w5sWUITRlzZ9kZotF,2019-08-15,330840,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
"Ain't No More Cane on the Brazos - Live At Woodstock, 8/17/69",https://open.spotify.com/track/5lPbt2YkuIJ1XiZvf15flw,The Band (Deluxe Edition / 2019 Remix),https://open.spotify.com/album/5ZRYMtWMk8ha4YD73KtlR2,The Band,https://open.spotify.com/artist/4vpDg7Y7fU982Ds30zawDA,2023-04-06,269866,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
Amazing Journey - Remixed Album Version,https://open.spotify.com/track/6hezLoA5gqsiaPY8TmIE30,Tommy,https://open.spotify.com/album/4lzu0HmhbocnBCQQDHiL40,"The Who, Andy Macpherson, Jon Astley","https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w, https://open.spotify.com/artist/3eLgh6OisMjiR9tWPyZCp5, https://open.spotify.com/artist/1I8A3N4AgFS3geeMC8uh8I",2019-08-15,205066,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
Animal Crackers - Live at Woodstock,https://open.spotify.com/track/0Qf6vpZlHGDQHIpcIaNWo6,Live at Woodstock,https://open.spotify.com/album/2zlv17M05aUbvb0C802lIT,Melanie,https://open.spotify.com/artist/6sOP8RUFR0q0nBOBOXGdBK,2019-08-15,173760,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
At the Hop - Live at Woodstock,https://open.spotify.com/track/1kJIUu4t43CkKkoC3ER5WT,Live at Woodstock,https://open.spotify.com/album/3M0qNiaX9kPnjqUdauF1Q9,Sha Na Na,https://open.spotify.com/artist/2SmjZ060s1uBMud6afmImP,2019-08-15,184786,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
Bad Moon Rising - Live At The Woodstock Music & Art Fair / 1969,https://open.spotify.com/track/2akJIE6FLmtnnO0DJcWjOj,Live At Woodstock,https://open.spotify.com/album/56jhCxU4IQs54Od4ariSaY,Creedence Clearwater Revival,https://open.spotify.com/artist/3IYUhFvPQItj6xySrBmZkd,2019-08-15,133253,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
Be Careful With a Fool,https://open.spotify.com/track/1Xs64aoXlXgBrfG0BolL10,Johnny Winter: The Woodstock Experience,https://open.spotify.com/album/0eVzMYs0TMHO9uMP1dAOsK,Johnny Winter,https://open.spotify.com/artist/2ODUxmFxJSyvGiimNhMHbO,2023-04-06,314626,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
Birthday Of The Sun - Live at Woodstock,https://open.spotify.com/track/6XrZB8gnnuSqXZJKHUZ55C,Live at Woodstock,https://open.spotify.com/album/2zlv17M05aUbvb0C802lIT,Melanie,https://open.spotify.com/artist/6sOP8RUFR0q0nBOBOXGdBK,2019-08-15,222106,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
Blood of the Sun,https://open.spotify.com/track/48XhSqd0MLFUhWuh82nHV6,Mountain,https://open.spotify.com/album/5ItlhE82QeQDM0j3aUKDPK,Leslie West,https://open.spotify.com/artist/0ks4E3VJXDIRABtxz2IiBE,2019-08-15,155026,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
Blood of the Sun,https://open.spotify.com/track/5eNfF5EULCAqGcHjIhCUCF,The Man and the Mountain,https://open.spotify.com/album/7o3XOGq5glKXpRXmaVAaPJ,"Leslie West, Mountain","https://open.spotify.com/artist/0ks4E3VJXDIRABtxz2IiBE, https://open.spotify.com/artist/7LCp4MN0SOIVWlssid9KyE",2019-08-15,202040,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
"Blood of the Sun - Live at Woodstock, Bethel, NY - August 1969",https://open.spotify.com/track/1d0nyp32OqkfRxMoZ1bOLT,Live at Woodstock,https://open.spotify.com/album/3Sw7a2O0dqOw54mxSDkoKJ,Mountain,https://open.spotify.com/artist/7LCp4MN0SOIVWlssid9KyE,2023-04-06,180640,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
Book of Love - Live at Woodstock,https://open.spotify.com/track/1RdMPj01AMZSL6K8jFx5Wh,Live at Woodstock,https://open.spotify.com/album/3M0qNiaX9kPnjqUdauF1Q9,Sha Na Na,https://open.spotify.com/artist/2SmjZ060s1uBMud6afmImP,2019-08-15,121746,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
Born On The Bayou - Live At The Woodstock Music & Art Fair / 1969,https://open.spotify.com/track/5NXnwFgYVD54fLxQrFGO66,Live At Woodstock,https://open.spotify.com/album/56jhCxU4IQs54Od4ariSaY,Creedence Clearwater Revival,https://open.spotify.com/artist/3IYUhFvPQItj6xySrBmZkd,2019-08-15,333493,2022-04-20,Live recordings from the iconic 1969 Woodstock Music Festival,Woodstock
