track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#1054 - Dr. Rhonda Patrick,https://open.spotify.com/episode/3JGuLUtsJ32YBA7qI6IcsO,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2020-08-31,11260888,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
#1200 - Ross Edgley,https://open.spotify.com/episode/2wFi4A1QkUyUj1cVhhScmU,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2020-08-31,10335616,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
#1212 - David Goggins,https://open.spotify.com/episode/27QZ8gh5X27R9LRB02hD3n,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2020-08-31,8281698,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
#1213 - Dr. Andrew Weil,https://open.spotify.com/episode/0in3ntA6303CYpA3ASpeVe,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2020-08-31,6741286,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
#1234 - David Sinclair,https://open.spotify.com/episode/0Gifr7mhEsQBI5oGzJomz2,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2020-08-31,8463092,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
#1478 - Joel Salatin,https://open.spotify.com/episode/4ftPQAYtdWSzh23GadelrV,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2020-08-31,7756094,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
#1787 - Dakota Meyer,https://open.spotify.com/episode/23UU1WhuEeHbXbTKIi7scJ,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2022-10-03,10949417,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
#1791 - Sadhguru,https://open.spotify.com/episode/0zN02uiYg9KUwYs4JY8Nwg,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2022-10-03,10221865,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
#1829 - Bobby Azarian,https://open.spotify.com/episode/7xA1gGIa9YCk9cmMrdnajv,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2022-10-03,7750996,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
#1858 - Josh Dubin & Derrick Hamilton,https://open.spotify.com/episode/6UeUIxBVH2DnDSv9lH6qFF,The Joe Rogan Experience,https://open.spotify.com/album/4rOoJ6Egrf8K2IrywzwOMk,The Joe Rogan Experience,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,2022-10-03,10852051,2022-05-01,Get inspired by these stories and conversations around self-improvement.,JRE's Most Motivating Guests
