track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A3MEL ESH,https://open.spotify.com/track/3W2aWHlWIo373Npwv8TGEm,A3MEL ESH,https://open.spotify.com/album/2asPtwQJwsCs2LP0HQQgJP,"Ram Nafar, Tamer Nafar","https://open.spotify.com/artist/28CdLDNuzChKqZNArRgI5F, https://open.spotify.com/artist/4A5OCxQdnfyO73y9Kgoc30",2022-05-19,96000,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
Abu 3ntr,https://open.spotify.com/track/4udzViP9ZtbBlCLkFLlj53,Abu 3ntr,https://open.spotify.com/album/1ua6NcTfZN5Bgu2TYelucN,"ŁOAY, Lina Makoul","https://open.spotify.com/artist/3MIKkLGqd0EYSxHHbUK0Fz, https://open.spotify.com/artist/5jWJzXicyDE4CwlOR3omk7",2021-08-29,213342,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
Abu 3ntr (feat. Lina Makoul),https://open.spotify.com/track/68DqedAzUtn8RsX7hFRQGy,Abu 3ntr (feat. Lina Makoul),https://open.spotify.com/album/0RZwnKlm8Oo2EtqcjrDQz3,"ŁOAY, Lina Makoul","https://open.spotify.com/artist/3MIKkLGqd0EYSxHHbUK0Fz, https://open.spotify.com/artist/5jWJzXicyDE4CwlOR3omk7",2022-12-17,213368,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
Al Rozana,https://open.spotify.com/track/1fRjUEHNqMTt2zhgbvQGno,Na'na' Ya Na'na',https://open.spotify.com/album/4QMcZUOEFAaFKH1XSjDkQI,Amal Murkus,https://open.spotify.com/artist/35Or8bOOKNt9UJKHcySKdP,2021-08-29,255066,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
Al Sham,https://open.spotify.com/track/1bSspJxJRjA5w05kq1QFvS,WOLEDTO,https://open.spotify.com/album/3wCKwy1cHwBUCW4RQFvHHQ,Elyanna,https://open.spotify.com/artist/0jIWKlfmD4Ew7HeVVrq03g,2024-08-14,165959,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
Ala Bali,https://open.spotify.com/track/0MxeOx5YwpkXIlCmr6xOjP,Elyanna 2,https://open.spotify.com/album/6fV0By80SOnUuqKt5wpk2A,Elyanna,https://open.spotify.com/artist/0jIWKlfmD4Ew7HeVVrq03g,2022-03-10,139288,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
Amrat أمرات,https://open.spotify.com/track/7kGE2CNVtLp4fnbG6aYgGI,Amrat أمرات,https://open.spotify.com/album/4E3PiyTvavqOG19JrRJ3F2,Rasha Nahas,https://open.spotify.com/artist/6kA597KeEKoghJHvQ92RYO,2022-09-09,185125,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
Ana Lahale,https://open.spotify.com/track/0fRIzjNaVxFqwoLg8rfQX5,Elyanna,https://open.spotify.com/album/2J4Yz9I4s0FvFw00Cn0trp,"Elyanna, Massari","https://open.spotify.com/artist/0jIWKlfmD4Ew7HeVVrq03g, https://open.spotify.com/artist/0Jzbm3ifxDNLxxS8M4BS51",2021-08-29,179988,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
Ansaki,https://open.spotify.com/track/7D7cevBYalgRNWtxzPZWyA,Rawquha,https://open.spotify.com/album/2M5Qyikkntj3ly2V6RLyRJ,Apo & the Apostles,https://open.spotify.com/artist/206CRJTxnXzOKrkZmZm9aw,2021-08-29,267098,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
Arabs Say KHOD,https://open.spotify.com/track/1olrdm18fB6b45WiYB6TFr,Arabs Say KHOD,https://open.spotify.com/album/0lMkfXfoeEbE3DUvIFB66s,Tamer Nafar,https://open.spotify.com/artist/4A5OCxQdnfyO73y9Kgoc30,2023-10-19,192048,2021-12-28,The sweet sounds of Palestine.,Palestine Sounds
