track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
About to Die,https://open.spotify.com/track/0byUGapJ70OOpxIC3U1jlf,Swing Lo Magellan,https://open.spotify.com/album/31hI5dQfm3EiNfzEPeny5k,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,239360,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Break-Thru,https://open.spotify.com/track/65tjr5cWJmsA8KHVvuC7b2,Lamp Lit Prose,https://open.spotify.com/album/03CZTX0lcoZGy71rOHnDxn,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2020-04-02,227826,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Cannibal Resource,https://open.spotify.com/track/0f5heCBlXuzGzoItXeJNgG,Bitte Orca,https://open.spotify.com/album/2KTSlmHxVvEkLf9rbYb7Bg,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,234920,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Cool Your Heart,https://open.spotify.com/track/2qsYkMBBRTqlSSifKTDM1F,Dirty Projectors,https://open.spotify.com/album/6HA2YKWabsGi6XWkhWoZuA,"Dirty Projectors, Dawn Richard","https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF, https://open.spotify.com/artist/6pSsE5y0uJMwYj83KrPyf9",2017-02-23,229437,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Dance For You,https://open.spotify.com/track/2ChaXdmbQoFQo0nJROxVDg,Swing Lo Magellan,https://open.spotify.com/album/31hI5dQfm3EiNfzEPeny5k,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,203666,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Death Spiral,https://open.spotify.com/track/7M2Vba69lGmR6kWjUTJJQD,Dirty Projectors,https://open.spotify.com/album/6HA2YKWabsGi6XWkhWoZuA,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,308267,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
I Feel Energy,https://open.spotify.com/track/2m6FcfDqnTG5fNKu3O8jkA,Lamp Lit Prose,https://open.spotify.com/album/03CZTX0lcoZGy71rOHnDxn,"Dirty Projectors, Amber Mark","https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF, https://open.spotify.com/artist/0tbeZu9lv8YEKSQ9tZSslu",2020-04-02,276626,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
I See You,https://open.spotify.com/track/3TVBTSD69rf0zZDDKFDoew,Dirty Projectors,https://open.spotify.com/album/6HA2YKWabsGi6XWkhWoZuA,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,365134,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Impregnable Question,https://open.spotify.com/track/4R2pq0VVrejm4uXM8U8bvP,Swing Lo Magellan,https://open.spotify.com/album/31hI5dQfm3EiNfzEPeny5k,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,163253,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Keep Your Name,https://open.spotify.com/track/41IcdEHjwDp65pVjOxODCf,Dirty Projectors,https://open.spotify.com/album/6HA2YKWabsGi6XWkhWoZuA,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,270172,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Knotty Pine,https://open.spotify.com/track/5pMOgMP0ichMtGICicoAa8,Dark Was The Night (Red Hot Compilation),https://open.spotify.com/album/3mquSHAbafwIrdVpxLx8b9,"Dirty Projectors, David Byrne","https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF, https://open.spotify.com/artist/20vuBdFblWUo2FCOvUzusB",2017-10-17,142866,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Little Bubble - edit,https://open.spotify.com/track/2xip1Qf69hVE9IXpoKuK94,Little Bubble (edit),https://open.spotify.com/album/0IGWxE6XpaadiiJc195Scw,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,208214,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
No Intention,https://open.spotify.com/track/51Mprk6iT2qEfP5U6fPFGn,Bitte Orca,https://open.spotify.com/album/2KTSlmHxVvEkLf9rbYb7Bg,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,257133,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
Offspring Are Blank,https://open.spotify.com/track/60YOZLX27AeCCyiDyTQE9K,Swing Lo Magellan,https://open.spotify.com/album/31hI5dQfm3EiNfzEPeny5k,Dirty Projectors,https://open.spotify.com/artist/5VF0YkVLeVD4ytyiyVSIiF,2017-02-23,240800,2021-12-21,This is the best of Dirty Projectors...,This Is: Dirty Projectors
