track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
105 Degrees,https://open.spotify.com/track/061NHZijloOmBvbujB72sm,"Angel Dream (Songs and Music From The Motion Picture ""She’s The One"")",https://open.spotify.com/album/0sX76SUnbgcKtdZcJ9kJwd,Tom Petty and the Heartbreakers,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,2021-07-02,190727,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
11/17,https://open.spotify.com/track/3efydF0TF67eydgM86XEwq,11/17,https://open.spotify.com/album/0VOFvOzlavgsiKF0e9bJhY,The Honest Heart Collective,https://open.spotify.com/artist/2qgcVY8aup4vFHfp4uoZ2X,2021-08-06,152031,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
15 Minute Smog Check,https://open.spotify.com/track/1Xzrlwhd55VSnbMxuFYaLK,15 Minute Smog Check,https://open.spotify.com/album/14nl9oFin9cajYOmeWXggs,The Takes,https://open.spotify.com/artist/22CxvQCHRWjDdy0nco4nch,2024-08-09,234036,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
5AM,https://open.spotify.com/track/0VujSPpF82QdEJFFG9U8Ac,5AM,https://open.spotify.com/album/2FB6kHSCZ9cfzEnqThq7gu,Pecos & the Rooftops,https://open.spotify.com/artist/5KbiLoVLLIHM5vZ0RM9WMU,2023-05-12,187899,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
A Bad Hand,https://open.spotify.com/track/3upRSam0eJrJWhcRVbLXHS,A Bad Hand,https://open.spotify.com/album/6b67OZDuDlK6iJkGvxjmfd,Them Dirty Roses,https://open.spotify.com/artist/6n9Ciz68f2aZF98RAdshe6,2024-08-09,220852,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
A Different Kind of Year,https://open.spotify.com/track/3GnTWJSfDr96JJMxCGUUuu,A Different Kind of Year,https://open.spotify.com/album/4jAeOZ3qAjHxj8nsLor5nD,Cory Marks,https://open.spotify.com/artist/17pJAHDfdLvGuUwl2DkEgv,2024-03-16,234783,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
Addictions,https://open.spotify.com/track/0aplFNbDGW0ZbUfqpjJXX1,Addictions,https://open.spotify.com/album/5bUMRuNysQnyqJfxGM6PKM,Warren Zeiders,https://open.spotify.com/artist/7kplJl06UmldxLKseURAYi,2024-07-12,187680,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
Again,https://open.spotify.com/track/71si6qnqug1pf2qHgRxMDV,Again,https://open.spotify.com/album/5nFsS70swqj4YWP5t6vyWh,Black Stone Cherry,https://open.spotify.com/artist/6WMo39FU3nrpSz3qMgRKug,2020-08-21,235672,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
Ain't No Need,https://open.spotify.com/track/2kpYpvDn6mYERIUqIrFSb9,Lost in the Valley of Hate & Love Vol. I,https://open.spotify.com/album/66FdUWpsGaziwlkZivqOUP,Them Dirty Roses,https://open.spotify.com/artist/6n9Ciz68f2aZF98RAdshe6,2023-01-06,258581,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
Ain't No Need,https://open.spotify.com/track/5aln9BaySR0CldSCFY6xdX,Ain't No Need,https://open.spotify.com/album/2f1WE56CRY8UddaiXoYvFb,Them Dirty Roses,https://open.spotify.com/artist/6n9Ciz68f2aZF98RAdshe6,2021-08-27,258581,2022-01-02,Modern southern rock swagger served neat. Cover: The Red Clay Strays,Southern Comfort
