track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#menow,https://open.spotify.com/track/4lIAPwAU6R8PAy2WhykC4i,Unlock My World,https://open.spotify.com/album/48DcB4A9LV3DugLTILN1D9,fromis_9,https://open.spotify.com/artist/24nUVBIlCGi4twz4nYxJum,2023-06-23,169906,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
0X1=LOVESONG (I Know I Love You) feat. Seori,https://open.spotify.com/track/1Z8TPHiKeCUyClxV6WTTIf,The Chaos Chapter: FREEZE,https://open.spotify.com/album/5Zdr9vactwnJH4Vpe9Mid9,"TOMORROW X TOGETHER, Seori","https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB, https://open.spotify.com/artist/2bWTIIQP9zaVc55RaMGu7e",2023-06-23,202203,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
A Low Constellation,https://open.spotify.com/track/4orxgubG8XgwFlA0iYmGgC,DIMENSION,https://open.spotify.com/album/2C4tl17a4f1oXbUPl2fymv,XIA,https://open.spotify.com/artist/0ZHbYuRbvC4tWW0iOdybwi,2023-06-01,232295,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
A.C.C.E.L,https://open.spotify.com/track/4BoY1eil1TJEBkkbGGiC3N,BUMZU 3RD MINI ALBUM ‘27’,https://open.spotify.com/album/2d9Kz3dJLWF81WhdEaWV8z,BUMZU,https://open.spotify.com/artist/4FCneqQd4xiPXKOa6poPIf,2023-06-01,178372,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
Ah yeah,https://open.spotify.com/track/0DoEJclzs5Q54GvYF6CeOI,iCE,https://open.spotify.com/album/6Bmm0yb59VBvI7ozMOQZoB,HYOLYN,https://open.spotify.com/artist/78sJswwVn4P8aEhkF4K6fQ,2023-06-01,191120,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
ALIVE,https://open.spotify.com/track/1tjDKrtdCKtVCGEG35jqdI,Into The Light,https://open.spotify.com/album/5HYN8soZop2qOtyuUnTobz,LIGHTSUM,https://open.spotify.com/artist/57HNdw2ObRmfwWHG8Xhs8t,2023-06-01,186240,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
ALIVE,https://open.spotify.com/track/2G7qOmZGufZXTrDziq5QIs,Into The Light,https://open.spotify.com/album/6EgsISsasLUQcy0e8CbAXQ,LIGHTSUM,https://open.spotify.com/artist/57HNdw2ObRmfwWHG8Xhs8t,2023-06-26,186240,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
ANTIFRAGILE,https://open.spotify.com/track/4fsQ0K37TOXa3hEQfjEic1,ANTIFRAGILE,https://open.spotify.com/album/3u0ggfmK0vjuHMNdUbtaa9,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,2023-06-01,184444,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
Any song,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn,Any song,https://open.spotify.com/album/7LYZM7I172wUjIKjCnxuAQ,ZICO,https://open.spotify.com/artist/4XpUIb8uuNlIWVKmgKZXC0,2023-06-23,227226,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
Artist,https://open.spotify.com/track/12GJcC8SdDYpkbHvFrgp1w,TELEVISION,https://open.spotify.com/album/7A8SILx9WOx8SOvApoBuMN,ZICO,https://open.spotify.com/artist/4XpUIb8uuNlIWVKmgKZXC0,2023-06-23,192827,2023-06-02,Enjoy the Weverse Con Festival 2023 LIVE SET including the voices of artists on stage and set lists! (아티스트들의 무대 위 목소리와 셋리스트가 포함된 위버스 콘 페스티벌 2023 LIVE SET을 즐겨보세요!),2023 Weverse Con Festival
