track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Calming Fireplace,https://open.spotify.com/track/7G65aOUwQLa38Px79hL74T,10 min Daily Relaxation With Nature Sounds,https://open.spotify.com/album/0yDoSAyZSnrZ05bRba3OOJ,Relaxation Sleep Meditation,https://open.spotify.com/artist/5f3oBa8B2mo3MeeIK7B2FE,2017-12-21,600000,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Cozy Indoor Fireplace,https://open.spotify.com/track/0T6DybPGT0MpXhHSlA4FOC,200 Nature Sounds,https://open.spotify.com/album/4GWSfEGWNCOGWvTkkiIgYn,Nature Sound Collection,https://open.spotify.com/artist/0qhhlPFVV3YoxoB4jtqvkx,2017-12-21,480078,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Crackling Fire in the Fireplace for Self Awareness and Inner Strength,https://open.spotify.com/track/0NyzOPqPZAqMOU2NJrN03U,"Relaxing Sounds of Nature and Ambient Healing for Mediation, Relaxation, Sound Therapy and Deep Sleep",https://open.spotify.com/album/4R2OiwIzrKNnd6jgBBce1t,Sounds of Nature Relaxation,https://open.spotify.com/artist/3OcK6BciYu6g7tSvrX5BKO,2017-12-21,480078,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Crackling Fireplace (1 Hour),https://open.spotify.com/track/6zJilg8bCTtSftYdFaZNaF,Crackling Fireplace (1 Hour),https://open.spotify.com/album/6Vjy9KKLJvaG78bWDqX9gD,Ambiance,https://open.spotify.com/artist/63Ih24ujnLfDjjQysUqMVc,2017-12-21,3601188,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Ember,https://open.spotify.com/track/0ikeQ58rYKOGPw1IjCatnL,Insomnia Therapy - Fire,https://open.spotify.com/album/1Qzhjm7AgUuafQ8jyzrCtu,Dr Michael David Aicken MBChB MPhil BSc Med Sci Hons,https://open.spotify.com/artist/55aASfcJnF9JMufya7sHBJ,2017-12-21,126313,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Fire,https://open.spotify.com/track/2zJwbWw9zZYQv05PWPPVbL,Insomnia Therapy - Fire,https://open.spotify.com/album/1Qzhjm7AgUuafQ8jyzrCtu,Dr Michael David Aicken MBChB MPhil BSc Med Sci Hons,https://open.spotify.com/artist/55aASfcJnF9JMufya7sHBJ,2017-12-21,138202,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Fire Wood Firewood Log Logs Crack Crackle Crackles Crackling Burn Burning Campfire Fireplace Bonfire Flame Oven Forest Branch Sound Effects Sound Effect Other Miscellaneous Sounds Fire,https://open.spotify.com/track/15UWdVjEVU4fNdFy1g8K0l,Essential Sound Effects 7 - Miscellaneous Sound Effects,https://open.spotify.com/album/0MNonRlUrJf54ubpV7sI3F,Essential Sound Effects,https://open.spotify.com/artist/3JyAQuSJuybJb4tLtCFGqK,2017-12-21,119999,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Fireplace,https://open.spotify.com/track/4REPL2m8LF3XP8n4IpUSAX,Nature Sounds Collection,https://open.spotify.com/album/4cV4lxp6KuqL8Z7zuxk0YF,Relaxation Sleep Meditation,https://open.spotify.com/artist/5f3oBa8B2mo3MeeIK7B2FE,2017-12-21,120000,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Fireplace Crackling (Wood Burning Fire Crackle Ambience Background Noise Soundscape Clip) [Sound Effect],https://open.spotify.com/track/29yhTDdokTIVdYxfvsRtf9,Ambient Sound Effects,https://open.spotify.com/album/7HPNuIK4pbQM2OZagzaZqS,Finnolia Sound Effects,https://open.spotify.com/artist/7piUznRWxNyKpaPvmOSdiZ,2017-12-21,120053,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Fireplace Wood Burning,https://open.spotify.com/track/2RFQGQ5WEZOMVTuKDr4EUj,200 Nature Sounds,https://open.spotify.com/album/4GWSfEGWNCOGWvTkkiIgYn,Nature Sound Collection,https://open.spotify.com/artist/0qhhlPFVV3YoxoB4jtqvkx,2017-12-21,480078,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Glow,https://open.spotify.com/track/3iF7j76Yw5HIO2Trh1L4uQ,Insomnia Therapy - Fire,https://open.spotify.com/album/1Qzhjm7AgUuafQ8jyzrCtu,Dr Michael David Aicken MBChB MPhil BSc Med Sci Hons,https://open.spotify.com/artist/55aASfcJnF9JMufya7sHBJ,2017-12-21,120369,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Holiday Yule Log: The Christmas Fireplace (2 Hours of Relaxing Natural Sounds),https://open.spotify.com/track/18wMrFh4sIB4D8aHOBmOeT,Holiday Yule Log: The Christmas Fireplace (2 Hours of Relaxing Natural Sounds),https://open.spotify.com/album/3osgl3a72gqOOEMX1PkBWP,Nature Sound Retreat,https://open.spotify.com/artist/2fHeJ3ckaPjnUMkUsc19xs,2017-12-21,7221520,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Just Fire: 2 Hours of Sounds from the Natural World (Crackling Fireplace Flames for Sleep & Relaxation),https://open.spotify.com/track/0RZVMByDP26ZgkrhLqctba,Just Fire: 2 Hours of Sounds from the Natural World (Crackling Fireplace Flames for Sleep & Relaxation),https://open.spotify.com/album/4c9fGsh4XdRfasD7CjfuKb,Nature Sound Retreat,https://open.spotify.com/artist/2fHeJ3ckaPjnUMkUsc19xs,2017-12-21,7221520,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Meditative Warm Crackling Cabin Fireplace,https://open.spotify.com/track/4eJZ63htaxrFHSJQeNEB6B,Crackling Fire - Sounds of Nature,https://open.spotify.com/album/0yrMzC0wWWm80GUBHkKU8V,Nature Sounds,https://open.spotify.com/artist/4NqS7DbPFYwZmniGHCPMpm,2017-12-21,570070,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Real Warm,https://open.spotify.com/track/2iF5LWZ8kvfvAXDDG6UjOX,Insomnia Therapy - Fire,https://open.spotify.com/album/1Qzhjm7AgUuafQ8jyzrCtu,Dr Michael David Aicken MBChB MPhil BSc Med Sci Hons,https://open.spotify.com/artist/55aASfcJnF9JMufya7sHBJ,2017-12-21,199131,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Relaxed Dancing Flames and Dry Kindling,https://open.spotify.com/track/2KFLWIbES2IaA2WwJ9jmhT,Crackling Fire - Sounds of Nature,https://open.spotify.com/album/0yrMzC0wWWm80GUBHkKU8V,Nature Sounds,https://open.spotify.com/artist/4NqS7DbPFYwZmniGHCPMpm,2017-12-21,570002,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Relaxing Driftwood Fire at the Cabin,https://open.spotify.com/track/3J6d6HHUo4asU5KfmakhVE,Crackling Fire - Sounds of Nature,https://open.spotify.com/album/0yrMzC0wWWm80GUBHkKU8V,Nature Sounds,https://open.spotify.com/artist/4NqS7DbPFYwZmniGHCPMpm,2017-12-21,570202,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Restful Bright and Warm Evening Campfire,https://open.spotify.com/track/2YEx04KTg71DKXZZ2Knlja,Crackling Fire - Sounds of Nature,https://open.spotify.com/album/0yrMzC0wWWm80GUBHkKU8V,Nature Sounds,https://open.spotify.com/artist/4NqS7DbPFYwZmniGHCPMpm,2017-12-21,570236,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Serene Fire Starter,https://open.spotify.com/track/6XapeXv5ZtUbevJJbWao0X,Crackling Fire - Sounds of Nature,https://open.spotify.com/album/0yrMzC0wWWm80GUBHkKU8V,Nature Sounds,https://open.spotify.com/artist/4NqS7DbPFYwZmniGHCPMpm,2017-12-21,570303,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Snapping Fireplace Sound,https://open.spotify.com/track/7Hm8ktmgSFGbZgXHHtcFBH,Snapping Fireplace Sound,https://open.spotify.com/album/4G6Fn8WBSFxcIns9oi9Btn,Tmsoft’s White Noise Sleep Sounds,https://open.spotify.com/artist/3HykQi5PlnOTB8tjm11KkK,2017-12-21,590000,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
Thoughtful Open Hearth Fireplace,https://open.spotify.com/track/4Nz8Pt4vPcMRnxPZMkZKwH,Crackling Fire - Sounds of Nature,https://open.spotify.com/album/5rUieTpdL2sUemMaB3GDTz,Nature Sounds,https://open.spotify.com/artist/4NqS7DbPFYwZmniGHCPMpm,2017-12-21,2400164,2021-12-21,"Sometimes all you need is the sound of a cozy, crackling fireplace...",The Yule Log
