track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Sacred Place,https://open.spotify.com/track/3epwh5AANMnnPTJUUJesh7,A Sacred Place,https://open.spotify.com/album/0Hl6sIDMYNrnm9qlm6bMfD,Indigenouz,https://open.spotify.com/artist/2BKdtzY8ha7NXneCvO52f7,2023-08-10,159900,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Aabha - Sound Bath,https://open.spotify.com/track/4CGYBCKiaSm5Y5oqn7xZIh,Aabha - Sound Bath,https://open.spotify.com/album/5SNx9VaBDuGycrI7lxJnfl,Amrita Ananda,https://open.spotify.com/artist/17ph9VKUlu3hc0liTAhYWP,2023-08-10,172500,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
aashaavaan,https://open.spotify.com/track/0JMeYwyjasPj4oWmM8gib3,gaharaee,https://open.spotify.com/album/7A6os5n1BsA9uRBFhDYrIo,Kanta Khatri,https://open.spotify.com/artist/1AIZ3YGySP9lkL7BulRkA0,2023-08-10,248470,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Adbhut Rahasya,https://open.spotify.com/track/2m0umpf7Zf3M6IKQrlpcKk,The Sands of Time,https://open.spotify.com/album/52oezoucVlcmeq4y6NBa6k,The Calm Within,https://open.spotify.com/artist/4bGT4F2c2EVVA9kZYCvbvM,2024-03-08,268716,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Agenor Linea,https://open.spotify.com/track/5jhQyWeKZdbZJd00zV2JLx,Agenor Linea,https://open.spotify.com/album/45Kc4FLaLh4iGzKfA08BY6,De Ester,https://open.spotify.com/artist/0dbcAyHyp9aAsEqAAZHjr4,2025-02-14,177391,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Agileoria,https://open.spotify.com/track/5kSBQY4fMxuTcpwJiKbVLt,Agileoria,https://open.spotify.com/album/3OEyW7gmMUY4AoN487KBPj,Miriam van Steeg,https://open.spotify.com/artist/5w21WblmOUdUPdA4YgBAnu,2023-08-18,177124,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Ambient Ascension,https://open.spotify.com/track/3VIhqha1MgAOnZOeDfP5YU,Ambient Ascension,https://open.spotify.com/album/3gPe0Tu3dk14NLuLauOtKb,Willow Ward,https://open.spotify.com/artist/6x28OJxhDL0xICscyvqkxA,2025-02-14,144629,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Ancient,https://open.spotify.com/track/2pqaeRYZYAEQYdYReWtznY,Ancient,https://open.spotify.com/album/0n2r2jpxNNpTmqEhiKHyZc,Música Relajante,https://open.spotify.com/artist/6oW2Jm8RkXwtSSVygv98iR,2023-08-10,223315,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Anupam Rahasya,https://open.spotify.com/track/3xg08C7H2cgIQ96lpA5gBB,Anupam Rahasya,https://open.spotify.com/album/0w3gxbpQLCho2phuTzK1Ec,Ganesh Punja,https://open.spotify.com/artist/1pSufonJe7BruoBM2qLwgx,2023-09-01,277852,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Asanas,https://open.spotify.com/track/59iI6ZQuRub6BEWTYaKk6B,Asanas,https://open.spotify.com/album/36zJILS0SwVeEIN4yyRYmu,Krishna's Flute,https://open.spotify.com/artist/7jMDi9AqHrx7jrxZ9f9mwz,2023-08-18,290913,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Atman,https://open.spotify.com/track/0EoJ0jAmFbShpuw4OZOr4O,Atman,https://open.spotify.com/album/0ViiGOHMohP6SVEhXKadrz,Aasha,https://open.spotify.com/artist/3oZIhZPCUlo96KASIHluiC,2024-03-08,170750,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Back to Sinharaja,https://open.spotify.com/track/6zWvomaeagWa6yO80CwumF,Back to Sinharaja,https://open.spotify.com/album/2uaXLSDaFPx6oBRuq06rqc,LiKKma,https://open.spotify.com/artist/01q7ajYufxitw2xk6V6Sju,2023-08-10,157212,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Bansuri Devi,https://open.spotify.com/track/2qJS00DNGAoDey317CPZqM,Bansuri Devi,https://open.spotify.com/album/1iA3Sgu2WxM2k0HezwVjPl,Vinod Kusari,https://open.spotify.com/artist/4xt7e7m4JRwjSZ0CUdjUAZ,2025-02-14,313000,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Bansuri Whispers,https://open.spotify.com/track/0ii0MGP2OVVPgSwUvXo7z4,Bansuri Whispers,https://open.spotify.com/album/3uKSx4cczfqaaHuUQXvf5l,Regentum,https://open.spotify.com/artist/6gfKfJS89ZAy4mSAlwTXvc,2024-01-19,106381,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
Bhairavi 2,https://open.spotify.com/track/5GKK2EtAlzxqlyyULXPVkN,Bhairavi 2,https://open.spotify.com/album/7EJ7bK4q3tGFXrZkxH2gln,Vinod Kusari,https://open.spotify.com/artist/4xt7e7m4JRwjSZ0CUdjUAZ,2024-08-22,374374,2023-08-12,"Indian flute and nature sounds transport you to a hidden sacred place deep in the woods... Escape to your inner sanctuary to find recovery, healing and tranquility. ",Temple of Dreams
