track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1 Team (Kick Edit),https://open.spotify.com/track/2brTbOlmEfyBTGNyLCKewi,1 Team (Kick Edit),https://open.spotify.com/album/1Y5qYaJq6G7xEDurYl1N72,"Outsiders, De Kraaien","https://open.spotify.com/artist/0aKXalHKVzkLJ6aeUY3HMf, https://open.spotify.com/artist/2TZJIIHDLfgdMLFejURyKf",2024-07-05,147967,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
1527,https://open.spotify.com/track/2rKkaX6ToSvPhUqO3GiKfA,1527,https://open.spotify.com/album/0vonBEydUXgi1xLuibPIGL,Sefa,https://open.spotify.com/artist/0caJEGgVuXuSHhhrMCmlkI,2023-07-27,191442,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
16 - Ruthless & Daani Remix,https://open.spotify.com/track/2oyZlzzHuedyABQlkzdP1c,16 (Ruthless & Daani Remix),https://open.spotify.com/album/2dFAGENNAhfHOUPJXykS3j,"Ruthless, Daani, Ard Und Jorn","https://open.spotify.com/artist/0xMCuSqF7uPefaatWnEx7F, https://open.spotify.com/artist/1oKitXDww7YYe1D78bGnzT, https://open.spotify.com/artist/1VPcgWlOTaON2jIXEhocV6",2024-09-20,174193,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
2 Be High,https://open.spotify.com/track/3uJu9affvKImT1msXqFwTj,2 Be High,https://open.spotify.com/album/3pOAMb992z14oz7MCjvm1M,"Nico Moreno, Warface","https://open.spotify.com/artist/6fjhNhp9IoeiZpEXq9AT2S, https://open.spotify.com/artist/1wuQQfTDZhgNb4GJyhThUs",2024-03-07,253714,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
2 GENERATIONS,https://open.spotify.com/track/2UUYVL7dpLBNbEuQVCXtby,2 GENERATIONS,https://open.spotify.com/album/1yykrgioktaxLTyMASqoBj,"The Purge, Coldax","https://open.spotify.com/artist/4CyjDlfEi7Sb4NLgWP0x3w, https://open.spotify.com/artist/3tvxgwBiEJppR8l3pGgAeZ",2024-09-11,151015,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
2 My Beat,https://open.spotify.com/track/7wo0cVjw4kOj0b6sC7mCMK,2 My Beat,https://open.spotify.com/album/4tJXiN7wk9FswwYcgLleTB,Deepack,https://open.spotify.com/artist/5hnFqGY2kc233cXstqrGev,2024-05-17,154838,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
2 The Dancefloor,https://open.spotify.com/track/5XYEsvZHo6xL5pja8A9mgg,2 The Dancefloor,https://open.spotify.com/album/6SDMZrHxmeCA55XFdAGG1E,"Bioweapon, Audiofreq, Code Black","https://open.spotify.com/artist/3EfUmgy6o1IOQBL4vXKgwd, https://open.spotify.com/artist/0hHKtZEXHNsXfgrNgU7Zkl, https://open.spotify.com/artist/0I5is4tdxHhT3Ft2EzPjlB",2025-01-21,193600,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
2004,https://open.spotify.com/track/2BGMLlSNVlsRFQcaQCbNiC,2004,https://open.spotify.com/album/19UhqfH7LM4Kflbm7F09Us,"TNT, Technoboy, Tuneboy","https://open.spotify.com/artist/1CqOLQmjzVWXQTiIN5Wucs, https://open.spotify.com/artist/37jL2LnGjAkadOCszr8v7C, https://open.spotify.com/artist/3mZnhzeAyjpFhO3cIepzBr",2024-10-11,188888,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
3x Boom,https://open.spotify.com/track/6OYfbND22tUr1cD8YGXnk5,3x Boom,https://open.spotify.com/album/4GbvcpJB4n0hXSSTpNsAp2,Maxtreme,https://open.spotify.com/artist/3skGwvTX8jbm2EKf0Whe1j,2023-03-02,188515,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
A Black Hole,https://open.spotify.com/track/5G0wYo5xHcJAzrc4rH6ZXk,A Black Hole,https://open.spotify.com/album/3hqbJSAUTqnoyobMhHnE9x,E-Force,https://open.spotify.com/artist/77faXTf6wXs3L2CVol0c8C,2023-06-15,189697,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
A New World,https://open.spotify.com/track/38So5TtZSKYWfmiOCluOZM,A New World,https://open.spotify.com/album/3hzvWmTuc7tbnC5hxTzjaq,Anderex,https://open.spotify.com/artist/7wXBtpPB5GFddtz9OeBlPW,2023-06-18,231000,2022-12-10,Updated weekly | Hardstyle | Cover: Lady Faith,Hardstyle Adrenaline! 2025
