track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/0uGpWtQgtZ6UcFXnFiNhNq,Nunca Sozinho,https://open.spotify.com/album/5UDKZWc01Bse8OGYCR2wpb,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2023-03-06,0,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
+18,https://open.spotify.com/track/3Yzm8lrmibXZyzg2vUYLe8,Fração 3/4,https://open.spotify.com/album/387TbDSzjAzUK1kfVlZaRh,"Mc Luanna, Mello Santana, Greezy","https://open.spotify.com/artist/6VpdTQWCRE01WVoEuby2a6, https://open.spotify.com/artist/02J1zj1QPj7nlJiKGX6wgY, https://open.spotify.com/artist/3exY81LSlWqpL03GFPTEgB",2023-12-01,158884,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
01 Não É 02,https://open.spotify.com/track/27ECP9NCzTAoTpxXNePZuS,01 Não É 02,https://open.spotify.com/album/2paL9EMEJaM0YAGGHSLvpl,"Mc Paiva ZS, Love Funk, DJ Ak beats","https://open.spotify.com/artist/0gHj4MPwwcZ8Zl9CY0hqT5, https://open.spotify.com/artist/64DTkZLH6KkkMwZEEZ5VWC, https://open.spotify.com/artist/685uhJgfQlrMNuarOzgyea",2023-07-07,128503,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
10 Carros,https://open.spotify.com/track/2twZl1jsRbJRTNCE6VB6eW,10 Carros,https://open.spotify.com/album/1ZakiImfctMIFKkLNIDlcI,"Chefin, Mainstreet, LB Único","https://open.spotify.com/artist/68PYmgkbRP1qZnEWOry7sB, https://open.spotify.com/artist/25XJqeReVV38w0tR04GGBd, https://open.spotify.com/artist/7w1eimo0NMZhuwNZTf4MHY",2023-12-01,141176,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
2023,https://open.spotify.com/track/4sfY9Q4rQKVwxQVKo6v04i,Perdas & Ganhos,https://open.spotify.com/album/3qwvyGMmybAvkvyIKhlGwB,"Vulgo FK, MC Ryan SP, Tkd, Bvga Beatz, MATHINVOKER","https://open.spotify.com/artist/27azwwkxutWL1BWMkgNIh0, https://open.spotify.com/artist/75i9GaW2MJUgt4BkdUnuUY, https://open.spotify.com/artist/1GYx2LBI5bt0xRUpvdGYYt, https://open.spotify.com/artist/7saGN6a32YNpiMPo2SWJxE, https://open.spotify.com/artist/69o8iufFnvKcM2HcURIkbc",2023-07-14,178407,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
2024,https://open.spotify.com/track/0ycjYQkQ7lJpZf47BEiDLx,2024,https://open.spotify.com/album/6CNjfS2dgmIIzqM4knWvNl,"Vulgo FK, MC Ryan SP, Gustah, Pedro Lotto","https://open.spotify.com/artist/27azwwkxutWL1BWMkgNIh0, https://open.spotify.com/artist/75i9GaW2MJUgt4BkdUnuUY, https://open.spotify.com/artist/0nzfP49X2nrzmmkwZf180L, https://open.spotify.com/artist/23ot0eI6ByBW6LrlBfr2bm",2024-09-27,160399,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
212,https://open.spotify.com/track/3QGxgNaqaFSpORp2OVLXHR,212,https://open.spotify.com/album/1fcZBsLGUUTI4qRWYsjOuN,"Chefin, Mainstreet","https://open.spotify.com/artist/68PYmgkbRP1qZnEWOry7sB, https://open.spotify.com/artist/25XJqeReVV38w0tR04GGBd",2022-03-18,150610,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
22 Meu Vulgo,https://open.spotify.com/track/15CoBMXezZjfJuFpvuhYK3,Liberdade,https://open.spotify.com/album/6vFQ9dJq1sFwBm9SvKirzi,"Oruam, Gigant, nobuddy, Goldgrain","https://open.spotify.com/artist/4yGgbQJMq9orWypwqtdzYT, https://open.spotify.com/artist/078qvuSjdEnKuq3i3FRo6O, https://open.spotify.com/artist/05Vk6pbfFkjyz9cTEvb45v, https://open.spotify.com/artist/0rdH38zGBwIvpet2oBi9SC",2025-02-21,219677,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
365 Dias,https://open.spotify.com/track/0Y7k2ihn4ojGCbJkH1fR77,365 Dias,https://open.spotify.com/album/531yrQRB8MaHyBIDg6IWpF,"Dj Victor, Mc Kadu, Mc Kanhoto, MC G10, Mc Lele JP, MC Vine7, MC Menor da VG","https://open.spotify.com/artist/5kKzlgNRX8FgC6Bni5DNNC, https://open.spotify.com/artist/21ELc2P2rA3Cu6xw3VWqvv, https://open.spotify.com/artist/3bpbNht7qJCmPo8sjVF3tA, https://open.spotify.com/artist/4OS9OnPH5DQm26wPTvrzoG, https://open.spotify.com/artist/1mV9h1AwhRXSjBFcYpajgY, https://open.spotify.com/artist/3UfwtvPZZea2HHwI23VtKP, https://open.spotify.com/artist/4maKTxhTIDEnWKra7wEIMR",2024-10-04,521958,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
365 Dias (Vida Mansa),https://open.spotify.com/track/2drZGdAOxfE2KoMGTkidmq,365 Dias (Vida Mansa),https://open.spotify.com/album/49TkAXV7QtwIAHwJ6Xusjt,"MC Marks, MC Ryan SP, MC Jvila, MC Bruno MS, Mc Magal, Aaron Modesto, DJ Dael","https://open.spotify.com/artist/04QHNiih9ZesPvals6II1h, https://open.spotify.com/artist/75i9GaW2MJUgt4BkdUnuUY, https://open.spotify.com/artist/2f8xoxornfSw6ePzgyM9NO, https://open.spotify.com/artist/7IOSPo9oGCLWtDEZtmxgTi, https://open.spotify.com/artist/2FDaBZt51fOXh2rbHL8Afr, https://open.spotify.com/artist/48yaM25WLHmQZXx5NN3DYH, https://open.spotify.com/artist/2A3i7OnSUdZB3FXX5Qv3Wp",2024-11-08,527220,2022-03-24,"hari e memphis tão na casa, esqueça tudo 👉😌👈",creme
