track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2YA2YAO!,https://open.spotify.com/track/7iQTGSIl9m4jofHBGby9kZ,TIMELESS - The 9th Album Repackage,https://open.spotify.com/album/32o8mUN1uID4VlBUrsCN2f,SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2022-03-01,200826,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
A-CHA,https://open.spotify.com/track/11aHogiqjCmbSMR54pBmRH,The 5th Repackage 'Mr.Simple',https://open.spotify.com/album/3UssHJTVCfHiKKINAtgIC1,SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2022-03-01,200466,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
A-CHA,https://open.spotify.com/track/4WViO9vKhU4imbEj5ykdoY,Mr.Simple - The 5th Album Repackage,https://open.spotify.com/album/2Si5djz2zl4btKq3rMuE63,SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2022-07-12,200466,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
Ahora Te Puedes Marchar,https://open.spotify.com/track/7ufUUzddmfwitmCAFHsWr3,One More Time - Special Mini Album,https://open.spotify.com/album/0vgV211bUsihsckzNaejxe,SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2022-03-01,190453,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
All Day Long,https://open.spotify.com/track/1EGggFwIQwciGlo803CQ83,When the Weather is fine OST Part.3,https://open.spotify.com/album/2HK3bKkHIAp1XcdKb1L5jI,KYUHYUN,https://open.spotify.com/artist/0il5ZP3xYOECtONJtZ38Ln,2022-03-01,288026,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
Alright,https://open.spotify.com/track/1ZNowa5CYVyfH3G4zrBx0V,MAGIC - SUPER JUNIOR SPECIAL ALBUM PART.2,https://open.spotify.com/album/2YFurqloMyEncsFHOjIbm2,SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2022-07-12,235251,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
Alright,https://open.spotify.com/track/6XcAiN3fb2YGgK4vW9wFnV,DEVIL - SUPER JUNIOR SPECIAL ALBUM,https://open.spotify.com/album/3tLpEVOpXkRifL3nIziMN6,SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2022-03-01,235251,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
Alright,https://open.spotify.com/track/6wBfDGYfGIFgIsi1PnG6vN,DEVIL - SUPER JUNIOR SPECIAL ALBUM,https://open.spotify.com/album/4YdR3Qy3eZXsLGIXaEAw8o,SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2022-07-12,235251,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
Always,https://open.spotify.com/track/2nG6ZeHKpfTgowpzZs0frU,The Road : Keep on Going - The 11th Album Vol.1,https://open.spotify.com/album/31WEkr0PFjRjRWszhYchtp,SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2022-07-12,232320,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
Analogue Radio,https://open.spotify.com/track/0ZQQUIm8sMewQQyRZxxX2a,The Road : Winter for Spring,https://open.spotify.com/album/0jsUbgbuyBIVztpkDKYNxZ,SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2022-03-01,205653,2022-05-30,All E.L.F's go to playlist!,This Is SUPER JUNIOR
