track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
&burn (with Vince Staples),https://open.spotify.com/track/7uX3gufAoBVqKVoD3dBLLD,&burn (with Vince Staples),https://open.spotify.com/album/6eQpKhYCtvD0TwXQVHsgC2,"Billie Eilish, Vince Staples","https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH, https://open.spotify.com/artist/68kEuyFKyqrdQQLLsmiatm",2024-11-01,179015,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
1 bkitch part 2k,https://open.spotify.com/track/6AIE9Cf76OzHRjuTw6jUr2,Welcome 2K ASM,https://open.spotify.com/album/66Fxq7sujpGS45j0TDFixl,Asmdabkopster,https://open.spotify.com/artist/3bqMC7DfAQr0ZbC7R8htLz,2022-04-02,207333,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
100 - From the Original Motion Picture “The Color Purple”,https://open.spotify.com/track/2YIIWC8ow7SK7qpqt2p3rx,100 (From the Original Motion Picture “The Color Purple”),https://open.spotify.com/album/13sHylDFHpXZYRD5aVpGMg,JANE HANDCOCK,https://open.spotify.com/artist/2wgW0CiQRwbWlkT6nM8suD,2023-12-15,184546,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
10K Weeks,https://open.spotify.com/track/0LMnCu1HxkRQPZ7x2pPk1p,I Am Not Rappin,https://open.spotify.com/album/2dgeLbC4e2zJLDkRXWH97k,DB.Boutabag,https://open.spotify.com/artist/3xGQQ8pYMw09C0YDkVS4mr,2022-08-26,142680,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
"10s, 20s, 50s, 100s",https://open.spotify.com/track/4egNUXSdg3yDYD2BOZjYQU,Days Like This,https://open.spotify.com/album/0HhPoiceZZ8Gvl5KLIjKNP,"LaRussell, Tope","https://open.spotify.com/artist/5PRPy7MZZhkM5CIVJvTAKM, https://open.spotify.com/artist/6w4nfg5jYD6ejjbTIB2sHq",2022-08-05,140534,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
11:11 (feat. YN Jay),https://open.spotify.com/track/13VSMCirjOCTonWVYJkJwu,11:11 (feat. YN Jay),https://open.spotify.com/album/3LrvkDGx61JgBVWfiDPlDG,"Lil Kayla, YN Jay","https://open.spotify.com/artist/0L5BtJ0tpOgMcQO94P26Tp, https://open.spotify.com/artist/3gIWD9hK0VEhgsSrLu19PU",2023-05-18,174705,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
18 Wheeler (feat. E40 & Mitchy Slick),https://open.spotify.com/track/2jEoIHs66FW92R14kT9qVR,18 Wheeler (feat. E40 & Mitchy Slick),https://open.spotify.com/album/1J6T6ycRq91IZHdLUiqDCB,"The Mekanix, E-40, Mitchy Slick","https://open.spotify.com/artist/0sJOeCMBvIDiHJ9Ct5h7IF, https://open.spotify.com/artist/3crnzLy8R4lVwaigKEOz7V, https://open.spotify.com/artist/3uhJHJFmFtFloOhRCDocit",2023-01-24,189753,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
1942 (feat. Philthy Rich),https://open.spotify.com/track/3ivsqViwmH5DpyOrwOWWMs,1942 (feat. Philthy Rich),https://open.spotify.com/album/0Lora7JE8GZCFVaoas19GJ,"Yhung T.O., Philthy Rich","https://open.spotify.com/artist/1Yss4ClgrS9sIprNlq5O3l, https://open.spotify.com/artist/3n6RTmT1sgWeNNCfPyJMw3",2023-05-18,129032,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
2 Certified,https://open.spotify.com/track/0I5ETO3rKcbvlFApCVVPqT,2 Certified,https://open.spotify.com/album/6lHMIYfSo2at38b3VzZdbY,"Hit-Boy, Avelino","https://open.spotify.com/artist/6q3p11nP1p80Ey6LrOOSed, https://open.spotify.com/artist/039zhJoEkboZ8Ii6K40Fb6",2023-01-13,201906,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
2 LIVE,https://open.spotify.com/track/1pbSwjVmaoVgHIU2bQeuxI,2 LIVE,https://open.spotify.com/album/67xulMesSVTsFmOwpO4gaw,"Hit-Boy, Offset","https://open.spotify.com/artist/6q3p11nP1p80Ey6LrOOSed, https://open.spotify.com/artist/4DdkRBBYG6Yk9Ka8tdJ9BW",2023-01-24,149613,2022-02-25,"California music breaking waves. Curated by: <a href=""spotify:artist:7vNNmjV14SKQzlQAEg0BXP"">Jean Dawson</a>",Ripple Effect: Bay to LA 
