track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
007 (feat. Syd),https://open.spotify.com/track/6FqOUCihYYu3OisVBpoEp3,007,https://open.spotify.com/album/0CrHjS2Xr8BJSspw27AzSB,"Tabber, Syd","https://open.spotify.com/artist/4CYjITN8Au3K5CWFeex7fU, https://open.spotify.com/artist/3jk39CGeaaSO3FPKNx1RUx",2022-09-29,205771,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
010,https://open.spotify.com/track/03wi7LxMghuk3ZDKoMweY3,Have to go 3,https://open.spotify.com/album/4jzvl5jnOHDsSgx6f065ie,Rredrain,https://open.spotify.com/artist/7L9rGbD5y3hIIh1IAHEfLr,2024-03-21,129218,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
0107,https://open.spotify.com/track/2KdxnAZ3m0SPkalA6XHgUo,0107,https://open.spotify.com/album/3f2dEWHhavMsuBP4lTdc7e,After Thoughts,https://open.spotify.com/artist/5Kt6MttjG8m2rlMdjA8WiA,2022-07-04,226666,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
0405 (Four Five),https://open.spotify.com/track/13kL8jBBpIq40ypSWnaQTl,0405 (Four Five),https://open.spotify.com/album/1gek49hKp1pIDHDlHjudp6,dori,https://open.spotify.com/artist/4Db1gte7TUAeZyRdo4FLE7,2025-02-28,163320,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
0430,https://open.spotify.com/track/0xW6kidTNxzDRZIuCpU0wO,0430,https://open.spotify.com/album/0d84RiXv7OS88I3TC7G0HE,near,https://open.spotify.com/artist/6uCPb1SLQSd3ElSU72nJIR,2022-03-02,221194,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
11 o'clock Classic - MSG version,https://open.spotify.com/track/6BMf0G0117dcVJBOgnO4vD,11 o'clock Classic,https://open.spotify.com/album/5gPzzC3LBpZZ6p3s0VE4TZ,Claudio Jung,https://open.spotify.com/artist/7nUfwOW4l5NLvcGWzHCNms,2022-06-09,261834,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
113,https://open.spotify.com/track/0GgJyPJa1d5k2UD1KwiBHT,Seed,https://open.spotify.com/album/0TEuhEXenTug7J7CINrZsT,SONG YERIN,https://open.spotify.com/artist/25aScl6kfWpLHcAwRKvwU3,2022-04-20,241999,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
1234,https://open.spotify.com/track/2pyzRAkH7STuxtpmQd5gnT,1234,https://open.spotify.com/album/517jRNEKwAIZ6eDi4A0AAY,CCOLA,https://open.spotify.com/artist/0L5oGqofGKJNZzFPLwXxpS,2022-04-07,193360,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
1392010,https://open.spotify.com/track/3U6oTyFXo19b9faKHx9l3z,Essential,https://open.spotify.com/album/0qhbg9fwCAk6hfZFMbJeUp,hathaw9y,https://open.spotify.com/artist/2G2Jiy00NjBxfbex9wXkeN,2023-08-31,242760,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
1392010,https://open.spotify.com/track/74ZlcicvpBVqdVECsyMF9F,Essential,https://open.spotify.com/album/4ZsrFVUViZhHapCNySva1G,hathaw9y,https://open.spotify.com/artist/2G2Jiy00NjBxfbex9wXkeN,2023-07-06,242760,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
13hours,https://open.spotify.com/track/5vF0ZnSkvHsetbHeDJ1o8m,13hours,https://open.spotify.com/album/3OdDinRKTDnHTZZv9TjDTl,BAMSOOSUNG,https://open.spotify.com/artist/2iijjkoVBe57TcHnsR3sOy,2024-03-06,187714,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
18 (feat. Paloalto),https://open.spotify.com/track/3ZqR0AfhgdSq3m4Ebd9TmR,18,https://open.spotify.com/album/1dzpX2Rvs0Ol52fcRoRyij,"SEONGSOO, Paloalto","https://open.spotify.com/artist/74yvueu6UeAWrJByKK0a7Z, https://open.spotify.com/artist/2Yv0nlRtzgPl6u0dsS2hFv",2022-09-05,192250,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
2 Minutes,https://open.spotify.com/track/7BwBnCJJDbslpSPKENzYmo,2 Minutes,https://open.spotify.com/album/1p6vQUoFIkcMUjULC5SXXz,Milena,https://open.spotify.com/artist/2ODok2cPMF1Z1gZetfaL6n,2024-06-04,120453,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
2 O' CLOCK,https://open.spotify.com/track/36PxJOUB8qFTcDFp2M0h6K,2 O' CLOCK,https://open.spotify.com/album/2VAiqG6FNssKi5vOda6kil,dori,https://open.spotify.com/artist/4Db1gte7TUAeZyRdo4FLE7,2022-02-04,152320,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
20,https://open.spotify.com/track/52zbeFcxoKyH47w7OhYvSM,20,https://open.spotify.com/album/4V0r9nkH1B4uxgodJi8rvp,"BB, Geuneul","https://open.spotify.com/artist/4AsWfslaatLcNfRiK0RXX6, https://open.spotify.com/artist/6uSaCBHrprsu7g60k2pcIW",2021-12-02,183250,2022-01-09,피어나고 있는 한국의 재능들을 만나보세요! (Cover: 조하(JOHA)) (Meet the emerging talents of Korea!) ,Fresh Finds Korea
