track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"(I've Got A) Golden Ticket - From ""Willy Wonka & The Chocolate Factory"" Soundtrack",https://open.spotify.com/track/0wHZkxYMe8gnelXhjKWymG,Willy Wonka & The Chocolate Factory,https://open.spotify.com/album/1C7STVnAdZwO9DHmAUNDZc,"Jack Albertson, Peter Ostrum","https://open.spotify.com/artist/78rKjBKgZyY8VuqfbYIgka, https://open.spotify.com/artist/2HB1wB6SRyyQRKqPBtFsOG",2024-01-04,189826,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
29,https://open.spotify.com/track/0JeokLKCya7SZGpGjqNcAQ,Year to Year / 29,https://open.spotify.com/album/4MFBV5hzpMFFTLkv78Jxan,"Yaeji, OHHYUK","https://open.spotify.com/artist/2RqrWplViWHSGLzlhmDcbt, https://open.spotify.com/artist/68TCVp5t1Dxi2TvNuYoYK0",2024-12-05,228872,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
3X,https://open.spotify.com/track/5xmYiy5okn3JIS66VAAqpR,Jentry Chau vs the Underworld (Soundtrack from the Netflix Series),https://open.spotify.com/album/4P9WQMZEzV2J85acpvbJXO,"Jessi, Jentry Chau vs the Underworld","https://open.spotify.com/artist/64k5e9kV9MdukXjFrR5R37, https://open.spotify.com/artist/7sHIdMQfOvU0PwMhLcwY19",2024-12-05,160643,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
Ad Claritatem Domine,https://open.spotify.com/track/4ER48bHc1J8Pxb0S8yRW2p,Il (Deluxe),https://open.spotify.com/album/0KIo7KrJPAkKi3iNxBJJHf,Jean-Michel Blais,https://open.spotify.com/artist/2uHlq6ERoXk8dqRZmq2OEr,2024-01-04,352653,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
Alive,https://open.spotify.com/track/0Sjd9XTOspBYeubjB2lj1x,Viva La Union,https://open.spotify.com/album/27EbKPiI6fwkRndBlD75Vz,Viva La Union,https://open.spotify.com/artist/5srhS9c1U6vfm2xGuXREmg,2024-01-04,257519,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
Always Rising,https://open.spotify.com/track/7m4xUEEivwPGz4U0TA1TWD,Shang-Chi and The Legend of The Ten Rings: The Album,https://open.spotify.com/album/2kAqjStKcwlDD59H0llhGC,"NIKI, Rich Brian, Warren Hue","https://open.spotify.com/artist/2kxP07DLgs4xlWz8YHlvfh, https://open.spotify.com/artist/2IDLDx25HU1nQMKde4n61a, https://open.spotify.com/artist/4qcKNkdxUidhvUByB2eQ6g",2024-12-05,184080,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
am i even human?,https://open.spotify.com/track/3FD5pKpcQ8VM9xI2lRUerQ,am i even human?,https://open.spotify.com/album/0IlLR0CAjb1CCnzI98aemJ,omgkirby,https://open.spotify.com/artist/6LlLRudDi60Uy4jcmOSEs1,2024-12-05,95533,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
Attention,https://open.spotify.com/track/2pIUpMhHL6L9Z5lnKxJJr9,NewJeans 1st EP 'New Jeans',https://open.spotify.com/album/1HMLpmZAnNyl9pxvOnTovV,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2024-12-05,180066,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
away we go,https://open.spotify.com/track/6MujIwl4NBAkS7G7ki6KNJ,runaway,https://open.spotify.com/album/3ziHUtXhNn6qFtRgOn6ctm,wilo wilde,https://open.spotify.com/artist/1u8WMRSaZzgqRia2uU5uJc,2024-12-05,196370,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
BATTLE WITHOUT HONOR OR HUMANITY #3,https://open.spotify.com/track/5ypId66RWeDnEgvcygZ3Jg,ELECTRIC SAMURAI,https://open.spotify.com/album/7mX35Jr8pimHk8g7RvCTdC,HOTEI,https://open.spotify.com/artist/4cShXyYZpvnVZYeE3Oukns,2024-01-04,151933,2024-01-05,"High School has never been this FIRE. Listen to the music from Jentry Chau vs. The Underworld, now streaming on Netflix. 
",Jentry Chau vs. The Underworld Official Playlist
