track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Amazing Grace,https://open.spotify.com/track/1yhekcwAz2jf0GRlS1rBjN,The Pizza Tapes,https://open.spotify.com/album/0yXWEfqWaRrOEebmXriutZ,"Jerry Garcia, David Grisman, Tony Rice","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O, https://open.spotify.com/artist/6N9hyojoLChEhlsS8vYnyr",2018-05-23,292800,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Back Home In Indiana - Bonus Track,https://open.spotify.com/track/6MElja7gRijbBd8Fy9zW2r,Garcia (Compliments) (Expanded),https://open.spotify.com/album/4k66KmzJvCkekpqyb67Lfj,Jerry Garcia,https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN,2018-05-23,428200,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Been All Around This World,https://open.spotify.com/track/2PLPjZjBuUGmI4nNlxmltu,Been All Around This World,https://open.spotify.com/album/1hzq9EGISX90ZV9rJzNBqE,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,209160,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Bird Song - Live,https://open.spotify.com/track/00RhMZwmPZEZY3bbFV5VJK,Reckoning (Live),https://open.spotify.com/album/1T7YIthjEvwsxbUHZ7NdBD,Grateful Dead,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,2018-05-23,456520,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Black Mountain Rag - Live,https://open.spotify.com/track/1hO7DabV0lap4RN3ucr8yw,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,"Black Mountain Boys, Jerry Garcia","https://open.spotify.com/artist/1sz2PAcIPFpZR6Hpb2JMRR, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,132074,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Bright Morning Star - Live,https://open.spotify.com/track/37kdCd34HN61fwUVFjNHT5,Ragged But Right,https://open.spotify.com/album/0KQPscW2EjL95LC2ZMlHDw,"Jerry Garcia Acoustic Band, Jerry Garcia","https://open.spotify.com/artist/1bpAKUPEfzaaoeYsptuIy1, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,155400,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Brokedown Palace - 2013 Remaster,https://open.spotify.com/track/362CS15hE1upuTKoWApzLn,American Beauty (2013 Remaster),https://open.spotify.com/album/2UDDZVesmQwA4aYfa55diS,Grateful Dead,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,2018-05-23,249064,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Deep Elem Blues - Live,https://open.spotify.com/track/3t0j7FUcWK5ddBjqX68NnW,"On Broadway: Act One - October 28th, 1987",https://open.spotify.com/album/32SlCUQuwVdHnyDvjiRTwU,"Jerry Garcia Acoustic Band, Jerry Garcia","https://open.spotify.com/artist/1bpAKUPEfzaaoeYsptuIy1, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,416266,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Dire Wolf - 2013 Remaster,https://open.spotify.com/track/6rLfU9QCwLUMRW5gGG7BWA,Workingman's Dead,https://open.spotify.com/album/4jxokHekH1qSad1DcC82ku,Grateful Dead,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,2018-05-23,194491,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Down in the Willow Garden - Live,https://open.spotify.com/track/6TTHMVN27q0n1iObCqKaCz,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,Jerry Garcia,https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN,2018-05-23,108235,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Drifting Too Far From the Shore,https://open.spotify.com/track/7lgRmd5IXDVBpMFWAGI2F6,The Complete Boarding House Shows,https://open.spotify.com/album/1K4nQZB9nswB1vUy5efYP2,Old & In The Way,https://open.spotify.com/artist/45vs9Drn5QbWAQ4Kff6ofh,2018-05-23,290586,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Foggy Mountain Top - Live,https://open.spotify.com/track/1MxC3qVqssMDU34ZPPT1vz,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,"Jerry Garcia, Sara Garcia","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/0bhFm4VVu14xSqjjz6AndJ",2018-05-23,193432,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Freight Train,https://open.spotify.com/track/2UWa9HNgColsejFsk1UwQ3,Not For Kids Only,https://open.spotify.com/album/4aHVExUb9ZqOppOMAdp5aw,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,320266,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Friend of the Devil - 2013 Remaster,https://open.spotify.com/track/6GgTJJmtDddHoo8Bp6lVcf,American Beauty (2013 Remaster),https://open.spotify.com/album/2UDDZVesmQwA4aYfa55diS,Grateful Dead,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,2018-05-23,204894,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Goodbye Old Pal - Live,https://open.spotify.com/track/4HK7a8MoxqxNG0lGjJKY28,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,"Asphalt Jungle Mountain Boys, Jerry Garcia","https://open.spotify.com/artist/3bON5NMwQzxtonS7tLbHKa, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,110083,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Grateful Dawg,https://open.spotify.com/track/68ufZEDfkz5thmM9MW0akS,Jerry Garcia & David Grisman,https://open.spotify.com/album/03Z05UmS6iV6NlbfgXmfvI,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,219800,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Handsome Molly,https://open.spotify.com/track/6elcoa6pvt5Q7tXVv7uALG,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,"Hart Valley Drifters, Jerry Garcia","https://open.spotify.com/artist/7vBzjAyp4JCqLnF7Uq9fiy, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,138605,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
I Don't Know You,https://open.spotify.com/track/1gfwgzjAxaBApDZWKCie6H,New Riders Of The Purple Sage,https://open.spotify.com/album/7lFCCtkiXgIH1uQIWsCOPy,New Riders of the Purple Sage,https://open.spotify.com/artist/2D3v3HJ9k3UzehaewnT3QA,2018-05-23,148093,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
I Used to Be a King,https://open.spotify.com/track/4GwREGuYf5RH8vfnk7ntZ9,Songs For Beginners,https://open.spotify.com/album/3Lh1KbeS801PtOeojquUPk,Graham Nash,https://open.spotify.com/artist/2E6Roj0oQnJIm2BeXwDica,2018-05-23,281893,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
I've Been All Around This World - Live,https://open.spotify.com/track/6MlbFxZqiZzQMTJiRGe6gq,Almost Acoustic,https://open.spotify.com/album/7HlR8ss8vwkYDEmdwWT0GJ,"Jerry Garcia Acoustic Band, Jerry Garcia","https://open.spotify.com/artist/1bpAKUPEfzaaoeYsptuIy1, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,378813,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
In the Pines - Live,https://open.spotify.com/track/3nBzQtw3zpksacQDZnyytC,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,"Black Mountain Boys, Jerry Garcia","https://open.spotify.com/artist/1sz2PAcIPFpZR6Hpb2JMRR, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,195234,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
It Must Have Been the Roses - Live,https://open.spotify.com/track/3lHYD0Eqkm2sTD792UCrUW,Reckoning (Live),https://open.spotify.com/album/1T7YIthjEvwsxbUHZ7NdBD,Grateful Dead,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,2018-05-23,419226,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Jack-A-Roe,https://open.spotify.com/track/795tCByxFzuhtsljZo5Gub,Live Albums Collection,https://open.spotify.com/album/7ENQ5VEAlbbItHUL5qq9Wx,Grateful Dead,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,2018-05-23,253760,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Jenny Jenkins,https://open.spotify.com/track/5PHjY11RsSdAZZniGwcCf4,Not For Kids Only,https://open.spotify.com/album/4aHVExUb9ZqOppOMAdp5aw,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,262213,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Jerry's Breakdown,https://open.spotify.com/track/5yy9iuirAGdsFOvE31XpeJ,Breakdown,https://open.spotify.com/album/1gWmSLQFKaP2CkxxZZXMg7,Old & In The Way,https://open.spotify.com/artist/45vs9Drn5QbWAQ4Kff6ofh,2018-05-23,268866,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Knockin' On Heaven's Door,https://open.spotify.com/track/3UdZxNEolTsv3bAiXU1pg7,The Pizza Tapes,https://open.spotify.com/album/0yXWEfqWaRrOEebmXriutZ,"Jerry Garcia, David Grisman, Tony Rice","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O, https://open.spotify.com/artist/6N9hyojoLChEhlsS8vYnyr",2018-05-23,347866,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Lonesome L.A. Cowboy,https://open.spotify.com/track/3NKOnqvLFufw8uEPbZ0RK5,The Complete Boarding House Shows,https://open.spotify.com/album/1K4nQZB9nswB1vUy5efYP2,Old & In The Way,https://open.spotify.com/artist/45vs9Drn5QbWAQ4Kff6ofh,2018-05-23,271133,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Long Black Veil,https://open.spotify.com/track/1bcMZm2nS9nDqmBQ7XDa2T,The Pizza Tapes,https://open.spotify.com/album/0yXWEfqWaRrOEebmXriutZ,"Jerry Garcia, David Grisman, Tony Rice","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O, https://open.spotify.com/artist/6N9hyojoLChEhlsS8vYnyr",2018-05-23,270266,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Loser,https://open.spotify.com/track/4I6YKLDPstcEZJvP9EaJBZ,Garcia (Expanded),https://open.spotify.com/album/6c0Q017eSEvyNhAo1HLGGy,Jerry Garcia,https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN,2018-05-23,250306,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Man Of Constant Sorow,https://open.spotify.com/track/47OOkQGbwEOgPM2LD2WIRb,The Pizza Tapes,https://open.spotify.com/album/0yXWEfqWaRrOEebmXriutZ,"Jerry Garcia, David Grisman, Tony Rice","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O, https://open.spotify.com/artist/6N9hyojoLChEhlsS8vYnyr",2018-05-23,306573,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Midnight Moonlight,https://open.spotify.com/track/2gUTQZxqlEDuRMcqhHxTCn,Breakdown,https://open.spotify.com/album/1gWmSLQFKaP2CkxxZZXMg7,Old & In The Way,https://open.spotify.com/artist/45vs9Drn5QbWAQ4Kff6ofh,2018-05-23,316360,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Mule Skinner Blues - Live,https://open.spotify.com/track/7f6JITDmeIHtmDHsbXJwoM,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,"The Wildwood Boys, Jerry Garcia","https://open.spotify.com/artist/5gTnOuXiy8bk9oYqHHXzWs, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,202767,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
New Speedway Boogie - 2013 Remaster,https://open.spotify.com/track/3YPBV5DacTbhgh7vharn6w,Workingman's Dead,https://open.spotify.com/album/4jxokHekH1qSad1DcC82ku,Grateful Dead,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,2018-05-23,246116,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Ragged but Right - Live,https://open.spotify.com/track/19C4U3fx4EdFHKPA9CIazj,"On Broadway: Act One - October 28th, 1987",https://open.spotify.com/album/32SlCUQuwVdHnyDvjiRTwU,"Jerry Garcia Acoustic Band, Jerry Garcia","https://open.spotify.com/artist/1bpAKUPEfzaaoeYsptuIy1, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,343026,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Ripple - 2013 Remaster,https://open.spotify.com/track/1OE5l6sedVcIFELMuxQOPI,American Beauty (2013 Remaster),https://open.spotify.com/album/2UDDZVesmQwA4aYfa55diS,Grateful Dead,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,2018-05-23,249733,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Riverbend,https://open.spotify.com/track/1ewbkwAHodTd2sXXUZafBl,Guitar Preacher - The Polydor Years,https://open.spotify.com/album/4Is8GgMzBkAiSYuCK4Ip10,Link Wray,https://open.spotify.com/artist/2vQavlZtDA660mnZotYIto,2018-05-23,161133,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Rosa Lee McFall - Live,https://open.spotify.com/track/2w8khZ6OgCOUwrbkQ4GYAK,Rosa Lee McFall (Live),https://open.spotify.com/album/1v4qPxoqDppewSx1hzEVgk,"Black Mountain Boys, Jerry Garcia","https://open.spotify.com/artist/1sz2PAcIPFpZR6Hpb2JMRR, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,150575,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Roving Gambler,https://open.spotify.com/track/0rKeylnfyftjXegy9V8O4w,Folk Time,https://open.spotify.com/album/5C0iwKW78A2KMAKzpeUdfO,"Hart Valley Drifters, Jerry Garcia","https://open.spotify.com/artist/7vBzjAyp4JCqLnF7Uq9fiy, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,225913,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Run For The Roses - Live,https://open.spotify.com/track/623OupItdxd1OfokRDTccR,"Pure Jerry: Marin Veteran's Memorial Auditorium, San Rafael, California, February 28, 1986",https://open.spotify.com/album/0vwIHq1DdPfoNGoqQDeYwk,"Jerry Garcia, John Kahn","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/78wcNdGPVbyg6gPtNjjNC3",2018-05-23,291000,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Russian Lullaby,https://open.spotify.com/track/5rLvmJg4L3V4fC6q2VXgHC,Jerry Garcia & David Grisman,https://open.spotify.com/album/03Z05UmS6iV6NlbfgXmfvI,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,252266,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Sally Goodin - Live,https://open.spotify.com/track/7Kj5uJBPXsOYO03e61IUAF,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,"Sleepy Hollow Hog Stompers, Jerry Garcia","https://open.spotify.com/artist/44IbuaM6ehwcD2grpN3POv, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,125921,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Santy Anno - Live,https://open.spotify.com/track/7L0Gz0k20xaXP5yIMEzo0Z,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,"Jerry Garcia, Robert Hunter","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/6qirsjLFmIYz48bnq0rsvZ",2018-05-23,134523,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Shady Grove,https://open.spotify.com/track/1gCE4LxErCB25MSERdLCZX,Shady Grove,https://open.spotify.com/album/2BGRgCUXutehfvbcsW9zD8,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,259533,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Sittin' Here In Limbo,https://open.spotify.com/track/2duDLzaQ8RhCO0nWzoAMts,Been All Around This World,https://open.spotify.com/album/1hzq9EGISX90ZV9rJzNBqE,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,412866,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Sitting On Top Of The World,https://open.spotify.com/track/3eFKRznCXk4wOdYq4j3RaX,Folk Time,https://open.spotify.com/album/5C0iwKW78A2KMAKzpeUdfO,"Hart Valley Drifters, Jerry Garcia","https://open.spotify.com/artist/7vBzjAyp4JCqLnF7Uq9fiy, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,216539,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
"So What (Miles Davis) Take 1, 3/8/91",https://open.spotify.com/track/3lEd0jOaDdNgto4TOUgNgh,So What,https://open.spotify.com/album/3L7iYmtjYRKV6epPHEE6zk,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,413026,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Spike Driver Blues - Live,https://open.spotify.com/track/34OReYkl9wnxEH3hLEJi9h,"On Broadway: Act One - October 28th, 1987",https://open.spotify.com/album/32SlCUQuwVdHnyDvjiRTwU,"Jerry Garcia Acoustic Band, Jerry Garcia","https://open.spotify.com/artist/1bpAKUPEfzaaoeYsptuIy1, https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN",2018-05-23,426040,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Stealin',https://open.spotify.com/track/0xhu0GilVIhvEkGPUPn7pG,Shady Grove,https://open.spotify.com/album/2BGRgCUXutehfvbcsW9zD8,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,211333,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Sugaree,https://open.spotify.com/track/29PDeKHTetRJY1fp8ZBGYU,Garcia (Expanded),https://open.spotify.com/album/6c0Q017eSEvyNhAo1HLGGy,Jerry Garcia,https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN,2018-05-23,354600,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
Teach Your Children,https://open.spotify.com/track/29HaKOpeLSYvqdFyEQSRdj,Deja Vu,https://open.spotify.com/album/5bHkK1X4WEOzNvRhehvOcb,"Crosby, Stills, Nash & Young",https://open.spotify.com/artist/1CYsQCypByMVgnv17qsSbQ,2018-05-23,173466,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
The Man Who Wrote Home Sweet Home Never Was a Married Man - Live,https://open.spotify.com/track/2ochu2Xewv5cpeCcknSAfC,Before The Dead (Live),https://open.spotify.com/album/22Z7VOJJyBuBkiNiD8d45A,"Jerry Garcia, Sara Garcia","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/0bhFm4VVu14xSqjjz6AndJ",2018-05-23,218226,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
The Sweet Sunny South,https://open.spotify.com/track/3YOJZelIGRsylpMFPeTdnr,Shady Grove,https://open.spotify.com/album/2BGRgCUXutehfvbcsW9zD8,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,204773,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
The Thrill Is Gone,https://open.spotify.com/track/0xux34xBBIw9gCWXSLNjbw,Jerry Garcia & David Grisman,https://open.spotify.com/album/03Z05UmS6iV6NlbfgXmfvI,"Jerry Garcia, David Grisman","https://open.spotify.com/artist/3QDaXfnxfQqqJQK5lSdjLN, https://open.spotify.com/artist/5udgy2xk333j33hKnwDz8O",2018-05-23,284226,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
To Lay Me Down - Live,https://open.spotify.com/track/78rA4TEETpXZpuUzirG8zE,Reckoning (Live),https://open.spotify.com/album/1T7YIthjEvwsxbUHZ7NdBD,Grateful Dead,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,2018-05-23,542880,2021-12-21,"From early performances to iconic Grateful Dead, enjoy key picks that highlight the folk, bluegrass, and old time virtuosity of Jerry Garcia.",This is Jerry Garcia
