track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
18+,https://open.spotify.com/track/6NUuRQRyk2ysUy0lQpDLgO,18+,https://open.spotify.com/album/0yNBX2XXtM1CM5JncERSxP,"Deon, draeKo, SULTHAN, Bando B","https://open.spotify.com/artist/4w5cn6TMLnK4dCyfcp0lbO, https://open.spotify.com/artist/66r04nyBXUCeKq9CVk3kaq, https://open.spotify.com/artist/2igXuXwesIHwPoEn8hWqkl, https://open.spotify.com/artist/4i5TbrwjfzY1IclZa3Peae",2025-02-19,149622,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
Aadhipathyam,https://open.spotify.com/track/50Lwn6SxLevukiS4uyCP13,Aadhipathyam,https://open.spotify.com/album/3xWmcjHaCNKouwMOEua54R,"Bhoomi, Queen AJ","https://open.spotify.com/artist/3TUJ44odWIPmBdjj9TgvNc, https://open.spotify.com/artist/0QTB78BCeUuB3nyxl5xB61",2025-01-09,170232,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
Aadu Pambe,https://open.spotify.com/track/73Tdy7kXsv2euJ0WvUr7gU,AVIAL,https://open.spotify.com/album/7JhsOMlZ3f2pGC7nWRZTQv,Avial,https://open.spotify.com/artist/29z5chNteRELh8vVAnKind,2022-07-13,322213,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
Aana,https://open.spotify.com/track/4LK98zUvGsw2LtUA8LJzeq,Aana,https://open.spotify.com/album/3y4I3MczKrYz9YEncRBBEZ,"Vedan, HRISHI","https://open.spotify.com/artist/1Clwe5e4xyRasANUVlpcCf, https://open.spotify.com/artist/7kKoRxgfmSO6FeY8iuUO3O",2023-07-23,212230,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
Aanne,https://open.spotify.com/track/0PwhXCSOvVPxA3Q043OEZ1,Little Hearts (Original Motion Picture Soundtrack),https://open.spotify.com/album/1IZrB9zBngp29pMCoGqEEk,"Kailas, Dabzee, Athul Narukara, Sruthy Sivadas","https://open.spotify.com/artist/2y67yyQYTtfZsXMP6CmZ61, https://open.spotify.com/artist/2JJKoRrK7Eec7jlcjFB7sc, https://open.spotify.com/artist/7d6mBwW3zN59r4vm8TnrWR, https://open.spotify.com/artist/2umA7zyZwVLzQuFpvYdzdQ",2024-04-16,205714,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
AARDA?,https://open.spotify.com/track/5Nx5RNHYpFCV4LgyHcRqeq,AARDA?,https://open.spotify.com/album/4C6SKJt6TL8mNKL5sc661k,"ThirumaLi, Thudwiser","https://open.spotify.com/artist/6AmkU4hUrXJPIiNFsZlDzJ, https://open.spotify.com/artist/6z8IZH6zc5YxGOGZT1ZswT",2022-06-23,226438,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
AAVARTHANAM,https://open.spotify.com/track/7HAyv8PALKTmJvLujWeeCj,AAVARTHANAM,https://open.spotify.com/album/1iC5zgfqKvrdACeWdQoAr6,"M.H.R, Anohnymouss","https://open.spotify.com/artist/5A5bbXuMkVh28lxVO4y25g, https://open.spotify.com/artist/3TECmecQlX36AC3xMcxXWT",2025-02-17,194666,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
Aayiram Aura,https://open.spotify.com/track/4R9IOcKCN8qfF62TUEvVj1,Aayiram Aura,https://open.spotify.com/album/6Q0WA0xAIabC5b1q9qTZLJ,Fejo,https://open.spotify.com/artist/3bJ59Z94USftWXWfO7vCH3,2024-12-17,256488,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
ABCD,https://open.spotify.com/track/0N1JEwXlDAcwwN7kLGgeOc,ABCD,https://open.spotify.com/album/24EIh5nGjpZhau23E1rNBo,ThirumaLi,https://open.spotify.com/artist/6AmkU4hUrXJPIiNFsZlDzJ,2023-08-21,175200,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
Adithattu Cypher,https://open.spotify.com/track/69OAdLAS2tDAuCY0EiFRFA,Adithattu Cypher,https://open.spotify.com/album/7dd9TGPUhvcAMNIO8sjo9s,"Fejo, MC Mushti, Kavo, Ibnu Kopz, Thamburaan","https://open.spotify.com/artist/3bJ59Z94USftWXWfO7vCH3, https://open.spotify.com/artist/4IeboPJbQPfxDC04f2FmGm, https://open.spotify.com/artist/03YNVy4UYUPI0nw7J3W0Q1, https://open.spotify.com/artist/39lndWMB0tQuIN68ayAl0T, https://open.spotify.com/artist/1KRhxlUbVmOCVzM7d7zdj7",2022-06-23,285473,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
All Divine,https://open.spotify.com/track/7mzu2WH5iRdKyBZVLZhHS2,All Divine,https://open.spotify.com/album/49ficLfuUA7y7Uczvf7IzQ,"Brodha V, Steve Knight","https://open.spotify.com/artist/6xl0mjD1B4paRyfPDUOynf, https://open.spotify.com/artist/6G5M4NdoEdfFdkZtcE0Ntg",2022-10-25,244131,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
Ambambo,https://open.spotify.com/track/1PkTgt9jmns4V58HSvGC5s,Blockbuster Days,https://open.spotify.com/album/4EvwktXuX9UPGeLySTSjTh,"Abhilash Prabhasurendran, Aneesh Shanker A, Abhilash Surendran","https://open.spotify.com/artist/2hznP9gAUfMmlPXHEV9rlq, https://open.spotify.com/artist/1v4OalC4jFKpHq7KzqRQaY, https://open.spotify.com/artist/57LTyNEIhZXV8aFyyvi1T6",2024-01-03,114772,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
Ambambo,https://open.spotify.com/track/6c9qywBwjBzGmiTR1TcGlm,Blockbuster Days,https://open.spotify.com/album/2eHIz043z5FBRTYoHJu4jL,"Abhilash Prabhasurendran, Aneesh Shanker A, Abhilash Surendran","https://open.spotify.com/artist/2hznP9gAUfMmlPXHEV9rlq, https://open.spotify.com/artist/1v4OalC4jFKpHq7KzqRQaY, https://open.spotify.com/artist/57LTyNEIhZXV8aFyyvi1T6",2023-12-08,114772,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
AMBAMBO,https://open.spotify.com/track/2sDFXeDMFuNzvPuLAwoN6f,ARGA,https://open.spotify.com/album/0sZCipEOkwl9VfD32Q7FyV,"MC Couper, HRISHI","https://open.spotify.com/artist/4AJoyMa0S1kgtcde6gtKBB, https://open.spotify.com/artist/7kKoRxgfmSO6FeY8iuUO3O",2025-01-09,185951,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
Antham Vittoru Pennu,https://open.spotify.com/track/2sngiZAoGkAyXocp4ycegn,Oh Meri Laila,https://open.spotify.com/album/2lA7PI7Z1VioAJnlARl6mF,"Ankit Menon, Sarcasanam","https://open.spotify.com/artist/4b1Ua3aYPP6ppvnqZdOHjV, https://open.spotify.com/artist/46W1DMC8InVBXW5L0Dqa3c",2022-12-23,155504,2023-03-30,"Best of Malayalam Hip-Hop! 
Cover : Dabzee & Rishi Roy",RAP 91 Malayalam
