track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
27,https://open.spotify.com/track/0yzwmlE1RWUyce6OW1EQhi,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, Hanz","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/1eL4DVwObeAZjGOVjASAXd",2021-12-10,131855,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Abovve,https://open.spotify.com/track/0RwoMxOrKBZLhGC1HePk8y,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,League of Legends,https://open.spotify.com/artist/47mIJdHORyRerp4os813jD,2021-12-10,149062,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Across The Universe,https://open.spotify.com/track/6KH0vIi6wcHjJTDabOFxtl,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, Semoothe","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/20sWcte254sYMOSM3ozXtf",2022-07-14,200158,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Afterglow,https://open.spotify.com/track/5GyBIoDwXYkoyqLn7cosqF,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Kupla","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/7daSp9zXk1dmqNxwKFkL35",2021-12-10,133242,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
arc 4,https://open.spotify.com/track/0SaDZPd9L7Z1fG2rH5eQ0h,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, weird inside","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/4iylWAhvTVtSVhIeAoM7Bl",2021-12-10,132856,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Ascent,https://open.spotify.com/track/2mrPFWadCE5uA8A3d64msu,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, Purrple Cat","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/73aKnLT4O8G2pBEfdlQzrE",2021-12-10,143881,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Baryon,https://open.spotify.com/track/2bcsas98Q5WzKnH2dNxPfb,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, sinnr","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/4rgy5K4lHDLbaSC1MMuY5m",2021-12-10,145752,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
breathe,https://open.spotify.com/track/0QoTKdn7OFCwO9j5HOczZS,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, BIDØ","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/7HSBpX7fVOinHb9CNcL6Qe",2021-12-10,144199,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
cars by my window,https://open.spotify.com/track/31aUeam4s9eSXuN8eJxHjE,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, chief.","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/0HCAzT0cSCpiNje7AcAQaD",2021-12-10,126278,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
cinnamon speedway,https://open.spotify.com/track/23nNAECVx9yJ3ZijtkznsI,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, leon chang","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/3ciUz1yuEMltCsRaiEPBA8",2022-07-14,196278,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Cosmos,https://open.spotify.com/track/0gfSb34jB8isjevgTfJ6mV,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, Dilip, Otxhello","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/5PcwbyuOX1pnaeVYatEEB2, https://open.spotify.com/artist/4S3cwLP8haGAdlqyza3GZ3",2021-12-10,148889,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Courtwalk,https://open.spotify.com/track/1EstbSPmi2aPYybH1OBKsU,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, 3D BLAST","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/4dt3uDLF3r287ibId32Ps2",2022-07-14,212079,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Daffodil,https://open.spotify.com/track/2UrcLNaJeVllzGq52dS09T,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Tennyson","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/3Nb8N20WChM0swo5qWTvm8",2021-12-10,200156,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Daydream,https://open.spotify.com/track/0wOszvUZUSAEZA8uezRlMV,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, Mélonade","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/1oI7fQB3WliumtkbkYuaNz",2022-07-14,141836,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Deceit,https://open.spotify.com/track/5lZ7JtdJFhFNtOcQg7jIXB,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, Rob Robinson","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/2wjvBhM9hWFMT4BpKsB98u",2022-07-14,186862,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Differences,https://open.spotify.com/track/06BkrGRhgOCI9CW4d7KbL8,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, xander.","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/6ysKfYgiKUTMCuq2fSTLK3",2021-12-10,147256,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Drastic Love,https://open.spotify.com/track/2qn07prbuaiHKzx1KQdlRD,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, Mere Notilde","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/2d3wstlwe427Q7CamLXlpO",2022-07-14,168809,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Dream Eater,https://open.spotify.com/track/0eYBJqXQ561BVLfgqjqZkQ,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, Hyleo","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/3fHyH5IvOTWYnDXDCjST9y",2022-07-14,176610,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
escapism,https://open.spotify.com/track/778AfJ43Dw2FEjVlJ1UjT1,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, zodivk","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/5wlHIqEtztZGnUJtWgWOsJ",2021-12-10,150179,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Ever Fall,https://open.spotify.com/track/3qLXA54cm2RnUpmPCILVpu,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, Toyko","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/7ofyVe7EMTzxkBIy2VeCoV",2021-12-10,136276,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
feels,https://open.spotify.com/track/1OpCKUgMGnxgUaxSutI6UN,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Dilip, Otxhello","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/5PcwbyuOX1pnaeVYatEEB2, https://open.spotify.com/artist/4S3cwLP8haGAdlqyza3GZ3",2021-12-10,158272,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
