track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1957,https://open.spotify.com/track/08cXy6KUizaAelYXtcew3w,Milo Greene,https://open.spotify.com/album/15wQEsBsbl14I4m1yEuR8w,Milo Greene,https://open.spotify.com/artist/5euJsEvfrlfhYDorMR40OF,2021-02-12,204213,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
All in Time,https://open.spotify.com/track/4BU1eTcGNzrg48Vcd8ab7T,We Are Now,https://open.spotify.com/album/4hLgVpR9ZyQHcZOHdq4Hlw,Shake Shake Go,https://open.spotify.com/artist/1FmnkGJ5KDt1eCHJQVyAbk,2021-02-12,176479,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Amadeus,https://open.spotify.com/track/4F9jpNQDKRFoyM4Ebpni6S,XOXO,https://open.spotify.com/album/1SX20zgyjlyqjHSzOTmqxf,Family and Friends,https://open.spotify.com/artist/2AmW5LU0vqfHoN2qvghRFe,2021-02-12,207519,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
As We Ran,https://open.spotify.com/track/2VDKSRDTpqWgczc33Lk9h5,As We Ran,https://open.spotify.com/album/5n3pUUjhGl3ZrKiQeBB7qi,The National Parks,https://open.spotify.com/artist/2JMtxA2S9SNUlqBlkDtXm6,2022-09-21,200321,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
As We Ran,https://open.spotify.com/track/5ITmuvjtUUdxVQCCsaKBDx,As We Ran,https://open.spotify.com/album/2MeNqK7a04QJIiUgrcX97y,The National Parks,https://open.spotify.com/artist/2JMtxA2S9SNUlqBlkDtXm6,2021-02-12,200321,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Back To You,https://open.spotify.com/track/7BKHmZkdKBh47x1kA0W1Av,Howl,https://open.spotify.com/album/6a9rOvIUdEZ66aT9l4pEzO,Mighty Oaks,https://open.spotify.com/artist/5AVJt6VYXT4hMRP8D3MRAC,2021-02-12,191733,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Back To You,https://open.spotify.com/track/1Qw6HsTAq4sM1P8freXtFs,Howl (Bonus Track Version),https://open.spotify.com/album/70dsU7XoFuuOnxuJQokKyP,Mighty Oaks,https://open.spotify.com/artist/5AVJt6VYXT4hMRP8D3MRAC,2021-02-12,193574,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Big Parade,https://open.spotify.com/track/15Q6UkZSwelcujItCEaidK,The Lumineers,https://open.spotify.com/album/6NWYmlHxAME5KXtxrTlUxW,The Lumineers,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,2021-02-12,327733,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Big Parade,https://open.spotify.com/track/6K5KeeBkNwzS7pijTunH6E,The Lumineers,https://open.spotify.com/album/3q66dhU09HpzTl1bxqsVJ5,The Lumineers,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,2021-02-12,327733,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Brother,https://open.spotify.com/track/5DG2SWW7kPgYqOY0Ex5Ssj,Into the Flame,https://open.spotify.com/album/32TZZ9ZjC7EFFMYQxf3jYa,Matt Corby,https://open.spotify.com/artist/7CIW23FQUXPc1zebnO1TDG,2021-02-12,253521,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Brother,https://open.spotify.com/track/1tErORKj41UML6EhV2g63R,The Wild,https://open.spotify.com/album/0yuaRX2zpvhm3lq6cppVRI,The Rural Alberta Advantage,https://open.spotify.com/artist/0v6gOfGBclTSGu6agfXb23,2021-02-12,208979,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Brother,https://open.spotify.com/track/6F99t4CzGk8zeaM9t3GMoj,Brother,https://open.spotify.com/album/1x28w9BPPpo4Xanlw284fR,The Rural Alberta Advantage,https://open.spotify.com/artist/0v6gOfGBclTSGu6agfXb23,2021-02-12,208979,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
By and By,https://open.spotify.com/track/75nZ4W6quZhI55LKiqCXWh,By and By,https://open.spotify.com/album/4Ib3LE6FimfhNVnY7Tc1zM,Caamp,https://open.spotify.com/artist/0wyMPXGfOuQzNR54ujR9Ix,2021-02-12,280794,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Caesar Knows,https://open.spotify.com/track/7IkZ5KtGsJ95M5rrpdmscs,Caesar Knows,https://open.spotify.com/album/0AAfuLbM9duV4zcHWaDNKG,Oliver Hazard,https://open.spotify.com/artist/3F4iXxXxe7iazo3Jnwucng,2021-02-12,156080,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Call Me In The Afternoon,https://open.spotify.com/track/2BBb3UMJBNlofpC25pbSp4,Spotify Sessions,https://open.spotify.com/album/0FCAIjkz366qJJbLe7RSis,Half Moon Run,https://open.spotify.com/artist/3ceQN2NVlLg1hgTzljDE4n,2021-02-12,193240,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Call Me in the Afternoon,https://open.spotify.com/track/2BzR2zRJIcFcMCIBKAD68U,Spotify Sessions,https://open.spotify.com/album/0GlqIYAIGeib66oR1pyy4F,Half Moon Run,https://open.spotify.com/artist/3ceQN2NVlLg1hgTzljDE4n,2022-09-21,193240,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Call Me in the Afternoon,https://open.spotify.com/track/3jJuBdO5rrtDufNAf76V1x,Spotify Sessions,https://open.spotify.com/album/7M2JPV9Q0OzWgI7v46Q9Dg,Half Moon Run,https://open.spotify.com/artist/3ceQN2NVlLg1hgTzljDE4n,2021-02-12,193240,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Caroline,https://open.spotify.com/track/7IuUsxQWHfXGkRDdAT0MLW,Caroline,https://open.spotify.com/album/6dokqbkGAaQuLxmpfb9g6a,Animal Years,https://open.spotify.com/artist/2TvIyBTuMGzgGuVLWKWJT1,2021-02-12,211733,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Caroline,https://open.spotify.com/track/01xjqoUWoot91eGoYy7JDJ,Caroline,https://open.spotify.com/album/5dyHaBbEhvUdD7BW6VSzO1,Animal Years,https://open.spotify.com/artist/2TvIyBTuMGzgGuVLWKWJT1,2021-02-12,212053,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Caroline,https://open.spotify.com/track/232jHX8vA3qU8DaxaxvHL9,Caroline,https://open.spotify.com/album/4SmMh0Tq0OKGijhlmhoQN7,Animal Years,https://open.spotify.com/artist/2TvIyBTuMGzgGuVLWKWJT1,2023-07-21,212053,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Change Is Coming - Acoustic Live,https://open.spotify.com/track/1ZTSU2rupKuLXTDLVwWvXQ,Change Is Coming (Acoustic Live),https://open.spotify.com/album/1YiePx83xEpTcX7Jodu7Ty,Winter Woods,https://open.spotify.com/artist/2vtKH5PTmi8s2ABdlgxuVG,2021-02-12,330666,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Cleopatra,https://open.spotify.com/track/2ToW7zhGCrVrLU4fiKj9U1,Cleopatra,https://open.spotify.com/album/2zbTrm2pIAErzFSopinkbN,The Lumineers,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,2021-02-12,201413,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Cleopatra,https://open.spotify.com/track/3MvtzgklFDhOAC3lQJR09S,Cleopatra (Deluxe),https://open.spotify.com/album/5fY8mYgYGkyaJ9XvVOzVQA,The Lumineers,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,2022-09-21,201413,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Cleopatra,https://open.spotify.com/track/3ePbSxBnTdAkPswCEvTmhp,Cleopatra,https://open.spotify.com/album/6tB4FD3WN5bKmsklNDEWXv,The Lumineers,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,2021-02-12,201413,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Come with Me Now,https://open.spotify.com/track/2kWowW0k4oFymhkr7LmvzO,Lunatic,https://open.spotify.com/album/71C65HI7THrlkpHHa24YJX,KONGOS,https://open.spotify.com/artist/58R5LHkK3vkmEyGUPOR5kS,2021-02-12,211960,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Come with Me Now,https://open.spotify.com/track/5ipT1OJ5riog93dLlQ98Wx,Come with Me Now,https://open.spotify.com/album/4MqDBcOy73ebbsQ1OopDq6,KONGOS,https://open.spotify.com/artist/58R5LHkK3vkmEyGUPOR5kS,2021-02-12,211973,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Cypress Queen,https://open.spotify.com/track/4E3OQc3NdPIoIlir4aDFbe,VA,https://open.spotify.com/album/6azoLLvralYBZzrhDI4oE2,The Last Bison,https://open.spotify.com/artist/6eJRqkCcePqNJkhk98IDbc,2021-02-12,267540,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
Dance With Everybody,https://open.spotify.com/track/30Ws4fQbAhaKWTS0hr0wJt,Strangers No More,https://open.spotify.com/album/5tnxqWDBONuqqZ3vLSUSJV,"Drew Holcomb & The Neighbors, The National Parks","https://open.spotify.com/artist/4RwbDag6jWIYJnEGH6Wte9, https://open.spotify.com/artist/2JMtxA2S9SNUlqBlkDtXm6",2023-06-09,210666,2021-12-21,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Drew Holcomb & The Neighbors",Stomp & Holler
