track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1973,https://open.spotify.com/track/1BV0m40U0M4t1SLIsDnwZl,All the Lost Souls,https://open.spotify.com/album/3obQJSWpREwvi19TTAvM5v,James Blunt,https://open.spotify.com/artist/7KMqksf0UMdyA0UCf4R3ux,2020-07-08,280026,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
A Moment Like This,https://open.spotify.com/track/6Far9mixuLOSu0Y5ectjfA,Thankful,https://open.spotify.com/album/4txPGNHsUtjgBickDa5mOe,Kelly Clarkson,https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX,2020-07-08,228266,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
A Moment Like This,https://open.spotify.com/track/5i9UKSttY3V7x9OnYZsMBX,Spirit,https://open.spotify.com/album/7t1veDv7FWHYXskQEoU7dq,Leona Lewis,https://open.spotify.com/artist/5lKZWd6HiSCLfnDGrq9RAm,2020-07-08,257293,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
A Thousand Miles,https://open.spotify.com/track/6Qm9MaditCcx5V62rVHYqu,Best Of,https://open.spotify.com/album/2uHUZLZ8AJ7KjtUb3ogQt1,Vanessa Carlton,https://open.spotify.com/artist/5ILrArfIV0tMURcHJN8Q07,2020-07-08,237440,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
Accidentally In Love,https://open.spotify.com/track/4FXdIM78OBdw7KIY2jeM8D,Films About Ghosts: The Best Of...,https://open.spotify.com/album/2XstwYnZ4pC0O99VCOnfSa,Counting Crows,https://open.spotify.com/artist/0vEsuISMWAKNctLlUAhSZC,2020-07-08,188386,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
Against All Odds (Take A Look at Me Now) (feat. Westlife),https://open.spotify.com/track/0Ac0Ge47UpkVceZyPin7IP,Coast To Coast (Expanded Edition),https://open.spotify.com/album/6P1sBa0T1fRooA0UTAQfOu,"Mariah Carey, Westlife","https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ, https://open.spotify.com/artist/5Z1CCuBsyhEHngq3U5IraY",2020-07-08,200426,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
Airplanes (feat. Hayley Williams of Paramore),https://open.spotify.com/track/1QnvpPFP4Q3FHbDchqWiWy,B.o.B Presents: The Adventures of Bobby Ray,https://open.spotify.com/album/6f06neONZ0xqqftlgtVP74,"B.o.B, Hayley Williams","https://open.spotify.com/artist/5ndkK3dpZLKtBklKjxNQwT, https://open.spotify.com/artist/6Rx1JKzBrSzoKQtmbVmBnM",2023-10-17,180480,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
Airplanes (feat. Hayley Williams of Paramore),https://open.spotify.com/track/6lV2MSQmRIkycDScNtrBXO,B.o.B Presents: The Adventures of Bobby Ray,https://open.spotify.com/album/7apLPYT8szV1IqTxyVSy5P,"B.o.B, Hayley Williams","https://open.spotify.com/artist/5ndkK3dpZLKtBklKjxNQwT, https://open.spotify.com/artist/6Rx1JKzBrSzoKQtmbVmBnM",2020-07-08,180480,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
All About You,https://open.spotify.com/track/1KlYwG56LQZhSoVtfpp70G,Wonderland,https://open.spotify.com/album/1z6APXc34SwPp6HYmeSAMl,McFly,https://open.spotify.com/artist/47izDDvtOxxz3FzHYuUptd,2020-07-08,186866,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
All Summer Long,https://open.spotify.com/track/5rX6C5QVvvZB7XckETNych,Rock n Roll Jesus,https://open.spotify.com/album/2xChdOg0PvxzHzE1BooUpI,Kid Rock,https://open.spotify.com/artist/7dOBabd5O4CvKrg4iriHTM,2020-07-08,297586,2021-12-28,Take a trip down memory lane with these noughties classics...,Easy 00s
