track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Dream Is a Wish Your Heart Makes - Instrumental,https://open.spotify.com/track/109HHSxui3iHr8Za6fmXnG,Disney Sleepytime Lullabies,https://open.spotify.com/album/4pHb2LkBfPjbMlkGWISDF6,Fred Mollin,https://open.spotify.com/artist/0qPfO5FCAsfqK3pgqBSAJR,2024-03-01,76672,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
A Whole New World,https://open.spotify.com/track/3C0J3jSO1dlEYdUrMPhGH9,Disney Instrumentals: Aladdin,https://open.spotify.com/album/2wNsIcl1q2axwRaoT6qBLZ,"Disney Peaceful Piano, Disney","https://open.spotify.com/artist/5lmSBamD6zMcpHPqPpwmwN, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO",2024-06-13,194656,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
A Whole New World,https://open.spotify.com/track/57EzImH75KL4o1UD2JZvv9,Disney Ukulele: Love,https://open.spotify.com/album/2H671Hg8bphx28BBFEP2pI,"Disney Ukulele, Disney","https://open.spotify.com/artist/2L8azGZexr4bN58bhEB7wm, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO",2024-03-01,135040,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
All Is Found,https://open.spotify.com/track/0SdFIDXpGJnd7rIWbXQxIv,Disney Guitar: Chill,https://open.spotify.com/album/05m44Fs7YqGLIbsxK3EiqA,"Disney Peaceful Guitar, Disney","https://open.spotify.com/artist/3oqzxUlHhjJ7auI4dVujKX, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO",2024-03-01,143393,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
All Is Found - Kacey Musgraves Version,https://open.spotify.com/track/5NkcCq0O86b9i6wuAqNuKo,Frozen 2 (Korean Original Motion Picture Soundtrack),https://open.spotify.com/album/7JWtvxwYAwzuSDPzvbvXHP,Kacey Musgraves,https://open.spotify.com/artist/70kkdajctXSbqSMJbQO424,2024-03-01,181093,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
At All Costs,https://open.spotify.com/track/1233MOKLpbc9qjNN31vpl4,Wish (Original Motion Picture Soundtrack),https://open.spotify.com/album/0U8h5Cz5hZtL0vmqFB40Ao,"Chris Pine, Ariana DeBose, Disney","https://open.spotify.com/artist/5ueYs7bR3niiOeZdOSge5e, https://open.spotify.com/artist/1Np9GsrPO7dlczjvdehBxs, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO",2024-03-01,198920,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Baby Mine,https://open.spotify.com/track/0h5G987d8sIqIpMlNckOj4,Disney Lullaby Album,https://open.spotify.com/album/3UvlJDMb3sEH8lUk83598i,Fred Mollin,https://open.spotify.com/artist/0qPfO5FCAsfqK3pgqBSAJR,2024-03-01,223413,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
"Baby Mine - From ""Dumbo""/Soundtrack Version",https://open.spotify.com/track/2ufkOFn5LKYNoAdss0GUKR,"Baby Mine (From ""Dumbo"")",https://open.spotify.com/album/6e9I7W5LrZ512paeUY7hS4,Arcade Fire,https://open.spotify.com/artist/3kjuyTCjPG1WMFCiyc5IuB,2024-03-01,176466,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
"Baby's First Morning/What Is a Baby/La La Lu - From ""Lady and the Tramp""/Soundtrack Version",https://open.spotify.com/track/4gkyJAmyBDjC0DBBihvUEn,Lady and the Tramp,https://open.spotify.com/album/5lUCB0rKp3TTIongCN7gvk,"Oliver Wallace, Peggy Lee","https://open.spotify.com/artist/497FibW7265st1H0UfpGb2, https://open.spotify.com/artist/602DnpaSXJB4b9DZrvxbDc",2024-03-01,191773,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Beauty and the Beast,https://open.spotify.com/track/2xS0Aybg4e8cQ8xiv3DeoH,Beauty and the Beast (Original Motion Picture Soundtrack),https://open.spotify.com/album/36UFyDENKnCucYx2zwcaea,"Angela Lansbury, Disney","https://open.spotify.com/artist/0LtVJXnPR8msCJiE2DjHxy, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO",2024-03-01,166306,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Bringing This Baby Home,https://open.spotify.com/track/3iYjMwH7KXoVU2gFVUC5kz,Disney Junior Music: Lullabies Vol. 1,https://open.spotify.com/album/6CPPr8LjolXUFAiEMiLQgb,Rob Cantor,https://open.spotify.com/artist/1NtYiv70buGwaMspHuD49I,2024-03-01,81897,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Bundle of Joy,https://open.spotify.com/track/3eTgg18rKBD30Hef1gv0wz,Inside Out (Original Motion Picture Soundtrack),https://open.spotify.com/album/1sNK9vLvzIo626GznCEsBN,Michael Giacchino,https://open.spotify.com/artist/4kLvhMAuCloLxoP1aVM7Lr,2024-03-01,168760,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Can You Feel the Love Tonight - End Title,https://open.spotify.com/track/5joPSVJVSia57UIt9Orymt,The Lion King Reo Māori (Original Motion Picture Soundtrack),https://open.spotify.com/album/0hHY5pxU9pAkDrFtVFCkwa,Elton John,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,2024-03-01,241013,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Countin' Sheep,https://open.spotify.com/track/28XSzkV1wEJdPfMkxNkQoa,Disney Baby Lullaby,https://open.spotify.com/album/49OMKZqjoE2rQkDR0SrQ6A,Paige Morehead,https://open.spotify.com/artist/2VUhAdBwFY2AoEZsnzQdTF,2024-03-01,134160,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Disney Junior Music: Make It a Mickey Morning,https://open.spotify.com/track/02Fn1rxmlveZZfx4iltIMz,Disney Junior Music: Mickey Mornings,https://open.spotify.com/album/5cUlQxfGjSP19VFtF6fqGh,"Felicia Barton, Mickey Mouse","https://open.spotify.com/artist/7BtsooSogDGtA54zLBjk3N, https://open.spotify.com/artist/6w6OUqDUOPDvEHY85kbJRE",2024-03-01,102613,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Dos Oruguitas,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo,Encanto (Original Motion Picture Soundtrack),https://open.spotify.com/album/25L8ck3KGcmCo3901ztPzR,Sebastian Yatra,https://open.spotify.com/artist/07YUOmWljBTXwIseAUd9TW,2024-03-01,214613,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Dreams Are the Flowers (That Bloom in Your Heart),https://open.spotify.com/track/1gljt92sBOCO0VSy7nCowM,Disney Baby Lullaby,https://open.spotify.com/album/49OMKZqjoE2rQkDR0SrQ6A,Jackie Cusic,https://open.spotify.com/artist/6uANe2zVTu4iieBxdMpq6t,2024-03-01,141666,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Fast Asleep,https://open.spotify.com/track/0GUX5xnxpyNxY3PC5vLM9L,Disney Baby Lullaby,https://open.spotify.com/album/49OMKZqjoE2rQkDR0SrQ6A,Paige Morehead,https://open.spotify.com/artist/2VUhAdBwFY2AoEZsnzQdTF,2024-03-01,124146,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
"Feed the Birds - From ""Mary Poppins""",https://open.spotify.com/track/0XnUSyexbx1aQvBjnJ5WJh,The Disney Book (Deluxe Edition),https://open.spotify.com/album/5ADhBk8zOQYwKhiPbGKSH1,Lang Lang,https://open.spotify.com/artist/1YZhNFBxkEB5UKTgMDvot4,2024-03-01,261308,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
For the First Time in Forever,https://open.spotify.com/track/3mZ5cGdehGztF45dECOuoV,Disney Guitar: Joy,https://open.spotify.com/album/11x60QHsoQa9rJVkIVFccW,"Disney Peaceful Guitar, Disney","https://open.spotify.com/artist/3oqzxUlHhjJ7auI4dVujKX, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO",2024-03-01,207728,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Friend Like Me - Orgel Version,https://open.spotify.com/track/0ennZs5RBFdSoXSgWhjvUh,Disney Orgel/Oyasumi BGM Vol. 2,https://open.spotify.com/album/0iswLGj4W2QE1ou9vK7Mqn,Disney Orgel,https://open.spotify.com/artist/2NiGKii6cldvRKyHjVxRH8,2025-01-16,307903,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Friends Lullaby,https://open.spotify.com/track/6xUwVpnfa5QFq91oVrpL4f,"Children's Favorites, Vol. 1",https://open.spotify.com/album/3g7DIUCn8PnLI882pimI81,"Larry Groce, Disneyland Children's Sing-Along Chorus","https://open.spotify.com/artist/2z9Y52xPb933l5cs0GNvnc, https://open.spotify.com/artist/6ZFgQo1KEKV4ADP8mAw7xg",2024-03-01,79160,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
Going on a Mission,https://open.spotify.com/track/2U40NPBtjoinwsVjoYzRQt,Disney Junior Music: Lullabies Vol. 1,https://open.spotify.com/album/6CPPr8LjolXUFAiEMiLQgb,Rob Cantor,https://open.spotify.com/artist/1NtYiv70buGwaMspHuD49I,2024-03-01,84704,2024-03-02,From rocking to walking and everything in between to help you celebrate every milestone & cherish every moment. ,Disney Baby
