track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Scary Time,https://open.spotify.com/track/0f9XB0bm1Ei1tV4HRAmAvG,Phantom Singer 3 - Ep.7,https://open.spotify.com/album/2neJhu67q19Ua5iPlocdyO,"Jeong Min Seong, Ko Yeong Yeol, John Noh, Paul Kim","https://open.spotify.com/artist/5e9wWDe8EPcYQo9S7ptOxi, https://open.spotify.com/artist/5peL5wOAMpnRJvc6zgzbwm, https://open.spotify.com/artist/1tPIuR4bDZafphfZrLXg13, https://open.spotify.com/artist/2FRCeQL1u1A7YLxXde0Y1R",2023-05-29,340727,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
Abyss,https://open.spotify.com/track/3xEIBQG5cqv3SgT3y654Eh,Phantom Singer All star Episode.4,https://open.spotify.com/album/38l94Cp6zMpoU7wzK9rCx2,Paul Kim,https://open.spotify.com/artist/2FRCeQL1u1A7YLxXde0Y1R,2023-05-29,306315,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
Abyss,https://open.spotify.com/track/6m0ZFHNdCUkE1xYLpYro5D,Phantom Singer All star Episode.4,https://open.spotify.com/album/5UGUoJXepWllmTdr2z3E9O,Paul Kim,https://open.spotify.com/artist/2FRCeQL1u1A7YLxXde0Y1R,2023-05-29,306315,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
Addicted to you,https://open.spotify.com/track/5iYTUbNWeVJhlM1Jy0wc2o,Phantom Singer 3 - Ep.5,https://open.spotify.com/album/3B4rBK5ozXx86m40ffzDAz,"John Noh, Choi Sung Hoon","https://open.spotify.com/artist/1tPIuR4bDZafphfZrLXg13, https://open.spotify.com/artist/26CtOmD5X6q4rN8ExX4D3e",2023-05-29,296299,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
Addicted to you,https://open.spotify.com/track/4DctZoMOsdahafeyslKhwJ,Phantom Singer3 Episode.5,https://open.spotify.com/album/2YVOnOponYtrwLk1YxAvhs,"존노, 최성훈","https://open.spotify.com/artist/2yt4rUWwacVAs64Z1vcWv1, https://open.spotify.com/artist/0TtspyzgERgPQKicFFB5fI",2021-08-04,296299,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
Ai no corrida,https://open.spotify.com/track/3m1N18cLOKcIo5yh5MWv22,Phantom Singer All star Episode.2,https://open.spotify.com/album/7MufxEU1ALBOhohRIhjPrS,RabidAnce,https://open.spotify.com/artist/6GtE0q6Yr3TfYfZvdHlSiD,2023-05-29,267672,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
Ai no corrida,https://open.spotify.com/track/5ANd13Q1BJovoyjQCp9cEt,Phantom Singer All star Episode.2,https://open.spotify.com/album/6rnzAlM1L8JbGbR32OPkMz,RabidAnce,https://open.spotify.com/artist/6GtE0q6Yr3TfYfZvdHlSiD,2023-05-29,267672,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
Ai no corrida,https://open.spotify.com/track/6Hs3mPA0MKIHG2UyioIXkt,Phantom Singer All Stars Episode.2,https://open.spotify.com/album/17cC95JlsGjrmyo2tGNpzz,라비던스,https://open.spotify.com/artist/6r6fKyzC087tFeqH8AfkuW,2021-08-04,267672,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
Al centro del mio mondo,https://open.spotify.com/track/1ARBahUyLPDBxtDgfTNMx8,Phantom Singer 3 - Ep.5,https://open.spotify.com/album/3Q9gB34kSa645Zq81s1cIL,"Hong SeokJu 홍석주, Kim Sungsik 김성식","https://open.spotify.com/artist/1vhgUydBIDY4s9y8L0USTQ, https://open.spotify.com/artist/2T5yt8mba2vMkT1mWadxSY",2023-05-29,261594,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
Al centro del mio mondo,https://open.spotify.com/track/7krA22v7kvGwpsJF8zknkI,Phantom Singer3 Episode.5,https://open.spotify.com/album/2YVOnOponYtrwLk1YxAvhs,"홍석주, 김성식","https://open.spotify.com/artist/3gxISNGvb6U2yhrxCW0ioV, https://open.spotify.com/artist/6nj8vLX0iYmWmx3itkEnrI",2021-08-04,261594,2022-11-02,JTBC's Crossover Men's Quartet Project <Phantom Singer> Official Playlist. (JTBC의 크로스오버 남성 4중창 프로젝트 '팬텀싱어'의 공식 플레이리스트입니다.),Phantom Singer (팬텀싱어)
